event_id,review_cycle,ticker,company_name,index_name,side,announcement_dt,effective_dt_design,entry_dt_design,exit_dt_candidate_T_plus_5,exit_dt_candidate_T_plus_10,exit_dt_candidate_effective_minus_1,pit_sector_label_for_matched_control_design,source_record_type,effective_dt_confidence,title_link_status,conflation_status,sample_role,caveat
BX01-PARSE-734-ADD-01,2021-06,001440,대한전선,KOSPI 200,addition,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,전기·전자,class_a_direct_primary,primary,not_applicable,clean,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-ADD-02,2021-06,006040,동원산업,KOSPI 200,addition,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,농업 임업 및 어업,class_a_direct_primary,primary,not_applicable,clean,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-ADD-03,2021-06,298020,효성티앤씨,KOSPI 200,addition,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,화학,class_a_direct_primary,primary,not_applicable,clean,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-ADD-04,2021-06,298050,효성첨단소재,KOSPI 200,addition,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,화학,class_a_direct_primary,primary,not_applicable,clean,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-ADD-05,2021-06,302440,SK바이오사이언스,KOSPI 200,addition,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,제약,class_a_direct_primary,primary,not_applicable,clean,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0001,2021-12,005850,에스엘,KOSPI 200,addition,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,운송장비·부품,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0002,2021-12,009900,명신산업,KOSPI 200,addition,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,운송장비·부품,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0003,2021-12,138040,메리츠금융지주,KOSPI 200,addition,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,기타금융,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0004,2021-12,178920,PI첨단소재,KOSPI 200,addition,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,화학,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0005,2021-12,259960,크래프톤,KOSPI 200,addition,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,일반서비스,class_b_title_linked_secondary,provisional_secondary_rulebook_derived,high_secondary_triangulated,partially_separated,main_inclusion_addition_sample,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
