filename,bytes,sha256,ext,source_location,intake_ts_utc,classification,xlsx_sheets,kospi200_first_row,directive_fit,identified_review_cycle,caveat
"(보도+첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경.xlsx",29383,2af53cd63d996c3fb11acda60a9ec3848d93df35465b583e02984a04ffe41ee5,.xlsx,"/home/jin/code/quant/research_input_data/정기변경/(보도+첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경.xlsx",2026-05-30T14:47:05.730246+00:00,KRX_xlsx_snapshot_only,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,"('KR7000080002', '하이트진로')",DESIGN_GAP (snapshot only — change derivation via consecutive-snapshot diff NOT in directive),,directive assumed xlsx contains explicit change rows; this file contains full post-effective-date constituent snapshot only
(보도자료)+코스닥150+및+KRX+300+18년+12월+정기변경+결과.hwp,307200,ed293b637bafda782d7d1b462be3f626896c073e15056afe85a3da00c271c4eb,.hwp,/home/jin/code/quant/research_input_data/정기변경/(보도자료)+코스닥150+및+KRX+300+18년+12월+정기변경+결과.hwp,2026-05-30T14:47:05.730246+00:00,krx_hwp_press_release_body_text,-,,OUT_OF_SCOPE (directive specifies xlsx; hwp parsing not in scope),,hwp body text likely contains change list narrative; parsing requires hwp parser not currently set up; treated as evidence-only
(보도자료)코스닥+150+등+12월+정기변경+결과.hwp,310784,d0f3ac4f43dad80230fc69f025df3108a2b0b29f6488fe80a67dd240a30e0d7e,.hwp,/home/jin/code/quant/research_input_data/정기변경/(보도자료)코스닥+150+등+12월+정기변경+결과.hwp,2026-05-30T14:47:05.730246+00:00,krx_hwp_press_release_body_text,-,,OUT_OF_SCOPE (directive specifies xlsx; hwp parsing not in scope),,hwp body text likely contains change list narrative; parsing requires hwp parser not currently set up; treated as evidence-only
(보도자료)코스피200+코스닥150+및+KRX+300+18년+6월+정기변경+결과.hwp,327680,e6c055ed646b34fce301cac9fe5429fad6b16642f02d2a418e0b2031065e0e80,.hwp,/home/jin/code/quant/research_input_data/정기변경/(보도자료)코스피200+코스닥150+및+KRX+300+18년+6월+정기변경+결과.hwp,2026-05-30T14:47:05.730246+00:00,krx_hwp_press_release_body_text,-,,OUT_OF_SCOPE (directive specifies xlsx; hwp parsing not in scope),,hwp body text likely contains change list narrative; parsing requires hwp parser not currently set up; treated as evidence-only
(보도자료)코스피200등+정기변경+결과(최종).hwp,327168,e6a2490ed9a46199100263c066a22a11490382220d56f49a66a3a20d0654024b,.hwp,/home/jin/code/quant/research_input_data/정기변경/(보도자료)코스피200등+정기변경+결과(최종).hwp,2026-05-30T14:47:05.730246+00:00,krx_hwp_press_release_body_text,-,,OUT_OF_SCOPE (directive specifies xlsx; hwp parsing not in scope),,hwp body text likely contains change list narrative; parsing requires hwp parser not currently set up; treated as evidence-only
(보도자료+첨부)+지수별구성종목현황.xlsx,31700,dba82397e46ed1081f955caf451066ad1e9828308bea9796717602cd031ef1b1,.xlsx,/home/jin/code/quant/research_input_data/정기변경/(보도자료+첨부)+지수별구성종목현황.xlsx,2026-05-30T14:47:05.730246+00:00,KRX_xlsx_snapshot_only,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목|Sheet2,"('KR7000070003', '삼양홀딩스')",DESIGN_GAP (snapshot only — change derivation via consecutive-snapshot diff NOT in directive),,directive assumed xlsx contains explicit change rows; this file contains full post-effective-date constituent snapshot only
"(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황 (1).xlsx",28316,a80b67a937f65fd4a0bc2a4b62ee8fa5f6707ebc999bec2893a93a1c08e64718,.xlsx,"/home/jin/code/quant/research_input_data/정기변경/(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황 (1).xlsx",2026-05-30T14:47:05.730246+00:00,KRX_xlsx_snapshot_only,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,"('KR7000060004', '메리츠화재')",DESIGN_GAP (snapshot only — change derivation via consecutive-snapshot diff NOT in directive),,directive assumed xlsx contains explicit change rows; this file contains full post-effective-date constituent snapshot only
"(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황.xlsx",32879,62f5385fc780f73c28146d2b471edfd35d49fec0a6e7eb9ac6cb98672ca9bd30,.xlsx,"/home/jin/code/quant/research_input_data/정기변경/(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황.xlsx",2026-05-30T14:47:05.730246+00:00,KRX_xlsx_snapshot_only,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,"('KR7000060004', '메리츠화재')",DESIGN_GAP (snapshot only — change derivation via consecutive-snapshot diff NOT in directive),,directive assumed xlsx contains explicit change rows; this file contains full post-effective-date constituent snapshot only
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (1).xlsx",29868,676c59bb753a4632489b3f2c9d11c6479fb3396af47eb2563c907b161a299692,.xlsx,"/home/jin/code/quant/research_input_data/정기변경/(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (1).xlsx",2026-05-30T14:47:05.730246+00:00,KRX_xlsx_snapshot_only,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,"('KR7000080002', '하이트진로')",DESIGN_GAP (snapshot only — change derivation via consecutive-snapshot diff NOT in directive),,directive assumed xlsx contains explicit change rows; this file contains full post-effective-date constituent snapshot only
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (2).xlsx",30106,1c823a0f07d113fbfb7dcc340c9863c9d1d1dc90ca6f2271e4e8cd5e4e47ffb0,.xlsx,"/home/jin/code/quant/research_input_data/정기변경/(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (2).xlsx",2026-05-30T14:47:05.730246+00:00,KRX_xlsx_snapshot_only,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,"('KR7000080002', '하이트진로')",DESIGN_GAP (snapshot only — change derivation via consecutive-snapshot diff NOT in directive),,directive assumed xlsx contains explicit change rows; this file contains full post-effective-date constituent snapshot only
