#,reg_dt,bbs_seq,title,expected_filename,detail_url,save_as
1,2018-05-24,555,"KOSPI 200, KOSDAQ 150, KRX 300, KOSPI 100, KOSPI 50 구성종목 정기변경 안내",2018.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=555,bbsSeq555__2018.xlsx
2,2019-05-21,613,"KOSPI 200, KOSDAQ 150, KOSPI 100, KOSPI 50, KRX300 구성종목 정기변경 안내",2019년6월정기변경최종.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=613,bbsSeq613__2019년6월정기변경최종.xlsx
3,2020-05-27,667,"KOSPI 200, KOSDAQ 150, KRX300 구성종목 정기변경 안내",2020년6월정기변경.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=667,bbsSeq667__2020년6월정기변경.xlsx
4,2020-11-25,696,"KOSPI 200, KOSDAQ 150, KRX300 구성종목 12월 정기변경 안내",2020년12월정기변경결과.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=696,bbsSeq696__2020년12월정기변경결과.xlsx
5,2021-05-25,734,"KOSPI 200, KOSDAQ 150, KRX 300 구성종목 6월 정기변경 안내",2106KOSPI200KOSDAQ150KRX300정기변경.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734,bbsSeq734__2106KOSPI200KOSDAQ150KRX300정기변경.xlsx
6,2021-11-24,774,"KOSPI 200, KOSDAQ 150, KRX 300 구성종목 12월 정기변경 안내",21.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=774,bbsSeq774__21.xlsx
7,2022-05-24,799,"KOSPI 200, KOSDAQ 150, KRX 300 구성종목 6월 정기변경 안내",2206코스피200코스닥150KRX300정기변경00.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=799,bbsSeq799__2206코스피200코스닥150KRX300정기변경00.xlsx
8,2023-05-18,861,"'23.6월 KOSPI 200, KOSDAQ 150, KRX 300 구성종목 정기변경 안내",붙임KOSPI200KOSDAQ150및KRX300정기변경내역.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=861,bbsSeq861__붙임KOSPI200KOSDAQ150및KRX300정기변경내역.xlsx
9,2023-11-23,899,"'23.12월 KOSPI 200, KOSDAQ 150, KRX 300 구성종목 정기변경 안내",붙임2312KOSPI200KOSDAQ150및KRX300.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=899,bbsSeq899__붙임2312KOSPI200KOSDAQ150및KRX300.xlsx
10,2024-05-24,939,"'24.6월 KOSPI 200, KOSDAQ 150, KRX 300 구성종목 정기변경 안내",붙임2406KOSPI200KOSDAQ150및KRX300.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=939,bbsSeq939__붙임2406KOSPI200KOSDAQ150및KRX300.xlsx
11,2024-11-21,979,"'24.12월 KOSPI 200, KOSDAQ 150, KRX 300 구성종목 정기변경 안내",붙임2412KOSPI200KOSDAQ150및KRX300.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=979,bbsSeq979__붙임2412KOSPI200KOSDAQ150및KRX300.xlsx
12,2025-05-27,1015,"'25.6월 KOSPI 200, KOSDAQ 150 및 KRX 300 구성종목 정기변경 안내",붙임2506KOSPI200KOSDAQ150및KRX300.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=1015,bbsSeq1015__붙임2506KOSPI200KOSDAQ150및KRX300.xlsx
13,2025-11-18,1050,"'25.12월 KOSPI 200, KOSDAQ 150 및 KRX 300 구성종목 정기변경 안내",붙임KOSPI200KOSDAQ150및KRX300.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=1050,bbsSeq1050__붙임KOSPI200KOSDAQ150및KRX300.xlsx
14,2026-05-22,1090,"’26.6월 KOSPI 200, KOSDAQ 150 및 KRX 300 구성종목 정기변경 안내",붙임2606KOSPI200KOSDAQ150KRX300.xlsx,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=1090,bbsSeq1090__붙임2606KOSPI200KOSDAQ150KRX300.xlsx
