review_cycle,bbs_seq,announcement_dt,methodology_source_id,methodology_version_dt,methodology_rule_section,methodology_rule_text_summary,methodology_basis_class,futures_ltd_source_id,futures_ltd_version_dt,futures_ltd_rule_section,futures_ltd_rule_text_summary,futures_ltd_basis_class,futures_last_trade_day_computed,futures_last_trade_day_in_calendar,calendar_source,derivation_method,effective_dt,effective_dt_confidence,effective_dt_caveat
2021-06,734,2021-05-25,miraeasset_kospi200_methodology_v2.pdf,2021-11 (filename timestamp; KRX-publisher attribution),§7.1 (page 9),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,2020-05-25 (KRX-attributed derivatives product description),p8 + p15,settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2021-06-10,yes,data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,2021-06-11,provisional_secondary_rulebook_calendar_confirmed,"secondary-triangulated derivation: methodology rule from broker-hosted KRX-publisher-attributed copy (Mirae 2021-11 §7.1), futures final-trading-day rule from broker-hosted KRX-attributed derivatives product description (Hana 2020-05-25 거래설명서 p8+p15); primary KRX access (index.krx.co.kr OTP path) blocked from sandbox; this is NOT a primary KRX-confirmed derivation; amendment history indicates semi-annual rule from 2019-12-11; the in-calendar lookup uses local KRX trading calendar artifact; separate primary KRX rulebook confirmation would be required before any test-design PASS"
2021-12,774,2021-11-24,miraeasset_kospi200_methodology_v2.pdf,2021-11 (filename timestamp; KRX-publisher attribution),§7.1 (page 9),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,2020-05-25 (KRX-attributed derivatives product description),p8 + p15,settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2021-12-09,yes,data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,2021-12-10,provisional_secondary_rulebook_calendar_confirmed,"secondary-triangulated derivation: methodology rule from broker-hosted KRX-publisher-attributed copy (Mirae 2021-11 §7.1), futures final-trading-day rule from broker-hosted KRX-attributed derivatives product description (Hana 2020-05-25 거래설명서 p8+p15); primary KRX access (index.krx.co.kr OTP path) blocked from sandbox; this is NOT a primary KRX-confirmed derivation; amendment history indicates semi-annual rule from 2019-12-11; the in-calendar lookup uses local KRX trading calendar artifact; separate primary KRX rulebook confirmation would be required before any test-design PASS"
2022-06,799,2022-05-24,miraeasset_kospi200_methodology_v2.pdf,2021-11 (filename timestamp; KRX-publisher attribution),§7.1 (page 9),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,2020-05-25 (KRX-attributed derivatives product description),p8 + p15,settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2022-06-09,yes,data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,2022-06-10,provisional_secondary_rulebook_calendar_confirmed,"secondary-triangulated derivation: methodology rule from broker-hosted KRX-publisher-attributed copy (Mirae 2021-11 §7.1), futures final-trading-day rule from broker-hosted KRX-attributed derivatives product description (Hana 2020-05-25 거래설명서 p8+p15); primary KRX access (index.krx.co.kr OTP path) blocked from sandbox; this is NOT a primary KRX-confirmed derivation; amendment history indicates semi-annual rule from 2019-12-11; the in-calendar lookup uses local KRX trading calendar artifact; separate primary KRX rulebook confirmation would be required before any test-design PASS"
2023-06,861,2023-05-18,miraeasset_kospi200_methodology_v2.pdf,2021-11 (filename timestamp; KRX-publisher attribution),§7.1 (page 9),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,2020-05-25 (KRX-attributed derivatives product description),p8 + p15,settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2023-06-08,yes,data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,2023-06-09,provisional_secondary_rulebook_calendar_confirmed,"secondary-triangulated derivation: methodology rule from broker-hosted KRX-publisher-attributed copy (Mirae 2021-11 §7.1), futures final-trading-day rule from broker-hosted KRX-attributed derivatives product description (Hana 2020-05-25 거래설명서 p8+p15); primary KRX access (index.krx.co.kr OTP path) blocked from sandbox; this is NOT a primary KRX-confirmed derivation; amendment history indicates semi-annual rule from 2019-12-11; the in-calendar lookup uses local KRX trading calendar artifact; separate primary KRX rulebook confirmation would be required before any test-design PASS"
2023-12,899,2023-11-23,miraeasset_kospi200_methodology_v2.pdf,2021-11 (filename timestamp; KRX-publisher attribution),§7.1 (page 9),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,2020-05-25 (KRX-attributed derivatives product description),p8 + p15,settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2023-12-14,yes,data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,2023-12-15,provisional_secondary_rulebook_calendar_confirmed,"secondary-triangulated derivation: methodology rule from broker-hosted KRX-publisher-attributed copy (Mirae 2021-11 §7.1), futures final-trading-day rule from broker-hosted KRX-attributed derivatives product description (Hana 2020-05-25 거래설명서 p8+p15); primary KRX access (index.krx.co.kr OTP path) blocked from sandbox; this is NOT a primary KRX-confirmed derivation; amendment history indicates semi-annual rule from 2019-12-11; the in-calendar lookup uses local KRX trading calendar artifact; separate primary KRX rulebook confirmation would be required before any test-design PASS"
2024-06,939,2024-05-24,miraeasset_kospi200_methodology_v2.pdf,2021-11 (filename timestamp; KRX-publisher attribution),§7.1 (page 9),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,2020-05-25 (KRX-attributed derivatives product description),p8 + p15,settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2024-06-13,yes,data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,2024-06-14,provisional_secondary_rulebook_calendar_confirmed,"secondary-triangulated derivation: methodology rule from broker-hosted KRX-publisher-attributed copy (Mirae 2021-11 §7.1), futures final-trading-day rule from broker-hosted KRX-attributed derivatives product description (Hana 2020-05-25 거래설명서 p8+p15); primary KRX access (index.krx.co.kr OTP path) blocked from sandbox; this is NOT a primary KRX-confirmed derivation; amendment history indicates semi-annual rule from 2019-12-11; the in-calendar lookup uses local KRX trading calendar artifact; separate primary KRX rulebook confirmation would be required before any test-design PASS"
2024-12,979,2024-11-21,miraeasset_kospi200_methodology_v2.pdf,2021-11 (filename timestamp; KRX-publisher attribution),§7.1 (page 9),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,2020-05-25 (KRX-attributed derivatives product description),p8 + p15,settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2024-12-12,yes,data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,2024-12-13,provisional_secondary_rulebook_calendar_confirmed,"secondary-triangulated derivation: methodology rule from broker-hosted KRX-publisher-attributed copy (Mirae 2021-11 §7.1), futures final-trading-day rule from broker-hosted KRX-attributed derivatives product description (Hana 2020-05-25 거래설명서 p8+p15); primary KRX access (index.krx.co.kr OTP path) blocked from sandbox; this is NOT a primary KRX-confirmed derivation; amendment history indicates semi-annual rule from 2019-12-11; the in-calendar lookup uses local KRX trading calendar artifact; separate primary KRX rulebook confirmation would be required before any test-design PASS"
2025-06,1015,2025-05-27,miraeasset_kospi200_methodology_v2.pdf,2021-11 (filename timestamp; KRX-publisher attribution),§7.1 (page 9),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,2020-05-25 (KRX-attributed derivatives product description),p8 + p15,settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2025-06-12,yes,data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,2025-06-13,provisional_secondary_rulebook_calendar_confirmed,"secondary-triangulated derivation: methodology rule from broker-hosted KRX-publisher-attributed copy (Mirae 2021-11 §7.1), futures final-trading-day rule from broker-hosted KRX-attributed derivatives product description (Hana 2020-05-25 거래설명서 p8+p15); primary KRX access (index.krx.co.kr OTP path) blocked from sandbox; this is NOT a primary KRX-confirmed derivation; amendment history indicates semi-annual rule from 2019-12-11; the in-calendar lookup uses local KRX trading calendar artifact; separate primary KRX rulebook confirmation would be required before any test-design PASS"
2025-12,1050,2025-11-18,miraeasset_kospi200_methodology_v2.pdf,2021-11 (filename timestamp; KRX-publisher attribution),§7.1 (page 9),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,2020-05-25 (KRX-attributed derivatives product description),p8 + p15,settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2025-12-11,yes,data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,2025-12-12,provisional_secondary_rulebook_calendar_confirmed,"secondary-triangulated derivation: methodology rule from broker-hosted KRX-publisher-attributed copy (Mirae 2021-11 §7.1), futures final-trading-day rule from broker-hosted KRX-attributed derivatives product description (Hana 2020-05-25 거래설명서 p8+p15); primary KRX access (index.krx.co.kr OTP path) blocked from sandbox; this is NOT a primary KRX-confirmed derivation; amendment history indicates semi-annual rule from 2019-12-11; the in-calendar lookup uses local KRX trading calendar artifact; separate primary KRX rulebook confirmation would be required before any test-design PASS"
2026-06,1090,2026-05-22,(rule would apply: methodology + futures_ltd rules same as 9 derived),(would be same),(would be same),정기변경일 = KOSPI200 선물시장 6월/12월 결제월 최종거래일의 다음 매매거래일 (Mirae 2021-11 §7.1 KRX-publisher-attributed),secondary_KRX_publisher_attributed_rulebook_copy__primary_KRX_access_blocked,hana_listed_derivatives_trade_description.pdf,(would be same),(would be same),settlement_month_second_thursday (Hana 2020-05-25 거래설명서 p8+p15 KRX-attributed),secondary_broker_hosted_KRX_attributed_derivatives_product_description__primary_KRX_access_blocked,2026-06-11 (computable from rule),no (calendar cutoff 2026-05-22),data/acquired/krx_calendar/krx_official_calendar_2010_2026.csv,rulebook_text_plus_local_krx_trading_calendar,,blocked_calendar_coverage_cutoff,calendar_coverage_cutoff_2026-05-22__effective_dt_not_computed__secondary_press_reconciliation_suggests_2026-06-12_but_primary_calendar_support_missing; calendar fetch not authorized in this phase per Referee Q2 directive
