bbs_seq,cycle_or_reg_dt,event_sub_class,attempt_type,url_template_or_call,observed_result,blocker_class,attempted_at_utc
159,2010-01-22,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
159,2010-01-22,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
159,2010-01-22,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
159,2010-01-22,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
160,2010-02-24,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
160,2010-02-24,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
160,2010-02-24,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
160,2010-02-24,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
164,2010-03-31,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
164,2010-03-31,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
164,2010-03-31,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
164,2010-03-31,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
173,2010-06-25,special_inclusion,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
173,2010-06-25,special_inclusion,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
173,2010-06-25,special_inclusion,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
173,2010-06-25,special_inclusion,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
192,2011-03-07,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
192,2011-03-07,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
