signal_id,family,horizon_d,regime,ic_mean_pred,ic_tstat,ic_hit_rate,n_dates,decile_ls_exec_netcost,longonly_topdecile_exec_netcost,placebo_ic_5d,status,execution_note,caveat,label_note
sig_flow_foreign_amt_tv,A_flow,1,FULL,-0.009923595579216574,-3.951262180495505,0.4623287671232877,2044,-0.00036228459293241046,-0.0034330748166205775,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,3,FULL,-0.010067171751627501,-4.071815246832656,0.45298726738491674,2042,-0.0013198709140312822,-0.010101157737095738,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,5,FULL,-0.008123279628256729,-3.241692313437037,0.48284313725490197,2040,-0.0013528487531392446,-0.01567171684105036,-0.000821063004742631,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,10,FULL,-0.003352356787296423,-1.3318684958870046,0.4972972972972973,2035,-0.00019951833552459713,-0.02090193480811298,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,20,FULL,0.0008403928330601447,0.3312824978318992,0.4948148148148148,2025,0.0026531780868684464,-0.034804132959512,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,1,PAST,-0.004222497559986236,-1.21914037139138,0.4847870182555781,986,-0.0005004812860379736,-0.00403586577235391,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,3,PAST,-0.011577255162245904,-3.315581276811481,0.4543610547667343,986,-0.002069378960461415,-0.015285565327950001,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,5,PAST,-0.011602362582021157,-3.4057514916349922,0.4787018255578093,986,-0.0024397612442440546,-0.026114024135157624,0.0005217699605579925,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,10,PAST,-0.00781484391036585,-2.3524304937746225,0.4827586206896552,986,-0.003424076444562615,-0.037409532912935604,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,20,PAST,-0.007747630700379723,-2.3248817124063934,0.45334685598377283,986,-0.0021885419779968975,-0.06398256283715716,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,1,PRESENT,-0.015236717173697775,-4.2129419664375,0.44139886578449905,1058,-0.00023349258971682896,-0.0028713055516365834,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,3,PRESENT,-0.008657188567091755,-2.4750162286494533,0.45170454545454547,1056,-0.0006200461661334489,-0.00526041352821098,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,5,PRESENT,-0.0048686536392512966,-1.3321260140524593,0.48671726755218214,1054,-0.00033605964855732535,-0.005903106791724202,-0.00253020737929899,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,10,PRESENT,0.0008421258660367099,0.2245105329687014,0.5109628217349858,1049,0.0028313818508543215,-0.005385736780129076,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_tv,A_flow,20,PRESENT,0.008990336244005009,2.3754367934326983,0.534167468719923,1039,0.007247919168636711,-0.007114111920668774,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,1,FULL,0.021792134718042058,7.808413057753688,0.5772994129158513,2044,0.0029553858451326067,-0.0011762828857459942,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,3,FULL,0.01971231313444651,7.056245852933156,0.5666013712047012,2042,0.005751737792948464,-0.0054821251937271324,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,5,FULL,0.015546133663740878,5.685427078580793,0.5450980392156862,2040,-0.00977254893656665,-0.010827791045343262,-0.0006185129276509841,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,10,FULL,0.00934135656354999,3.335260725441058,0.5371007371007371,2035,-0.0056707184986839404,-0.01642903088275466,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,20,FULL,0.009316837582588826,3.3573695475878202,0.5412345679012346,2025,-0.014999192835275161,-0.0316137517178696,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,1,PAST,0.023156482147628783,6.112847584378091,0.5882352941176471,986,0.002841889159904972,-0.0017730736460492696,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,3,PAST,0.024864331646869162,6.2725114574264795,0.59026369168357,986,0.006245740720690215,-0.010573857667843646,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,5,PAST,0.023389677131389685,6.124554982392869,0.5669371196754563,986,-0.024782991668401283,-0.01996661807815033,-0.0019639743286684382,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,10,PAST,0.017082186356590513,4.5426804095795985,0.5598377281947262,986,-0.014043572878329138,-0.03078188629557949,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,20,PAST,0.013778106753710245,3.5517525030010124,0.5496957403651116,986,-0.035275608353892075,-0.05913953225377038,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,1,PRESENT,0.020520635128654048,5.033750933453617,0.5671077504725898,1058,0.0030611587483787774,-0.0006201054853121284,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,3,PRESENT,0.01490181100068825,3.79101650285601,0.5445075757575758,1056,0.0052904812714017115,-0.0007279128646751591,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,5,PRESENT,0.008208625258521026,2.108706297737654,0.5246679316888045,1054,0.004269478135149626,-0.0022785657565882636,0.0010463100789169734,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,10,PRESENT,0.0020654193128941717,0.5018437413553201,0.5157292659675882,1049,0.0021992857132609256,-0.0029381677397181645,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_inst_amt_tv,A_flow,20,PRESENT,0.005083140371110751,1.2837401226450162,0.5332050048123196,1039,0.004242910823393048,-0.005492077407572989,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,1,FULL,-0.011015624978940111,-3.953198707589286,0.45792563600782776,2044,-0.009477310893931223,0.001791003875792847,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,3,FULL,-0.012938515593844737,-4.635409228782829,0.44417238001958864,2042,-0.037325030256103855,0.0027452476959657253,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,5,FULL,-0.015107928480632657,-5.343776152593996,0.4441176470588235,2040,-0.04697578878090296,0.017042487140354272,-0.0001179484664631058,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,10,FULL,-0.014064543664975658,-4.9045947084815325,0.4491400491400491,2035,-0.06410287752023638,0.02041136681770494,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,20,FULL,-0.012423241265611173,-4.354939818726366,0.4671604938271605,2025,-0.0944073348812332,0.042670763379572846,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,1,PAST,-0.007796467618110521,-1.9320065483491182,0.4665314401622718,986,-0.011314438715228112,0.0007988020415199913,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,3,PAST,-0.01596140768799706,-3.9722934596259245,0.43610547667342797,986,-0.0651019030638401,-0.005272471859581602,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,5,PAST,-0.019389341098235757,-4.840911994863076,0.4208924949290061,986,-0.08329664940505309,0.020633523332507862,0.00029010310226221307,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,10,PAST,-0.023778361047334048,-5.955627476093463,0.42190669371196754,986,-0.11479433877053417,0.017333021204470632,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,20,PAST,-0.02771733236328845,-7.090956416865781,0.41683569979716023,986,-0.18114730738072207,0.03915220136622484,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
sig_flow_foreign_amt_mcap,A_flow,1,PRESENT,-0.014015709249051623,-3.639058704696173,0.4499054820415879,1058,-0.007765205003762289,0.0027156834680357915,,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost
