entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason
2018-01-30,2018-01-29,2018-03-02,006380,10700.0,9210.0,1.869158878504673e-05,0.2,0.00013000000000000002,0.000456196261682243,holding_period
2018-01-30,2018-01-29,2018-03-02,004870,5160.0,5090.0,3.875968992248062e-05,0.2,0.00013000000000000002,0.0005228100775193799,holding_period
2018-01-30,2018-01-29,2018-03-02,005880,32050.0,31700.0,6.2402496099843995e-06,0.2,0.00013000000000000002,0.0005242121684867395,holding_period
2018-01-30,2018-01-29,2018-03-02,010140,9690.0,8250.0,2.063983488132095e-05,0.2,0.00013000000000000002,0.00045123839009287935,holding_period
2018-01-30,2018-01-29,2018-03-02,034220,33050.0,29250.0,6.051437216338881e-06,0.2,0.00013000000000000002,0.0004690620272314675,holding_period
2018-03-02,2018-02-28,2018-03-30,011070,129500.0,126000.0,1.4076632038239527e-06,0.1822923848952019,0.00011849005018188123,0.00047001874375681785,holding_period
2018-03-02,2018-02-28,2018-03-30,028670,5800.0,5200.0,3.1429721533655496e-05,0.1822923848952019,0.00011849005018188123,0.00043310156273377275,holding_period
2018-03-02,2018-02-28,2018-03-30,010060,161000.0,157000.0,1.1322508378583968e-06,0.1822923848952019,0.00011849005018188123,0.00047107296109098594,holding_period
2018-03-02,2018-02-28,2018-03-30,086280,140000.0,169000.0,1.3020884635371563e-06,0.1822923848952019,0.00011849005018188123,0.0005831403183951155,holding_period
2018-03-02,2018-02-28,2018-03-30,207940,446000.0,487000.0,4.087273203928293e-07,0.1822923848952019,0.00011849005018188123,0.0005274830433329659,holding_period
2018-03-30,2018-03-29,2018-04-27,025620,19650.0,25200.0,9.512360159689192e-06,0.18691787713789262,0.0001214966201396302,0.0006352354114640442,holding_period
2018-03-30,2018-03-29,2018-04-27,009150,108000.0,121500.0,1.7307210846101168e-06,0.18691787713789262,0.0001214966201396302,0.0005572489212173424,holding_period
2018-03-30,2018-03-29,2018-04-27,028050,18600.0,17150.0,1.0049348233220034e-05,0.18691787713789262,0.0001214966201396302,0.00045671775382926755,holding_period
2018-03-30,2018-03-29,2018-04-27,008770,93400.0,110500.0,2.0012620678575225e-06,0.18691787713789262,0.0001214966201396302,0.000586019565020379,holding_period
2018-03-30,2018-03-29,2018-04-27,039130,119500.0,114000.0,1.5641663358819467e-06,0.18691787713789262,0.0001214966201396302,0.0004725346500699361,holding_period
2018-04-27,2018-04-26,2018-05-30,180640,24900.0,21700.0,8.180558966992124e-06,0.20369591827810388,0.00013240234688076754,0.0004704230433968821,holding_period
2018-04-27,2018-04-26,2018-05-30,008970,1980.0,3240.0,0.00010287672640308277,0.20369591827810388,0.00013240234688076754,0.0008832995728968684,holding_period
2018-04-27,2018-04-26,2018-05-30,025620,25850.0,22900.0,7.879919469172297e-06,0.20369591827810388,0.00013240234688076754,0.00047819291298672084,holding_period
2018-04-27,2018-04-26,2018-05-30,002210,19050.0,17700.0,1.0692699122210177e-05,0.20369591827810388,0.00013240234688076754,0.0005015410523272683,holding_period
2018-04-27,2018-04-26,2018-05-30,069960,100500.0,106500.0,2.0268250574935707e-06,0.20369591827810388,0.00013240234688076754,0.000572020701851123,holding_period
2018-05-30,2018-05-29,2018-06-29,011070,143000.0,144500.0,1.5284462000588607e-06,0.21856780660841707,0.0001420690742954711,0.0005852802611575392,holding_period
2018-05-30,2018-05-29,2018-06-29,079550,50600.0,40050.0,4.319521869731562e-06,0.21856780660841707,0.0001420690742954711,0.00045844165483928503,holding_period
2018-05-30,2018-05-29,2018-06-29,012450,32550.0,23450.0,6.714832768307744e-06,0.21856780660841707,0.0001420690742954711,0.0004172764953045641,holding_period
2018-05-30,2018-05-29,2018-06-29,006400,209000.0,214000.0,1.0457789789876415e-06,0.21856780660841707,0.0001420690742954711,0.0005930612589838915,holding_period
2018-05-30,2018-05-29,2018-06-29,009150,127500.0,148500.0,1.7142573067326828e-06,0.21856780660841707,0.0001420690742954711,0.000674603106631979,holding_period
2018-06-29,2018-06-28,2018-07-27,011760,33600.0,32100.0,6.108601539362113e-06,0.20524901172256702,0.00013341185761966856,0.0005196281899458382,holding_period
2018-06-29,2018-06-28,2018-07-27,000120,165500.0,156500.0,1.2401752974173233e-06,0.20524901172256702,0.00013341185761966856,0.0005143317002213995,holding_period
2018-06-29,2018-06-28,2018-07-27,161890,84700.0,67300.0,2.4232468916477806e-06,0.20524901172256702,0.00013341185761966856,0.0004321739668909234,holding_period
2018-06-29,2018-06-28,2018-07-27,008970,2575.0,2130.0,7.970835406701631e-05,0.20524901172256702,0.00013341185761966856,0.0004499138045312736,holding_period
2018-06-29,2018-06-28,2018-07-27,271560,151000.0,136000.0,1.3592649782951457e-06,0.20524901172256702,0.00013341185761966856,0.0004898790981775705,holding_period
2018-07-27,2018-07-26,2018-08-27,006490,7220.0,9960.0,2.5064374083940442e-05,0.18096478088605,0.00011762710757593251,0.0006615490895715241,holding_period
2018-07-27,2018-07-26,2018-08-27,005690,12400.0,17000.0,1.4593933942423387e-05,0.18096478088605,0.00011762710757593251,0.0006574567241061735,holding_period
