variant,multiplier,is_total_return,oos_total_return,full_total_return,cost_paid_total
signal_plus_gate,0.0,-0.5322672198698181,1.2179498773719408,0.03740786233257398,0.0
signal_only,0.0,-0.6434911731902361,1.6595586314693742,-0.06499663181235271,0.0
gate_only_equal_weight,0.0,-0.48245661696984865,1.0767780535287632,0.0748227396260488,0.0
signal_plus_gate,1.0,-0.7209129712817607,0.40682062919947426,-0.6073746106571949,0.40529269116117583
signal_only,1.0,-0.8401740487499133,0.6406402142897907,-0.7414261730523879,0.4448673583808787
gate_only_equal_weight,1.0,-0.6921513558123438,0.2405726886031334,-0.61809137979729,0.4017670062279863
signal_plus_gate,2.0,-0.8338666571449114,-0.1095371888530624,-0.8520644364960198,0.5816928792696197
signal_only,2.0,-0.9286174570779422,0.009809365117319446,-0.9289202576444962,0.612552200886233
gate_only_equal_weight,2.0,-0.8172014445016553,-0.2602026257411235,-0.8647661086240092,0.5588700836751128
signal_plus_gate,3.0,-0.9013410253351958,-0.4375663214369012,-0.9445108699560106,0.6673563512042403
signal_only,3.0,-0.9682397984770311,-0.37988100684138504,-0.9805793764515442,0.6902655781574483
gate_only_equal_weight,3.0,-0.891645191560137,-0.5595903127765671,-0.9522794927058449,0.6254676397876842
