date,signal_plus_gate_value,signal_only_value,gate_only_value,cash_value
2018-01-02,1.0,1.0,1.0,1.0
2018-01-03,1.0,1.0,1.0,1.0
2018-01-04,1.0,1.0,1.0,1.0
2018-01-05,1.0,1.0,1.0,1.0
2018-01-08,1.0,1.0,1.0,1.0
2018-01-09,1.0,1.0,1.0,1.0
2018-01-10,1.0,1.0,1.0,1.0
2018-01-11,1.0,1.0,1.0,1.0
2018-01-12,1.0,1.0,1.0,1.0
2018-01-15,1.0,1.0,1.0,1.0
2018-01-16,1.0,1.0,1.0,1.0
2018-01-17,1.0,1.0,1.0,1.0
2018-01-18,1.0,1.0,1.0,1.0
2018-01-19,1.0,1.0,1.0,1.0
2018-01-22,1.0,1.0,1.0,1.0
2018-01-23,1.0,1.0,1.0,1.0
2018-01-24,1.0,1.0,1.0,1.0
2018-01-25,1.0,1.0,1.0,1.0
2018-01-26,1.0,1.0,1.0,1.0
2018-01-29,1.0,1.0,1.0,1.0
2018-01-30,0.9904113341480474,0.9904113341480474,0.9879995564874082,1.0
2018-01-31,0.9772173763303411,0.9772173763303411,0.9959181780807336,1.0
2018-02-01,0.9830730684037496,0.9830730684037496,0.9974468081968091,1.0
2018-02-02,0.9670877277661449,0.9670877277661449,0.9716176328699451,1.0
2018-02-05,0.9581769788273924,0.9581769788273924,0.9568028075833379,1.0
2018-02-06,0.9335891422960336,0.9335891422960336,0.9461297608477903,1.0
2018-02-07,0.9143068098416545,0.9143068098416545,0.9352819963405348,1.0
2018-02-08,0.9007323394500163,0.9007323394500163,0.9457149291436293,1.0
2018-02-09,0.8932323865090284,0.8932323865090284,0.9199773119425461,1.0
2018-02-12,0.8695544195081941,0.8695544195081941,0.9296614528872431,1.0
2018-02-13,0.8342856930895464,0.8342856930895464,0.9373760064691383,1.0
2018-02-14,0.838243057768733,0.838243057768733,0.9594646989181472,1.0
2018-02-19,0.8472276780814878,0.8472276780814878,0.9572841533111727,1.0
2018-02-20,0.8406061074904978,0.8406061074904978,0.9418180270146845,1.0
2018-02-21,0.8449633060791103,0.8449633060791103,0.9546300529033578,1.0
2018-02-22,0.8439365185792821,0.8439365185792821,0.9378841382833731,1.0
2018-02-23,0.8527563389537391,0.8527563389537391,0.9536063831613539,1.0
2018-02-26,0.8627272995087163,0.8627272995087163,0.9660272085407078,1.0
2018-02-27,0.8681440398361351,0.8681440398361351,0.988843929466678,1.0
2018-02-28,0.850598436162064,0.850598436162064,0.97577716428236,1.0
2018-03-02,0.8497240402924158,0.8497240402924158,0.9687546588837179,1.0
2018-03-05,0.827832450764056,0.827832450764056,0.9647729701436569,1.0
2018-03-06,0.8335985296826112,0.8335985296826112,0.9857426199259449,1.0
2018-03-07,0.8216638202630906,0.8216638202630906,0.9624048460005235,1.0
2018-03-08,0.8289084021583798,0.8289084021583798,0.9908206807629298,1.0
2018-03-09,0.828546815461398,0.828546815461398,0.9498936286393802,1.0
2018-03-12,0.8278254676849874,0.8278254676849874,0.9550619497980688,1.0
2018-03-13,0.8425015319960593,0.8425015319960593,0.9683758383831602,1.0
2018-03-14,0.8438522528934584,0.8438522528934584,0.9636261448168606,1.0
2018-03-15,0.8519897085220263,0.8519897085220263,0.9697257688186458,1.0
2018-03-16,0.8512445427420854,0.8512445427420854,0.9675004593757321,1.0
2018-03-19,0.8378520304565076,0.8378520304565076,0.9519279671477512,1.0
2018-03-20,0.84183508583437,0.84183508583437,0.9570207522682481,1.0
2018-03-21,0.8367088966537036,0.8367088966537036,0.9513738921701576,1.0
2018-03-22,0.8361340085725641,0.8361340085725641,0.9510239816593884,1.0
2018-03-23,0.8152093751011606,0.8152093751011606,0.9113116934075782,1.0
2018-03-26,0.8325167301300986,0.8325167301300986,0.9167637839227385,1.0
2018-03-27,0.8409360423181822,0.8409360423181822,0.9170443343261017,1.0
2018-03-28,0.820604834308257,0.820604834308257,0.8888010765207037,1.0
2018-03-29,0.8241428473764086,0.8241428473764086,0.9051732381982527,1.0
2018-03-30,0.8284970810283742,0.8284970810283742,0.894214213048611,1.0
2018-04-02,0.8387817285956501,0.8387817285956501,0.8945048501615246,1.0
2018-04-03,0.844334840459014,0.844334840459014,0.8954488115763962,1.0
2018-04-04,0.8273051606694055,0.8273051606694055,0.8971838200693856,1.0
2018-04-05,0.8352112771051707,0.8352112771051707,0.9064863656075736,1.0
2018-04-06,0.8306202857951406,0.8306202857951406,0.8995472174422166,1.0
2018-04-09,0.8365461654181371,0.8365461654181371,0.9251931410217473,1.0
2018-04-10,0.8446676795739976,0.8446676795739976,0.9291440734736627,1.0
2018-04-11,0.8446384992653251,0.8446384992653251,0.9270214516937585,1.0
2018-04-12,0.8342072501171272,0.8342072501171272,0.9297532900232666,1.0
2018-04-13,0.8353892475236485,0.8353892475236485,0.9243044140340644,1.0
2018-04-16,0.8430070416486162,0.8430070416486162,0.9313915844922944,1.0
2018-04-17,0.84958013270396,0.84958013270396,0.92415454134095,1.0
2018-04-18,0.8554697222972105,0.8554697222972105,0.9270003748588831,1.0
2018-04-19,0.8622790236176778,0.8622790236176778,0.9169263881776408,1.0
2018-04-20,0.8562973789088396,0.8562973789088396,0.907368179616109,1.0
2018-04-23,0.8481979355088237,0.8481979355088237,0.8833444394270416,1.0
2018-04-24,0.8301456844215689,0.8301456844215689,0.8759116427852811,1.0
2018-04-25,0.8165287769855905,0.8165287769855905,0.881381743715838,1.0
2018-04-26,0.815811848102083,0.815811848102083,0.8987149455476753,1.0
2018-04-27,0.8077412874925458,0.8077412874925458,0.9246078821726462,1.0
2018-04-30,0.8398296492515037,0.8398296492515037,0.9112447058897395,1.0
2018-05-02,0.8427357796708994,0.8427357796708994,0.8695514138517197,1.0
2018-05-03,0.8213665376235166,0.8213665376235166,0.8661302869810363,1.0
2018-05-04,0.8217145642306285,0.8217145642306285,0.6701069864227228,1.0
2018-05-08,0.8059647755297986,0.8059647755297986,0.6463227015519233,1.0
2018-05-09,0.8021983322892534,0.8021983322892534,0.6487185675705387,1.0
2018-05-10,0.8097663551689819,0.8097663551689819,0.6563301581175576,1.0
2018-05-11,0.8051269389334709,0.8051269389334709,0.6568405183511563,1.0
2018-05-14,0.8236420979772595,0.8236420979772595,0.6557525037719814,1.0
2018-05-15,0.8070522303621799,0.8070522303621799,0.6520457395829039,1.0
2018-05-16,0.8014727990447994,0.8014727990447994,0.6567012011472086,1.0
2018-05-17,0.7920054478039731,0.7920054478039731,0.6526152948882125,1.0
2018-05-18,0.8001387865689327,0.8001387865689327,0.6565732438235448,1.0
2018-05-21,0.7839708091049794,0.7839708091049794,0.6591338633706205,1.0
2018-05-23,0.777676696135118,0.777676696135118,0.6578800323935641,1.0
2018-05-24,0.7636076011993285,0.7636076011993285,0.6568672890360627,1.0
2018-05-25,0.7615191647506621,0.7615191647506621,0.6613064988113477,1.0
2018-05-28,0.7524741563633551,0.7524741563633551,0.6597942290630681,1.0
2018-05-29,0.7529488924651655,0.7529488924651655,0.655161049720651,1.0
2018-05-30,0.7472897656574413,0.7472897656574413,0.638298334087092,1.0
2018-05-31,0.7475093934683248,0.7475093934683248,0.6376929059077998,1.0
2018-06-01,0.7740981492565633,0.7740981492565633,0.6412285721613478,1.0
2018-06-04,0.7870149059811951,0.7870149059811951,0.6428456114211942,1.0
2018-06-05,0.7956305158613848,0.7956305158613848,0.6441375243451937,1.0
2018-06-07,0.7966350818408191,0.7966350818408191,0.6442578926466332,1.0
2018-06-08,0.7998142710374936,0.7998142710374936,0.6333664908636052,1.0
2018-06-11,0.8039917653707317,0.8039917653707317,0.6371568455550412,1.0
2018-06-12,0.8076893370252302,0.8076893370252302,0.6361650889293293,1.0
2018-06-14,0.8065845019356859,0.8065845019356859,0.629932299155808,1.0
2018-06-15,0.7937945271986793,0.7937945271986793,0.6375754101226356,1.0
2018-06-18,0.7832794701074544,0.7832794701074544,0.6312607925725492,1.0
2018-06-19,0.7643614491141559,0.7643614491141559,0.6158071173317271,1.0
2018-06-20,0.7707406527569202,0.7727146767637143,0.6210766056391184,1.0
2018-06-21,0.7670472856377157,0.7735302761086258,0.6119460177671983,1.0
2018-06-22,0.775620411621729,0.7864016899720414,0.6058279431776221,1.0
2018-06-25,0.7684035682063056,0.7785785623510302,0.5944249923196128,1.0
2018-06-26,0.7579748980144638,0.7734664770999314,0.5912558855353537,1.0
2018-06-27,0.7552973605016529,0.7649801022678053,0.5920692585688706,1.0
2018-06-28,0.7591596910081311,0.7790519626370191,0.5854274599356716,1.0
2018-06-29,0.7659864067473137,0.7905283659926239,0.5854274599356716,1.0
2018-07-02,0.7588203323925597,0.7645668839725626,0.5854274599356716,1.0
2018-07-03,0.7622399614016471,0.7683486420237211,0.5854274599356716,1.0
2018-07-04,0.7644994163186027,0.7631772138581745,0.5854274599356716,1.0
2018-07-05,0.7644994163186027,0.7456270740525826,0.5854274599356716,1.0
2018-07-06,0.7644994163186027,0.7671955855637976,0.5854274599356716,1.0
2018-07-09,0.7644994163186027,0.7590395526267422,0.5854274599356716,1.0
2018-07-10,0.7644994163186027,0.7555648253794078,0.5854274599356716,1.0
2018-07-11,0.7644994163186027,0.7526350423971226,0.5854274599356716,1.0
2018-07-12,0.7644994163186027,0.756245523395938,0.5854274599356716,1.0
2018-07-13,0.7644994163186027,0.7473907309908845,0.5854274599356716,1.0
2018-07-16,0.7644994163186027,0.7304909181632259,0.5854274599356716,1.0
2018-07-17,0.7644994163186027,0.7217369745622818,0.5854274599356716,1.0
2018-07-18,0.7644994163186027,0.7070366405706676,0.5854274599356716,1.0
2018-07-19,0.7644994163186027,0.699948253962058,0.5854274599356716,1.0
2018-07-20,0.7644994163186027,0.6996690409253737,0.5854274599356716,1.0
2018-07-23,0.7644994163186027,0.6943906694148086,0.5854274599356716,1.0
2018-07-24,0.7644994163186027,0.6902612611487257,0.5854274599356716,1.0
2018-07-25,0.7644994163186027,0.6918327177230243,0.5854274599356716,1.0
2018-07-26,0.7644994163186027,0.6948975995936666,0.5854274599356716,1.0
2018-07-27,0.7644994163186027,0.699954133875,0.5854274599356716,1.0
2018-07-30,0.7644994163186027,0.7034984309051888,0.5854274599356716,1.0
2018-07-31,0.7644994163186027,0.7010406203866428,0.5854274599356716,1.0
2018-08-01,0.7644994163186027,0.7043558662765406,0.5854274599356716,1.0
2018-08-02,0.7644994163186027,0.693488635538829,0.5854274599356716,1.0
2018-08-03,0.7644994163186027,0.7076617804821769,0.5854274599356716,1.0
2018-08-06,0.7644994163186027,0.7060411398123912,0.5854274599356716,1.0
2018-08-07,0.7644994163186027,0.7111874925549657,0.5854274599356716,1.0
2018-08-08,0.7644994163186027,0.7104003281381635,0.5854274599356716,1.0
2018-08-09,0.7644994163186027,0.7135188439342941,0.5854274599356716,1.0
2018-08-10,0.7644994163186027,0.711871626851285,0.5854274599356716,1.0
2018-08-13,0.7644994163186027,0.6878982823873471,0.5854274599356716,1.0
2018-08-14,0.7644994163186027,0.6905128223391865,0.5854274599356716,1.0
2018-08-16,0.7644994163186027,0.6856363073222107,0.5854274599356716,1.0
2018-08-17,0.7644994163186027,0.6963088850453314,0.5854274599356716,1.0
2018-08-20,0.7644994163186027,0.704504285143932,0.5854274599356716,1.0
2018-08-21,0.7644994163186027,0.703177021754103,0.5854274599356716,1.0
2018-08-22,0.7644994163186027,0.7071500469271432,0.5854274599356716,1.0
2018-08-23,0.7644994163186027,0.7086377556859623,0.5854274599356716,1.0
2018-08-24,0.7644994163186027,0.7114659254042103,0.5854274599356716,1.0
