variant,entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason
F1,2018-01-30,2018-01-29,2018-02-01,016360,43600.0,43650.0,4.587155963302753e-06,0.2,0.00013000000000000002,0.0005306077981651377,signal_reversal
F1,2018-01-30,2018-01-29,2018-02-01,005880,32050.0,31450.0,6.2402496099843995e-06,0.2,0.00013000000000000002,0.0005200780031201249,signal_reversal
F1,2018-01-30,2018-01-29,2018-02-02,010130,533000.0,512000.0,3.75234521575985e-07,0.2,0.00013000000000000002,0.0005091181988742965,signal_reversal
F1,2018-01-30,2018-01-29,2018-02-05,267250,484000.0,443000.0,4.132231404958678e-07,0.2,0.00013000000000000002,0.000485103305785124,signal_reversal
F1,2018-01-30,2018-01-29,2018-02-06,096770,209500.0,195000.0,9.54653937947494e-07,0.2,0.00013000000000000002,0.0004933174224343675,signal_reversal
F1,2018-02-01,2018-01-31,2018-02-06,003490,38450.0,34600.0,5.07234728020152e-06,0.19503175292374847,0.00012677063940043652,0.00046508352212167747,signal_reversal
F1,2018-02-02,2018-02-01,2018-02-08,010950,124000.0,115000.0,1.555233535260392e-06,0.1928489583722886,0.00012535182294198759,0.0004739574198706045,signal_reversal
F1,2018-02-01,2018-01-31,2018-02-08,023530,242500.0,241500.0,8.042546512319525e-07,0.19503175292374847,0.00012677063940043652,0.0005147028704221688,signal_reversal
F1,2018-02-06,2018-02-05,2018-02-08,139130,12800.0,12400.0,1.4660340082189616e-05,0.1876523530520271,0.00012197402948381762,0.0004817387751007508,signal_reversal
F1,2018-02-06,2018-02-05,2018-02-09,024110,16800.0,15500.0,1.1169782919763518e-05,0.1876523530520271,0.00012197402948381762,0.0004587988334292865,signal_reversal
F1,2018-02-05,2018-02-02,2018-02-12,086280,142000.0,136500.0,1.3369925565409734e-06,0.18985294302881822,0.00012340441296873183,0.00048362363251478363,signal_reversal
F1,2018-02-08,2018-02-07,2018-02-12,001360,4940.0,5290.0,3.644764637579346e-05,0.18005137309641966,0.00011703339251267277,0.0005109413307190606,signal_reversal
F1,2018-02-08,2018-02-07,2018-02-13,016360,40700.0,41700.0,4.423866660845692e-06,0.18005137309641966,0.00011703339251267277,0.0004888593853567531,signal_reversal
F1,2018-02-09,2018-02-08,2018-02-13,018880,12650.0,12150.0,1.4385497516079975e-05,0.18197654357841167,0.0001182847533259676,0.0004631770562739851,signal_reversal
F1,2018-02-08,2018-02-07,2018-02-14,009450,64500.0,62100.0,2.7914941565336382e-06,0.18005137309641966,0.00011703339251267277,0.00045938223586995815,signal_reversal
F1,2018-02-12,2018-02-09,2018-02-14,004990,65800.0,61800.0,2.7503988141668885e-06,0.18097624197218126,0.00011763455728191783,0.00045043281379611135,signal_reversal
F1,2018-02-13,2018-02-12,2018-02-19,003490,36400.0,35900.0,4.873415115079328e-06,0.17739231018888751,0.00011530500162277689,0.0004636323469730718,signal_reversal
