year,gate_only_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return
2010,0.11059905860255848,0.3293489579737485,0.0
2011,-0.3199388893865034,0.004079681302652238,0.0
2012,-0.3286388908270661,0.18731018909741426,0.0
2013,-0.32384177298656003,0.06125736750042954,0.0
2014,-0.3123462365373184,0.05769800682302639,0.0
2015,-0.4690686643223181,0.16501292442133764,0.0
2017,0.014508608954979074,0.31675953872996554,0.0
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,
2024,,,
2025,0.29259062574694705,1.0470047808035559,0.0
2026,0.4624719465421576,0.7344109727369725,0.0
