year,macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,c003_monthly_macro_gate_mcap_net_total_return,quarterly_minus_monthly_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,-0.198001292652205,0.004079681302652238,0.0,-0.1320839987819283,-0.0659172938702767
2012,-0.060477772867464696,0.18731018909741426,0.0,-0.0615247731583582,0.001047000290893503
2013,-0.028193098885755274,0.06125736750042954,0.0,-0.0486191567017684,0.020426057816013123
2014,-0.10156544500691278,0.05769800682302639,0.0,-0.1252101052934492,0.023644660286536417
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.0,0.31675953872996554,0.0,-0.0155511542886437,0.0155511542886437
2018,-0.41757656791630815,-0.08401784948302582,0.0,-0.4446780927249639,0.02710152480865574
2019,0.0,0.17019485930094325,0.0,0.0,0.0
2020,0.1219931437777737,0.5251287429311848,0.0,0.2295218797648426,-0.10752873598706889
2021,-0.12419945981131253,0.13170240063376726,0.0,-0.1732887207530479,0.04908926094173538
2022,0.0,-0.18442405395793493,0.0,0.0,0.0
2023,-0.056007063306024896,0.3279894204214897,0.0,-0.0738748326853482,0.0178677693793233
2024,0.0979754142311724,0.034981455283805474,0.0,-0.0521865608453848,0.1501619750765572
2025,0.5670092245318126,1.047004780803555,0.0,0.1268401227916236,0.440169101740189
2026,0.26864408497789793,0.7344109727369705,0.0,0.2418885178645053,0.026755567113392636
