year,macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,c005_v4_macro_gate_mcap_net_total_return,v5_minus_v4_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,-0.14885508113656898,0.004079681302652238,0.0,-0.1488550811365689,-8.326672684688674e-17
2012,0.02624455292442307,0.18731018909741426,0.0,-0.046826673821664,0.07307122674608707
2013,-0.028193098885755274,0.06125736750042954,0.0,-0.0281930988857549,-3.7470027081099033e-16
2014,-0.0783678455575052,0.05769800682302639,0.0,-0.0783678455575049,-3.0531133177191805e-16
2015,-0.0265943500896052,0.16501292442133764,0.0,-0.026594350089605,-2.0122792321330962e-16
2017,0.0940147223548613,0.31675953872996554,0.0,0.0940147223548608,4.996003610813204e-16
2018,-0.44258998448930953,-0.08401784948302582,0.0,-0.4425899844893091,-4.440892098500626e-16
2019,0.027749348305260657,0.17019485930094325,0.0,0.0277493483052602,4.579669976578771e-16
2020,0.12199314377777437,0.5251287429311848,0.0,0.1219931437777739,4.718447854656915e-16
2021,-0.12419945981131231,0.13170240063376726,0.0,-0.1241994598113126,2.914335439641036e-16
2022,-0.2591599190160774,-0.18442405395793493,0.0,-0.0971682764473317,-0.16199164256874568
2023,-0.056007063306024785,0.3279894204214897,0.0,-0.0560070633060246,-1.8735013540549517e-16
2024,0.01039443637671722,0.034981455283805474,0.0,0.0103944363767178,-5.793976409762536e-16
2025,0.5670092245318135,1.047004780803555,0.0,0.567009224531813,4.440892098500626e-16
2026,0.5621484118981523,0.7344109727369705,0.0,0.5621484118981519,4.440892098500626e-16
