year,macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,c008_v6_macro_gate_mcap_net_total_return,v8_minus_v6_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,-0.14885508113656898,0.004079681302652238,0.0,-0.1488550811365689,-8.326672684688674e-17
2012,0.02624455292442307,0.18731018909741426,0.0,-0.046826673821664,0.07307122674608707
2013,-0.028193098885755274,0.06125736750042954,0.0,-0.0281930988857549,-3.7470027081099033e-16
2014,-0.0783678455575052,0.05769800682302639,0.0,-0.0783678455575049,-3.0531133177191805e-16
2015,-0.15879485716997876,0.16501292442133764,0.0,-0.158794857169979,2.220446049250313e-16
2017,0.0940147223548613,0.31675953872996554,0.0,0.094014722354861,3.0531133177191805e-16
2018,-0.4425899844893092,-0.08401784948302582,0.0,-0.4425899844893092,0.0
2019,0.11725673833786421,0.17019485930094325,0.0,0.0599400948078041,0.05731664353006011
2020,0.46309904044504924,0.5251287429311848,0.0,0.4630990404450499,-6.661338147750939e-16
2021,-0.12419945981131264,0.13170240063376726,0.0,-0.1241994598113126,-4.163336342344337e-17
2022,-0.09716827644733195,-0.18442405395793493,0.0,-0.0971682764473319,-4.163336342344337e-17
2023,-0.017729397197116303,0.3279894204214897,0.0,-0.0177293971971159,-4.0245584642661925e-16
2024,0.014081826253520058,0.034981455283805474,0.0,0.0103944363767172,0.003687389876802857
2025,0.7666554035490463,1.047004780803555,0.0,0.766655403549046,2.220446049250313e-16
2026,0.5621484118981515,0.7344109727369705,0.0,0.5621484118981519,-4.440892098500626e-16
