year,macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,c013_v10_macro_gate_mcap_net_total_return,v11_minus_v10_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.026244552924422848,0.18731018909741426,0.0,0.0262445529244228,4.85722573273506e-17
2013,-0.02819309888575494,0.06125736750042954,0.0,-0.0281930988857549,-4.163336342344337e-17
2014,-0.07836784555750465,0.05769800682302639,0.0,-0.0783678455575046,-4.163336342344337e-17
2015,-0.15879485716997932,0.16501292442133764,0.0,-0.1587948571699793,-2.7755575615628914e-17
2017,0.09401472235486152,0.31675953872996554,0.0,0.0940147223548615,2.7755575615628914e-17
2018,-0.4425899844893092,-0.08401784948302582,0.0,-0.4425899844893092,0.0
2019,0.11725673833786443,0.17019485930094325,0.0,0.1172567383378644,2.7755575615628914e-17
2020,0.4630990404450497,0.5251287429311848,0.0,0.4630990404450497,0.0
2021,-0.12419945981131242,0.13170240063376726,0.0,-0.1241994598113124,-1.3877787807814457e-17
2022,-0.09716827644733173,-0.18442405395793493,0.0,-0.0971682764473317,-2.7755575615628914e-17
2023,0.14010321024790118,0.3279894204214897,0.0,-0.0177293971971164,0.1578326074450176
2024,0.01408182625352028,0.034981455283805474,0.0,0.01408182625352,2.7929047963226594e-16
2025,0.766655403549046,1.047004780803555,0.0,0.7666554035490452,8.881784197001252e-16
2026,0.5621484118981521,0.7344109727369705,0.0,0.5621484118981521,0.0
