year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,c014_v11_macro_gate_mcap_net_total_return,d001_minus_c014_v11_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0262445529244228,-0.0262445529244228
2013,0.0,0.06125736750042954,0.0,-0.0281930988857549,0.0281930988857549
2014,0.0,0.05769800682302639,0.0,-0.0783678455575046,0.0783678455575046
2015,0.0,0.16501292442133764,0.0,-0.1587948571699793,0.1587948571699793
2017,0.0,0.31675953872996554,0.0,0.0940147223548615,-0.0940147223548615
2018,0.0,-0.08401784948302582,0.0,-0.4425899844893092,0.4425899844893092
2019,0.027749348305260213,0.17019485930094325,0.0,0.1172567383378644,-0.08950739003260419
2020,0.2461360848272729,0.5251287429311848,0.0,0.4630990404450497,-0.2169629556177768
2021,-0.03531652054910206,0.13170240063376726,0.0,-0.1241994598113124,0.08888293926221034
2022,0.0,-0.18442405395793493,0.0,-0.0971682764473317,0.0971682764473317
2023,-0.01772939719711597,0.3279894204214897,0.0,0.1401032102479011,-0.15783260744501706
2024,0.042247217979162865,0.034981455283805474,0.0,0.0140818262535202,0.028165391725642665
2025,0.7666554035490463,1.047004780803555,0.0,0.766655403549046,2.220446049250313e-16
2026,0.0,0.7344109727369705,0.0,0.5621484118981521,-0.5621484118981521
