date,ticker,signal_value,signal_date,execution_date,included_in_trade
2014-09-30,005930,174402415008000.0,2014-09-30,2014-10-01,True
2014-09-30,005380,41962669249500.0,2014-09-30,2014-10-01,True
2014-09-30,000660,33840700998500.0,2014-09-30,2014-10-01,True
2014-09-30,015760,30942668511400.0,2014-09-30,2014-10-01,True
2014-09-30,005490,28640875297500.0,2014-09-30,2014-10-01,True
2015-03-31,005930,212258344617000.0,2015-03-31,2015-04-01,True
2015-03-31,005380,37116586711500.0,2015-03-31,2015-04-01,True
2015-03-31,000660,33160507725750.0,2015-03-31,2015-04-01,True
2015-03-31,015760,29530347542000.0,2015-03-31,2015-04-01,True
2015-03-31,012330,23995262229500.0,2015-03-31,2015-04-01,True
2015-06-30,005930,186775559316000.0,2015-06-30,2015-07-01,True
2015-06-30,000660,30794500039500.0,2015-06-30,2015-07-01,True
2015-06-30,005380,29957601144000.0,2015-06-30,2015-07-01,True
2015-06-30,015760,29401954726600.0,2015-06-30,2015-07-01,True
2015-06-30,090430,24435648820000.0,2015-06-30,2015-07-01,True
2018-12-28,005930,231030584685000.0,2018-12-28,2019-01-02,True
2018-12-28,000660,44044143082500.0,2018-12-28,2019-01-02,True
2018-12-28,068270,27913989592500.0,2018-12-28,2019-01-02,True
2018-12-28,207940,25572772500000.0,2018-12-28,2019-01-02,True
2018-12-28,005380,25319680159500.0,2018-12-28,2019-01-02,True
2019-03-29,005930,266550790857500.0,2019-03-29,2019-04-01,True
2019-03-29,000660,54017775483000.0,2019-03-29,2019-04-01,True
2019-03-29,051910,25836797538000.0,2019-03-29,2019-04-01,True
2019-03-29,005380,25533348346500.0,2019-03-29,2019-04-01,True
2019-03-29,068270,22708520278000.0,2019-03-29,2019-04-01,True
2019-06-28,005930,280579779850000.0,2019-06-28,2019-07-01,True
2019-06-28,000660,50596164367500.0,2019-06-28,2019-07-01,True
2019-06-28,005380,29913546180000.0,2019-06-28,2019-07-01,True
2019-06-28,068270,26371623885000.0,2019-06-28,2019-07-01,True
2019-06-28,051910,25024985593500.0,2019-06-28,2019-07-01,True
2019-09-30,005930,292817834077500.0,2019-09-30,2019-10-01,True
2019-09-30,000660,59841794403000.0,2019-09-30,2019-10-01,True
2019-09-30,005380,28631537058000.0,2019-09-30,2019-10-01,True
2019-09-30,035420,25875703015000.0,2019-09-30,2019-10-01,True
2019-09-30,012330,24017286888000.0,2019-09-30,2019-10-01,True
2019-12-30,005930,333113866290000.0,2019-12-30,2020-01-02,True
2019-12-30,000660,68505022546500.0,2019-12-30,2020-01-02,True
2019-12-30,035420,30737698167500.0,2019-12-30,2020-01-02,True
2019-12-30,207940,28649445000000.0,2019-12-30,2020-01-02,True
2019-12-30,005380,25747016533500.0,2019-12-30,2020-01-02,True
2020-06-30,005930,315204518640000.0,2020-06-30,2020-07-01,True
2020-06-30,000660,61953001261500.0,2020-06-30,2020-07-01,True
2020-06-30,207940,51277875000000.0,2020-06-30,2020-07-01,True
2020-06-30,035420,43858326465000.0,2020-06-30,2020-07-01,True
2020-06-30,068270,41291451810000.0,2020-06-30,2020-07-01,True
2020-09-29,005930,347441344410000.0,2020-09-29,2020-10-05,True
2020-09-29,000660,61152198660000.0,2020-09-29,2020-10-05,True
2020-09-29,035420,48704096617500.0,2020-09-29,2020-10-05,True
2020-09-29,051910,46167392322000.0,2020-09-29,2020-10-05,True
2020-09-29,207940,45653850000000.0,2020-09-29,2020-10-05,True
2020-12-30,005930,483552386550000.0,2020-12-30,2021-01-04,True
2020-12-30,000660,86268280252500.0,2020-12-30,2021-01-04,True
2020-12-30,051910,58168090632000.0,2020-12-30,2021-01-04,True
2020-12-30,207940,54652290000000.0,2020-12-30,2021-01-04,True
2020-12-30,068270,48464211995000.0,2020-12-30,2021-01-04,True
2023-03-31,005930,382066083200000.0,2023-03-31,2023-04-03,True
2023-03-31,373220,136656000000000.0,2023-03-31,2023-04-03,True
2023-03-31,000660,64501009539000.0,2023-03-31,2023-04-03,True
