hypothesis,description,value,threshold,passes
H1,V1 cumulative net total return > 0,0.2114258147646717,0.0,True
H2,V1 cumulative net >= V2 cumulative net - 30pp,-19.883751811684657,-0.3,False
H3,"V1 positive in at least 2 of 2010, 2025, 2026",1.0,2.0,False
H4,V1 max drawdown improves on V2 by at least 5pp,0.22387331179114978,-0.05,False
H5,V1 positive in >= 8 of 16 years,4.0,8.0,False
H6,V1 net / V1 cost-0 >= 0.7,0.9319767718770599,0.7,True
H7,D004 sizing improves Sharpe versus D001 or cumulative net versus D001; strong if both pass,-1.0792583721104017,0.0,False
H8,Composite magnitude diagnostics: ON-quarter exposure and partial-vs-full quarter returns,0.2664919830741395,,
H9,Exposure scalar distribution and D001 quarter overlap are descriptive checks,0.11659024259493606,,
H7_STRONG,Sharpe >= D001 0.48 and cumulative net >= D001 +129.07%,0.32588260206753,0.48,False
