entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason,cost_paid,holding_days
2019-07-01,2019-06-28,2019-10-01,005930,47350.0,48900.0,4.223864836325238e-06,0.2,0.00013000000000000002,0.000547349524815206,monthly_rebalance,0.000677349524815206,63
2019-07-01,2019-06-28,2019-10-01,000660,71000.0,81800.0,2.8169014084507042e-06,0.2,0.00013000000000000002,0.0006106197183098591,monthly_rebalance,0.0007406197183098592,63
2019-07-01,2019-06-28,2019-10-01,005380,141500.0,134000.0,1.413427561837456e-06,0.2,0.00013000000000000002,0.0005019081272084806,monthly_rebalance,0.0006319081272084807,63
2019-07-01,2019-06-28,2019-10-01,068270,206000.0,169000.0,9.70873786407767e-07,0.2,0.00013000000000000002,0.0004348058252427185,monthly_rebalance,0.0005648058252427185,63
2019-07-01,2019-06-28,2019-10-01,051910,360000.0,299000.0,5.537511728487592e-07,0.1993504222255533,0.00012957777444660965,0.0004387647418067144,monthly_rebalance,0.000568342516253324,63
2019-10-01,2019-09-30,2020-01-02,005930,48900.0,55500.0,3.899732685648668e-06,0.19069692832821988,0.00012395300341334293,0.0005735531847417778,monthly_rebalance,0.0006975061881551208,62
2019-10-01,2019-09-30,2020-01-02,000660,81800.0,96000.0,2.3312582925210256e-06,0.19069692832821988,0.00012395300341334293,0.0005930721096173489,monthly_rebalance,0.0007170251130306918,62
2019-10-01,2019-09-30,2020-01-02,005380,134000.0,121000.0,1.4231114054344768e-06,0.19069692832821988,0.00012395300341334293,0.000456320672152565,monthly_rebalance,0.000580273675565908,62
2019-10-01,2019-09-30,2020-01-02,035420,157500.0,187500.0,1.2107741481156818e-06,0.19069692832821988,0.00012395300341334293,0.0006016034048449794,monthly_rebalance,0.0007255564082583224,62
2019-10-01,2019-09-30,2020-01-02,012330,251500.0,254500.0,7.557756099273707e-07,0.19007756589673372,0.00012355041783287693,0.000509713965725267,monthly_rebalance,0.0006332643835581439,62
2020-10-05,2020-09-29,2021-01-04,005930,57500.0,81000.0,3.579350338623358e-06,0.20581264447084308,0.000133778218906048,0.0007683075501855038,monthly_rebalance,0.0009020857690915518,61
2020-10-05,2020-09-29,2021-01-04,000660,83000.0,124500.0,2.479670415311362e-06,0.20581264447084308,0.000133778218906048,0.0008181052617716011,monthly_rebalance,0.0009518834806776491,61
2020-10-05,2020-09-29,2021-01-04,035420,297500.0,291500.0,6.918072083053548e-07,0.20581264447084308,0.000133778218906048,0.000534403773235679,monthly_rebalance,0.000668181992141727,61
2020-10-05,2020-09-29,2021-01-04,051910,670000.0,849000.0,3.071830514490195e-07,0.20581264447084308,0.000133778218906048,0.0006911157883025766,monthly_rebalance,0.0008248940072086246,61
2020-10-05,2020-09-29,2021-01-04,207940,697000.0,819000.0,2.943245163172183e-07,0.20514418787310118,0.00013334372211751578,0.0006387872139890748,monthly_rebalance,0.0007721309361065906,61
2021-01-04,2020-12-30,2021-04-01,005930,81000.0,82500.0,3.2066854699069197e-06,0.2597415230624605,0.00016883198999059933,0.0007010616108584003,monthly_rebalance,0.0008698936008489996,60
2021-01-04,2020-12-30,2021-04-01,000660,124500.0,138000.0,2.0862772936743817e-06,0.2597415230624605,0.00016883198999059933,0.0007629516062967215,monthly_rebalance,0.0009317835962873208,60
2021-01-04,2020-12-30,2021-04-01,051910,849000.0,817000.0,3.0593818970843405e-07,0.2597415230624605,0.00016883198999059933,0.0006623714776282451,monthly_rebalance,0.0008312034676188444,60
2021-01-04,2020-12-30,2021-04-01,207940,819000.0,744000.0,3.1714471680398107e-07,0.2597415230624605,0.00016883198999059933,0.0006252825236507291,monthly_rebalance,0.0007941145136413284,60
2021-01-04,2020-12-30,2021-04-01,068270,351500.0,323500.0,7.365516684496418e-07,0.2588979114600491,0.0001682836424490319,0.0006314273315701667,monthly_rebalance,0.0007997109740191985,60
2023-04-03,2023-03-31,2023-07-03,005930,64000.0,72700.0,3.978926119630603e-06,0.2546512716563586,0.00016552332657663308,0.0007665600115774339,monthly_rebalance,0.000932083338154067,61
2023-04-03,2023-03-31,2023-07-03,373220,588000.0,557000.0,4.3308039397339894e-07,0.2546512716563586,0.00016552332657663308,0.0006392483155244356,monthly_rebalance,0.0008047716421010686,61
2023-04-03,2023-03-31,2023-07-03,000660,89700.0,115300.0,2.838921646113251e-06,0.2546512716563586,0.00016552332657663308,0.0008674183143616734,monthly_rebalance,0.0010329416409383064,61
2023-04-03,2023-03-31,2023-07-03,207940,789000.0,745000.0,3.227519285885407e-07,0.2546512716563586,0.00016552332657663308,0.0006371929950159265,monthly_rebalance,0.0008027163215925596,61
2023-04-03,2023-03-31,2023-07-03,006400,750000.0,680000.0,3.384322568331281e-07,0.25382419262484607,0.00016498572520614994,0.0006098549268132967,monthly_rebalance,0.0007748406520194466,61
2023-07-03,2023-06-30,2023-10-04,005930,72700.0,67400.0,3.6448011582362667e-06,0.2649770442037766,0.0001722350787324548,0.0006509979348725796,monthly_rebalance,0.0008232330136050343,62
2023-07-03,2023-06-30,2023-10-04,373220,557000.0,467000.0,4.757218028793117e-07,0.2649770442037766,0.0001722350787324548,0.0005887295171532922,monthly_rebalance,0.0007609645958857469,62
2023-07-03,2023-06-30,2023-10-04,000660,115300.0,113000.0,2.298153028653743e-06,0.2649770442037766,0.0001722350787324548,0.0006881819244303634,monthly_rebalance,0.0008604170031628181,62
2023-07-03,2023-06-30,2023-10-04,207940,745000.0,668000.0,3.5567388483728404e-07,0.2649770442037766,0.0001722350787324548,0.0006296139109389602,monthly_rebalance,0.000801848989671415,62
2023-07-03,2023-06-30,2023-10-04,051910,678000.0,497000.0,3.895522539978027e-07,0.26411642821051023,0.00017167567833683165,0.0005130597961278061,monthly_rebalance,0.0006847354744646377,62
2023-10-04,2023-09-27,2024-01-02,005930,67400.0,78200.0,3.4291988560009692e-06,0.23112800289446533,0.00015023320188140246,0.0007106328789290809,monthly_rebalance,0.0008608660808104834,60
2023-10-04,2023-09-27,2024-01-02,373220,467000.0,425000.0,4.949207770759429e-07,0.23112800289446533,0.00015023320188140246,0.0005574045251817806,monthly_rebalance,0.0007076377270631831,60
2023-10-04,2023-09-27,2024-01-02,000660,113000.0,139700.0,2.0453805565881887e-06,0.23112800289446533,0.00015023320188140246,0.0007572101089517304,monthly_rebalance,0.0009074433108331329,60
2023-10-04,2023-09-27,2024-01-02,207940,668000.0,760000.0,3.4600000433303193e-07,0.23112800289446533,0.00015023320188140246,0.0006968440087267263,monthly_rebalance,0.0008470772106081288,60
2023-10-04,2023-09-27,2024-01-02,005490,529000.0,495000.0,4.3549588813951386e-07,0.23037732482580284,0.00014974526113677186,0.0005712617312670072,monthly_rebalance,0.0007210069924037791,60
2024-01-02,2023-12-28,2024-04-01,005930,78200.0,83200.0,3.1700293074706617e-06,0.24789629184420575,0.00016113258969873375,0.0006989280617111313,monthly_rebalance,0.0008600606514098651,61
2024-01-02,2023-12-28,2024-04-01,000660,139700.0,186400.0,1.7744902780544435e-06,0.24789629184420575,0.00016113258969873375,0.0008765272177477729,monthly_rebalance,0.0010376598074465066,61
2024-01-02,2023-12-28,2024-04-01,373220,425000.0,395000.0,5.832853925746018e-07,0.24789629184420575,0.00016113258969873375,0.0006105539846774645,monthly_rebalance,0.0007716865743761982,61
2024-01-02,2023-12-28,2024-04-01,207940,760000.0,838000.0,3.261793313739549e-07,0.24789629184420575,0.00016113258969873375,0.0007243464411821417,monthly_rebalance,0.0008854790308808754,61
2024-01-02,2023-12-28,2024-04-01,005380,202000.0,234500.0,1.2232235259230557e-06,0.24709115223645725,0.0001606092489536972,0.0007601416795967349,monthly_rebalance,0.0009207509285504321,61
2024-04-01,2024-03-29,2024-07-01,005930,83200.0,81500.0,3.3207280178204096e-06,0.2762845710826581,0.00017958497120372776,0.0007171942336487629,monthly_rebalance,0.0008967792048524907,60
2024-04-01,2024-03-29,2024-07-01,000660,186400.0,233500.0,1.4822133641773502e-06,0.2762845710826581,0.00017958497120372776,0.0009171565744188399,monthly_rebalance,0.0010967415456225676,60
2024-04-01,2024-03-29,2024-07-01,373220,395000.0,328000.0,6.994546103358433e-07,0.2762845710826581,0.00017958497120372776,0.0006079659473039149,monthly_rebalance,0.0007875509185076427,60
2024-04-01,2024-03-29,2024-07-01,207940,838000.0,727000.0,3.296951922227423e-07,0.2762845710826581,0.00017958497120372776,0.0006351742725767243,monthly_rebalance,0.0008147592437804521,60
2024-04-01,2024-03-29,2024-07-01,005380,234500.0,292000.0,1.1743591876275853e-06,0.2753872294986688,0.00017900169917413472,0.0009087191393862255,monthly_rebalance,0.0010877208385603602,60
2024-10-02,2024-09-30,2025-01-02,005930,60500.0,52700.0,4.710652375351356e-06,0.28499446870875705,0.00018524640466069208,0.0006578661574796937,monthly_rebalance,0.0008431125621403857,61
2024-10-02,2024-09-30,2025-01-02,000660,172700.0,170500.0,1.6502285391358255e-06,0.28499446870875705,0.00018524640466069208,0.0007456145096950444,monthly_rebalance,0.0009308609143557365,61
2024-10-02,2024-09-30,2025-01-02,373220,409500.0,348500.0,6.959571885439733e-07,0.28499446870875705,0.00018524640466069208,0.000642733862550073,monthly_rebalance,0.0008279802672107651,61
2024-10-02,2024-09-30,2025-01-02,207940,973000.0,950000.0,2.929028455382909e-07,0.28499446870875705,0.00018524640466069208,0.0007373829136426473,monthly_rebalance,0.0009226293183033393,61
2024-10-02,2024-09-30,2025-01-02,005380,237500.0,212000.0,1.1960793193481692e-06,0.2840688383451902,0.00018464474492437363,0.0006719573616098015,monthly_rebalance,0.0008566021065341751,61
2025-01-02,2024-12-30,2025-04-01,005930,52700.0,58700.0,4.935587819618445e-06,0.26010547809389206,0.00016906856076102982,0.0007677553632807471,monthly_rebalance,0.0009368239240417769,58
2025-01-02,2024-12-30,2025-04-01,000660,170500.0,193600.0,1.5255453260638832e-06,0.26010547809389206,0.00016906856076102982,0.0007826657740838145,monthly_rebalance,0.0009517343348448443,58
2025-01-02,2024-12-30,2025-04-01,373220,348500.0,337500.0,7.463571824788869e-07,0.26010547809389206,0.00016906856076102982,0.0006675232050795544,monthly_rebalance,0.0008365917658405842,58
2025-01-02,2024-12-30,2025-04-01,207940,950000.0,1025000.0,2.7379524009883373e-07,0.26010547809389206,0.00016906856076102982,0.0007436963209184571,monthly_rebalance,0.000912764881679487,58
2025-01-02,2024-12-30,2025-04-01,005380,212000.0,199000.0,1.2229277566319995e-06,0.2592606844059839,0.00016851944486388952,0.000644910952459885,monthly_rebalance,0.0008134303973237745,58
2025-04-01,2025-03-31,2025-07-01,005930,58700.0,60400.0,4.624723414921447e-06,0.2714712644558889,0.0001764563218963278,0.0007402332297923268,monthly_rebalance,0.0009166895516886547,60
2025-04-01,2025-03-31,2025-07-01,000660,193600.0,291000.0,1.4022276056605834e-06,0.2714712644558889,0.0001764563218963278,0.001081327818105159,monthly_rebalance,0.0012577841400014866,60
2025-04-01,2025-03-31,2025-07-01,373220,337500.0,296500.0,8.043593020915227e-07,0.2714712644558889,0.0001764563218963278,0.0006320052126358617,monthly_rebalance,0.0008084615345321895,60
2025-04-01,2025-03-31,2025-07-01,207940,1025000.0,994000.0,2.6485001410330625e-07,0.2714712644558889,0.0001764563218963278,0.0006976414221495189,monthly_rebalance,0.0008740977440458467,60
2025-04-01,2025-03-31,2025-07-01,005380,199000.0,204000.0,1.359746512346391e-06,0.2705895559569318,0.00017588321137200567,0.0007350789645744591,monthly_rebalance,0.0009109621759464647,60
2025-07-01,2025-06-30,2025-10-01,005930,60400.0,84900.0,4.843168796254022e-06,0.29252739529374294,0.0001901428069409329,0.0010896403316252112,monthly_rebalance,0.001279783138566144,65
2025-07-01,2025-06-30,2025-10-01,000660,291000.0,351000.0,1.0052487810781544e-06,0.29252739529374294,0.0001901428069409329,0.0009350321537198454,monthly_rebalance,0.0011251749606607782,65
2025-07-01,2025-06-30,2025-10-01,207940,994000.0,999000.0,2.942931542190573e-07,0.29252739529374294,0.0001901428069409329,0.0007790969818218214,monthly_rebalance,0.0009692397887627543,65
2025-07-01,2025-06-30,2025-10-01,373220,296500.0,349000.0,9.866016704679357e-07,0.29252739529374294,0.0001901428069409329,0.0009124585549322703,monthly_rebalance,0.0011026013618732032,65
2025-07-01,2025-06-30,2025-10-01,034020,67800.0,62700.0,4.300550130114231e-06,0.2915772988217449,0.00018952524423413418,0.0007145579068691301,monthly_rebalance,0.0009040831511032643,65
2025-10-01,2025-09-30,2026-01-02,005930,84900.0,120200.0,3.928301305648388e-06,0.3335127808495481,0.00021678330755220626,0.001251281814888181,monthly_rebalance,0.0014680651224403872,59
2025-10-01,2025-09-30,2026-01-02,000660,351000.0,651000.0,9.501788628192254e-07,0.3335127808495481,0.00021678330755220626,0.0016392010651925869,monthly_rebalance,0.0018559843727447931,59
2025-10-01,2025-09-30,2026-01-02,373220,349000.0,368500.0,9.556240138955533e-07,0.3335127808495481,0.00021678330755220626,0.0009331907401693553,monthly_rebalance,0.0011499740477215615,59
2025-10-01,2025-09-30,2026-01-02,207940,999000.0,1695000.0,3.338466274770251e-07,0.3335127808495481,0.00021678330755220626,0.0014995555889699276,monthly_rebalance,0.0017163388965221339,59
2025-10-01,2025-09-30,2026-01-02,012450,1100000.0,953000.0,3.022086985453449e-07,0.3324295683998794,0.0002160792194599216,0.0007632129577413413,monthly_rebalance,0.0009792921772012629,59
