date,V1_factor_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2022-01-03,1.0,1.0,1.0
2022-01-04,1.0,1.0006966498477616,1.0
2022-01-05,1.0,0.9894486126180135,1.0
2022-01-06,1.0,0.9788350710086643,1.0
2022-01-07,1.0,0.9906408059952833,1.0
2022-01-10,1.0,0.9817497436068574,1.0
2022-01-11,1.0,0.9823210202679276,1.0
2022-01-12,1.0,0.9978410520654656,1.0
2022-01-13,1.0,0.994706788713942,1.0
2022-01-14,1.0,0.9817483119113678,1.0
2022-01-17,1.0,0.9713479118744717,1.0
2022-01-18,1.0,0.9630286126777947,1.0
2022-01-19,1.0,0.9559532545490292,1.0
2022-01-20,1.0,0.9632601948160963,1.0
2022-01-21,1.0,0.9540562504812788,1.0
2022-01-24,1.0,0.9400798546715561,1.0
2022-01-25,1.0,0.9162633124110241,1.0
2022-01-26,1.0,0.9128296089290371,1.0
2022-01-27,1.0,0.8748267822416983,1.0
2022-01-28,1.0,0.8924895973402996,1.0
2022-02-03,1.0,0.908126108576014,1.0
2022-02-04,1.0,0.9227817938950967,1.0
2022-02-07,1.0,0.921789588508018,1.0
2022-02-08,1.0,0.9226627650618142,1.0
2022-02-09,1.0,0.9307366172587518,1.0
2022-02-10,1.0,0.932504185118509,1.0
2022-02-11,1.0,0.9248778113576622,1.0
2022-02-14,1.0,0.9107512687078261,1.0
2022-02-15,1.0,0.901801352388423,1.0
2022-02-16,1.0,0.9199506160211396,1.0
2022-02-17,1.0,0.925062852353931,1.0
2022-02-18,1.0,0.9254700470368559,1.0
2022-02-21,1.0,0.9253425700268011,1.0
2022-02-22,1.0,0.9130706588964751,1.0
2022-02-23,1.0,0.9177002499031376,1.0
2022-02-24,1.0,0.8942644485829578,1.0
2022-02-25,1.0,0.9040992580634579,1.0
2022-02-28,1.0,0.911897272721406,1.0
2022-03-02,1.0,0.9138581841529428,1.0
2022-03-03,1.0,0.9288392794954337,1.0
2022-03-04,1.0,0.9179508747413095,1.0
2022-03-07,1.0,0.8971961403044749,1.0
2022-03-08,1.0,0.8876620539519763,1.0
2022-03-10,1.0,0.9077324451698568,1.0
2022-03-11,1.0,0.901934593274267,1.0
2022-03-14,1.0,0.8972150024504288,1.0
2022-03-15,1.0,0.8893715120815793,1.0
2022-03-16,1.0,0.9023181202734332,1.0
2022-03-17,1.0,0.9147223090819878,1.0
2022-03-18,1.0,0.919197547772713,1.0
2022-03-21,1.0,0.9123170027702198,1.0
2022-03-22,1.0,0.9207442411781983,1.0
2022-03-23,1.0,0.9294728681915345,1.0
2022-03-24,1.0,0.9280609244486958,1.0
