year,trades,net,annualized,max_DD,sharpe
2010,0,0.0,0.0,0.0,
2011,0,0.0,0.0,0.0,
2012,0,0.0,0.0,0.0,
2013,0,0.0,0.0,0.0,
2014,0,0.0,0.0,0.0,
2015,0,0.0,0.0,0.0,
2017,10,0.09401472235486108,0.09766159375134942,-0.11120123654025105,0.8368783447844159
2018,5,-0.03586254487531926,-0.03701633446380803,-0.07864986496615223,-0.3573723747228273
2019,5,-0.04651535835890075,-0.04762243085999185,-0.12145723212802884,-0.49333030581576776
2020,5,0.24613608482727312,0.2505666731530549,-0.0603266136069901,2.246610446459564
2021,20,-0.12419945981131231,-0.12607077966526914,-0.2502642213831803,-0.5788006184730606
2022,5,-0.09716827644733184,-0.09941636658474884,-0.18083086612132626,-0.7671299099093573
2023,0,0.0,0.0,0.0,
2024,5,-0.07976588247723293,-0.08227054817697221,-0.12974341814274237,-0.7513464147588641
2025,5,0.3744394613181139,0.39262210908076955,-0.11721477308909667,2.012416645924202
2026,10,0.5621484118981519,2.938598188001894,-0.22972265618558352,5.190808081595581
