date,ticker,signal_value,signal_date,execution_date,included_in_trade
2017-03-31,005930,289799434220000.0,2017-03-31,2017-04-03,True
2017-03-31,000660,36764119432500.0,2017-03-31,2017-04-03,True
2017-03-31,005380,34693545442500.0,2017-03-31,2017-04-03,True
2017-03-31,015760,29819231376650.0,2017-03-31,2017-04-03,True
2017-03-31,035420,28183090545000.0,2017-03-31,2017-04-03,True
2017-06-30,005930,310599010238000.0,2017-06-30,2017-07-03,True
2017-06-30,000660,49067359401000.0,2017-06-30,2017-07-03,True
2017-06-30,005380,35134098400500.0,2017-06-30,2017-07-03,True
2017-06-30,028260,28074126364000.0,2017-06-30,2017-07-03,True
2017-06-30,035420,27622725002000.0,2017-06-30,2017-07-03,True
2017-12-28,005930,328942962712000.0,2017-12-28,2018-01-02,True
2017-12-28,000660,55692180922500.0,2017-12-28,2018-01-02,True
2017-12-28,005380,34363130724000.0,2017-12-28,2018-01-02,True
2017-12-28,005490,28989622637500.0,2017-12-28,2018-01-02,True
2017-12-28,035420,28677530730000.0,2017-12-28,2018-01-02,True
2019-06-28,005930,280579779850000.0,2019-06-28,2019-07-01,True
2019-06-28,000660,50596164367500.0,2019-06-28,2019-07-01,True
2019-06-28,005380,29913546180000.0,2019-06-28,2019-07-01,True
2019-06-28,068270,26371623885000.0,2019-06-28,2019-07-01,True
2019-06-28,051910,25024985593500.0,2019-06-28,2019-07-01,True
2020-09-29,005930,347441344410000.0,2020-09-29,2020-10-05,True
2020-09-29,000660,61152198660000.0,2020-09-29,2020-10-05,True
2020-09-29,035420,48704096617500.0,2020-09-29,2020-10-05,True
2020-09-29,051910,46167392322000.0,2020-09-29,2020-10-05,True
2020-09-29,207940,45653850000000.0,2020-09-29,2020-10-05,True
2020-12-30,005930,483552386550000.0,2020-12-30,2021-01-04,True
2020-12-30,000660,86268280252500.0,2020-12-30,2021-01-04,True
2020-12-30,051910,58168090632000.0,2020-12-30,2021-01-04,True
2020-12-30,207940,54652290000000.0,2020-12-30,2021-01-04,True
2020-12-30,068270,48464211995000.0,2020-12-30,2021-01-04,True
2021-03-31,005930,485940299570000.0,2021-03-31,2021-04-01,True
2021-03-31,000660,96460313362500.0,2021-03-31,2021-04-01,True
2021-03-31,035420,61927299915000.0,2021-03-31,2021-04-01,True
2021-03-31,051910,56826836115000.0,2021-03-31,2021-04-01,True
2021-03-31,207940,49491420000000.0,2021-03-31,2021-04-01,True
2021-06-30,005930,481761451785000.0,2021-06-30,2021-07-01,True
2021-06-30,000660,92820301537500.0,2021-06-30,2021-07-01,True
2021-06-30,035720,72360522355000.0,2021-06-30,2021-07-01,True
2021-06-30,035420,68579967412500.0,2021-06-30,2021-07-01,True
2021-06-30,051910,60003491550000.0,2021-06-30,2021-07-01,True
2021-09-30,005930,442360886955000.0,2021-09-30,2021-10-01,True
2021-09-30,000660,74984243595000.0,2021-09-30,2021-10-01,True
2021-09-30,035420,63734197260000.0,2021-09-30,2021-10-01,True
2021-09-30,207940,57828210000000.0,2021-09-30,2021-10-01,True
2021-09-30,051910,54779658168000.0,2021-09-30,2021-10-01,True
2021-12-30,005930,467433973665000.0,2021-12-30,2022-01-03,True
2021-12-30,000660,95368309815000.0,2021-12-30,2022-01-03,True
2021-12-30,035420,62092578672500.0,2021-12-30,2022-01-03,True
2021-12-30,207940,59746995000000.0,2021-12-30,2022-01-03,True
2021-12-30,035720,50150798662500.0,2021-12-30,2022-01-03,True
2024-09-30,005930,367141626825000.0,2024-09-30,2024-10-02,True
2024-09-30,000660,127109212929000.0,2024-09-30,2024-10-02,True
2024-09-30,373220,96993000000000.0,2024-09-30,2024-10-02,True
2024-09-30,207940,69536998000000.0,2024-09-30,2024-10-02,True
2024-09-30,005380,51097550604000.0,2024-09-30,2024-10-02,True
2025-06-30,005930,353994347735600.0,2025-06-30,2025-07-01,True
2025-06-30,000660,212576690580000.0,2025-06-30,2025-07-01,True
2025-06-30,207940,70604608000000.0,2025-06-30,2025-07-01,True
2025-06-30,373220,69498000000000.0,2025-06-30,2025-07-01,True
2025-06-30,034020,43814382386400.0,2025-06-30,2025-07-01,True
2025-09-30,005930,496657621655800.0,2025-09-30,2025-10-01,True
2025-09-30,000660,252980821837500.0,2025-09-30,2025-10-01,True
2025-09-30,373220,81315000000000.0,2025-09-30,2025-10-01,True
2025-09-30,207940,70960478000000.0,2025-09-30,2025-10-01,True
2025-09-30,012450,57080684907000.0,2025-09-30,2025-10-01,True
2025-12-30,005930,709764586847800.0,2025-12-30,2026-01-02,True
2025-12-30,000660,473929539615000.0,2025-12-30,2026-01-02,True
2025-12-30,373220,86229000000000.0,2025-12-30,2026-01-02,True
2025-12-30,207940,78463161945000.0,2025-12-30,2026-01-02,True
2025-12-30,005380,60710677619000.0,2025-12-30,2026-01-02,True
2026-03-31,005930,989763460558400.0,2026-03-31,2026-04-01,True
2026-03-31,000660,575150808555000.0,2026-03-31,2026-04-01,True
2026-03-31,373220,92313000000000.0,2026-03-31,2026-04-01,True
2026-03-31,005380,91219584753000.0,2026-03-31,2026-04-01,True
2026-03-31,207940,69621590304000.0,2026-03-31,2026-04-01,True
