scope,hypothesis,description,value,threshold,passes,verdict,window
grid,H7,Pre-registered count of windows with Sharpe >= 0.40,3.0,3 of 5 for plateau; 4 of 5 for strong plateau,True,PLATEAU,
window,H1,60-month D014 reproduces D013 Sharpe 0.5334,0.30061602794316405,0.5334,,,36.0
window,H7,Window Sharpe is at least 0.40 for plateau count,0.30061602794316405,0.4,False,,36.0
window,H8,2010-2014 warmup-artifact trade count and return diagnostic,20.0,>0 for 36mo/48mo,True,,36.0
window,H9,"ON share, max DD, and composite distribution are descriptive checks",0.5245901639344263,,,,36.0
window,H1,60-month D014 reproduces D013 Sharpe 0.5334,0.43498107792439267,0.5334,,,48.0
window,H7,Window Sharpe is at least 0.40 for plateau count,0.43498107792439267,0.4,True,,48.0
window,H8,2010-2014 warmup-artifact trade count and return diagnostic,0.0,>0 for 36mo/48mo,False,,48.0
window,H9,"ON share, max DD, and composite distribution are descriptive checks",0.4426229508196721,,,,48.0
window,H1,60-month D014 reproduces D013 Sharpe 0.5334,0.5333654677635088,0.5334,True,,60.0
window,H7,Window Sharpe is at least 0.40 for plateau count,0.5333654677635088,0.4,True,,60.0
window,H8,2010-2014 warmup-artifact trade count and return diagnostic,0.0,>0 for 36mo/48mo,True,,60.0
window,H9,"ON share, max DD, and composite distribution are descriptive checks",0.3770491803278688,,,,60.0
window,H1,60-month D014 reproduces D013 Sharpe 0.5334,0.33332674836656756,0.5334,,,72.0
window,H7,Window Sharpe is at least 0.40 for plateau count,0.33332674836656756,0.4,False,,72.0
window,H8,2010-2014 warmup-artifact trade count and return diagnostic,0.0,>0 for 36mo/48mo,True,,72.0
window,H9,"ON share, max DD, and composite distribution are descriptive checks",0.3114754098360656,,,,72.0
window,H1,60-month D014 reproduces D013 Sharpe 0.5334,0.40514725582831074,0.5334,,,84.0
window,H7,Window Sharpe is at least 0.40 for plateau count,0.40514725582831074,0.4,True,,84.0
window,H8,2010-2014 warmup-artifact trade count and return diagnostic,0.0,>0 for 36mo/48mo,True,,84.0
window,H9,"ON share, max DD, and composite distribution are descriptive checks",0.26229508196721313,,,,84.0
