year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.0,0.31675953872996554,0.0,0.0,0.0
2018,-0.2767152123290648,-0.08401784948302582,0.0,0.0,-0.2767152123290648
2019,0.027749348305260213,0.17019485930094325,0.0,0.0277493483052602,1.3877787807814457e-17
2020,0.505409165155519,0.5251287429311848,0.0,0.2461360848272729,0.25927308032824614
2021,-0.12419945981131242,0.13170240063376726,0.0,-0.035316520549102,-0.08888293926221041
2022,-0.09716827644733173,-0.18442405395793493,0.0,0.0,-0.09716827644733173
2023,0.0,0.3279894204214897,0.0,-0.0177293971971159,0.0177293971971159
2024,0.042247217979163754,0.034981455283805474,0.0,0.0422472179791628,9.506284648352903e-16
2025,0.5670092245318128,1.047004780803555,0.0,0.7666554035490463,-0.19964617901723347
2026,0.5621484118981519,0.7344109727369705,0.0,0.0,0.5621484118981519
