entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason,cost_paid,holding_days
2021-01-04,2020-12-30,2021-04-01,005930,81000.0,82500.0,2.469135802469136e-06,0.2,0.00013000000000000002,0.0005398148148148148,monthly_rebalance,0.0006698148148148148,60
2021-01-04,2020-12-30,2021-04-01,000660,124500.0,138000.0,1.606425702811245e-06,0.2,0.00013000000000000002,0.0005874698795180724,monthly_rebalance,0.0007174698795180724,60
2021-01-04,2020-12-30,2021-04-01,051910,849000.0,817000.0,2.3557126030624265e-07,0.2,0.00013000000000000002,0.0005100235571260306,monthly_rebalance,0.0006400235571260306,60
2021-01-04,2020-12-30,2021-04-01,207940,819000.0,744000.0,2.442002442002442e-07,0.2,0.00013000000000000002,0.00048146520146520155,monthly_rebalance,0.0006114652014652016,60
2021-01-04,2020-12-30,2021-04-01,068270,351500.0,323500.0,5.671420262462398e-07,0.1993504222255533,0.00012957777444660965,0.0004861966805502452,monthly_rebalance,0.0006157744549968549,60
2021-04-01,2021-03-31,2021-07-01,005930,82500.0,80500.0,2.3767336421915674e-06,0.19608052548080432,0.0001274523415625228,0.0005070167042205162,monthly_rebalance,0.000634469045783039,63
2021-04-01,2021-03-31,2021-07-01,000660,138000.0,127500.0,1.4208733730493067e-06,0.19608052548080432,0.0001274523415625228,0.0004800775909190345,monthly_rebalance,0.0006075299324815573,63
2021-04-01,2021-03-31,2021-07-01,035420,375500.0,418000.0,5.221851544095988e-07,0.19608052548080432,0.0001274523415625228,0.0005784244955395125,monthly_rebalance,0.0007058768371020353,63
2021-04-01,2021-03-31,2021-07-01,051910,817000.0,851000.0,2.40000643183359e-07,0.19608052548080432,0.0001274523415625228,0.000541237450474952,monthly_rebalance,0.0006686897920374748,63
2021-04-01,2021-03-31,2021-07-01,207940,744000.0,845000.0,2.6269311522047516e-07,0.1954436777240335,0.00012703839052062178,0.000588235558257449,monthly_rebalance,0.0007152739487780709,63
2021-07-01,2021-06-30,2021-10-01,005930,80500.0,73900.0,2.5199578775511766e-06,0.2028566091428697,0.0001318567959428653,0.0004934959509502346,monthly_rebalance,0.0006253527468930999,62
2021-07-01,2021-06-30,2021-10-01,000660,127500.0,102000.0,1.5910322285715271e-06,0.2028566091428697,0.0001318567959428653,0.0004300560113828838,monthly_rebalance,0.0005619128073257491,62
2021-07-01,2021-06-30,2021-10-01,035720,164000.0,118000.0,1.2369305435540835e-06,0.2028566091428697,0.0001318567959428653,0.00038678818096936194,monthly_rebalance,0.0005186449769122273,62
2021-07-01,2021-06-30,2021-10-01,035420,418000.0,388500.0,4.853028926862911e-07,0.2028566091428697,0.0001318567959428653,0.0004996314605928538,monthly_rebalance,0.0006314882565357191,62
2021-07-01,2021-06-30,2021-10-01,051910,851000.0,778000.0,2.376001802812875e-07,0.20219775341937565,0.00013142853972259418,0.0004898602916859305,monthly_rebalance,0.0006212888314085246,62
2021-10-01,2021-09-30,2022-01-03,005930,73900.0,79400.0,2.3425203268649365e-06,0.1731122521553188,0.00011252296390095721,0.0004928897019756513,monthly_rebalance,0.0006054126658766085,63
2021-10-01,2021-09-30,2022-01-03,000660,102000.0,132000.0,1.697178942699204e-06,0.1731122521553188,0.00011252296390095721,0.0005936731941561815,monthly_rebalance,0.0007061961580571387,63
2021-10-01,2021-09-30,2022-01-03,035420,388500.0,379000.0,4.455913826391732e-07,0.1731122521553188,0.00011252296390095721,0.0004475297051536536,monthly_rebalance,0.0005600526690546109,63
2021-10-01,2021-09-30,2022-01-03,207940,872000.0,903000.0,1.985232249487601e-07,0.1731122521553188,0.00011252296390095721,0.00047505615114113543,monthly_rebalance,0.0005875791150420927,63
2021-10-01,2021-09-30,2022-01-03,051910,778000.0,622000.0,2.2178663598701332e-07,0.17255000279789637,0.00011215750181863264,0.00036557091209739404,monthly_rebalance,0.0004777284139160267,63
2022-01-03,2021-12-30,2022-04-01,005930,79400.0,69500.0,2.2512491396920558e-06,0.17874918169154924,0.00011618696809950701,0.0004146238103027843,monthly_rebalance,0.0005308107784022913,59
2022-01-03,2021-12-30,2022-04-01,000660,132000.0,117000.0,1.3541604673602215e-06,0.17874918169154924,0.00011618696809950701,0.0004198574529050367,monthly_rebalance,0.0005360444210045437,59
2022-01-03,2021-12-30,2022-04-01,035420,379000.0,340000.0,4.716337247798133e-07,0.17874918169154924,0.00011618696809950701,0.00042494198602661184,monthly_rebalance,0.0005411289541261188,59
2022-01-03,2021-12-30,2022-04-01,207940,903000.0,825000.0,1.9795036732175995e-07,0.17874918169154924,0.00011618696809950701,0.00043276899055719767,monthly_rebalance,0.0005489559586567046,59
2022-01-03,2021-12-30,2022-04-01,035720,113500.0,105500.0,1.5697676142150875e-06,0.17816862421341242,0.00011580960573871808,0.00043886778074418313,monthly_rebalance,0.0005546773864829012,59
2023-10-04,2023-09-27,2024-01-02,005930,67400.0,78200.0,2.379948168054861e-06,0.16040850652689764,0.00010426552924248346,0.0004931966588660088,monthly_rebalance,0.0005974621881084923,60
2023-10-04,2023-09-27,2024-01-02,373220,467000.0,425000.0,3.4348716601048744e-07,0.16040850652689764,0.00010426552924248346,0.00038685242071931147,monthly_rebalance,0.0004911179499617949,60
2023-10-04,2023-09-27,2024-01-02,000660,113000.0,139700.0,1.4195443055477667e-06,0.16040850652689764,0.00010426552924248346,0.0005255223996353109,monthly_rebalance,0.0006297879288777944,60
2023-10-04,2023-09-27,2024-01-02,207940,668000.0,760000.0,2.40132494800745e-07,0.16040850652689764,0.00010426552924248346,0.0004836268445287004,monthly_rebalance,0.0005878923737711838,60
2023-10-04,2023-09-27,2024-01-02,005490,529000.0,495000.0,3.02244834638067e-07,0.15988751752353744,0.00010392688639029934,0.0003964696618364844,monthly_rebalance,0.0005003965482267838,60
