year,trades,net,annualized,max_DD,sharpe
2010,0,0.0,0.0,0.0,
2011,0,0.0,0.0,0.0,
2012,0,0.0,0.0,0.0,
2013,0,0.0,0.0,0.0,
2014,0,0.0,0.0,0.0,
2015,0,0.0,0.0,0.0,
2017,10,0.07991592741064135,0.08299539809153078,-0.11707795854849723,0.7116838877523007
2018,5,-0.04087883975636952,-0.04219045607869398,-0.08343584130884751,-0.40590281404681416
2019,10,0.01988589479212921,0.020375825148145843,-0.1225737721531932,0.15760067896282626
2020,20,0.43458037016073825,0.4429547250875028,-0.33900499928806305,1.4278613722742788
2021,20,-0.14131965068646968,-0.14342717768151703,-0.26514843771474605,-0.6564008005084254
2022,5,-0.10198713234629164,-0.10434014265790192,-0.18070203122570383,-0.8028608958112151
2023,5,0.08101779257508412,0.08342660168167493,-0.10666228031305758,0.5443603182425122
2024,15,0.02821330440706027,0.02915168672949009,-0.1297247817006909,0.155451912068152
2025,10,0.5557904554639392,0.58446615393917,-0.11716933776281324,2.5088306093598094
2026,10,0.5435759120621131,2.7964589571955685,-0.2295199623661952,4.973459965864552
