year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.07991592741064135,0.31675953872996554,0.0,0.0,0.07991592741064135
2018,-0.04087883975636952,-0.08401784948302582,0.0,0.0,-0.04087883975636952
2019,0.01988589479212921,0.17019485930094325,0.0,0.0277493483052602,-0.007863453513130989
2020,0.43458037016073825,0.5251287429311848,0.0,0.2461360848272729,0.18844428533346536
2021,-0.14131965068646968,0.13170240063376726,0.0,-0.035316520549102,-0.10600313013736767
2022,-0.10198713234629164,-0.18442405395793493,0.0,0.0,-0.10198713234629164
2023,0.08101779257508412,0.3279894204214897,0.0,-0.0177293971971159,0.09874718977220003
2024,0.02821330440706027,0.034981455283805474,0.0,0.0422472179791628,-0.014033913572102534
2025,0.5557904554639392,1.047004780803555,0.0,0.7666554035490463,-0.21086494808510703
2026,0.5435759120621131,0.7344109727369705,0.0,0.0,0.5435759120621131
