quarter,quarter_end_date,reliable_group_count,thin_group_count
2010Q1,2010-03-31,11,1
2010Q2,2010-06-30,10,2
2010Q3,2010-09-30,10,2
2010Q4,2010-12-30,10,2
2011Q1,2011-03-31,10,2
2011Q2,2011-06-30,10,2
2011Q3,2011-09-30,10,2
2011Q4,2011-12-29,11,1
2012Q1,2012-03-30,11,1
2012Q2,2012-06-29,11,1
2012Q3,2012-09-28,11,1
2012Q4,2012-12-28,11,1
2013Q1,2013-03-29,11,1
2013Q2,2013-06-28,11,1
2013Q3,2013-09-30,11,1
2013Q4,2013-12-30,10,2
2014Q1,2014-03-31,11,1
2014Q2,2014-06-30,11,1
2014Q3,2014-09-30,10,2
2014Q4,2014-12-30,10,2
2015Q1,2015-03-31,11,1
2015Q2,2015-06-30,11,1
2015Q3,2015-09-30,10,2
2015Q4,2015-12-30,11,1
2016Q1,2016-03-31,11,1
2016Q2,2016-06-30,10,2
2016Q3,2016-09-30,10,2
2016Q4,2016-12-29,11,1
2017Q1,2017-03-31,11,1
2017Q2,2017-06-30,10,2
2017Q3,2017-09-29,10,2
2017Q4,2017-12-28,11,1
2018Q1,2018-03-30,9,3
2018Q2,2018-06-29,10,2
2018Q3,2018-09-28,11,1
2018Q4,2018-12-28,11,1
2019Q1,2019-03-29,11,1
2019Q2,2019-06-28,10,2
2019Q3,2019-09-30,11,1
2019Q4,2019-12-30,10,2
2020Q1,2020-03-31,11,1
2020Q2,2020-06-30,10,2
2020Q3,2020-09-29,9,3
2020Q4,2020-12-30,10,2
2021Q1,2021-03-31,9,3
2021Q2,2021-06-30,10,2
2021Q3,2021-09-30,8,4
2021Q4,2021-12-30,10,2
2022Q1,2022-03-31,11,1
2022Q2,2022-06-30,9,3
2022Q3,2022-09-30,11,1
2022Q4,2022-12-29,10,2
2023Q1,2023-03-31,9,3
2023Q2,2023-06-30,10,2
2023Q3,2023-09-27,10,2
2023Q4,2023-12-28,10,2
2024Q1,2024-03-29,8,4
2024Q2,2024-06-28,9,3
2024Q3,2024-09-30,9,3
2024Q4,2024-12-30,9,3
2025Q1,2025-03-31,10,2
2025Q2,2025-06-30,11,1
2025Q3,2025-09-30,8,4
2025Q4,2025-12-30,10,2
2026Q1,2026-03-31,10,2
2026Q2,2026-05-06,9,3
