quarter,quarter_end_date,n_stocks,mapped_n_stocks,coverage_n_ratio,mcap_total,mapped_mcap,coverage_mcap_ratio,other_n_stocks,other_mcap_ratio
2010Q1,2010-03-31,100,100,1.0,721968209441770.0,721968209441770.0,1.0,0,0.0
2010Q2,2010-06-30,100,100,1.0,747612002424380.0,747612002424380.0,1.0,0,0.0
2010Q3,2010-09-30,100,100,1.0,824562204055530.0,824562204055530.0,1.0,0,0.0
2010Q4,2010-12-30,100,100,1.0,927555489860200.0,927555489860200.0,1.0,0,0.0
2011Q1,2011-03-31,100,100,1.0,946645711604510.0,946645711604510.0,1.0,0,0.0
2011Q2,2011-06-30,100,100,1.0,946556284495985.0,946556284495985.0,1.0,0,0.0
2011Q3,2011-09-30,100,100,1.0,794125496584510.0,794125496584510.0,1.0,0,0.0
2011Q4,2011-12-29,100,100,1.0,799686303335995.0,799686303335995.0,1.0,0,0.0
2012Q1,2012-03-30,100,100,1.0,900416280898978.0,900416280898978.0,1.0,0,0.0
2012Q2,2012-06-29,100,100,1.0,844703301254335.0,844703301254335.0,1.0,0,0.0
2012Q3,2012-09-28,100,100,1.0,883268013863025.0,883268013863025.0,1.0,0,0.0
2012Q4,2012-12-28,100,100,1.0,885646505384626.0,885646505384626.0,1.0,0,0.0
2013Q1,2013-03-29,100,100,1.0,886748729186875.0,886748729186875.0,1.0,0,0.0
2013Q2,2013-06-28,100,100,1.0,841023547962715.0,841023547962715.0,1.0,0,0.0
2013Q3,2013-09-30,100,100,1.0,899513988929065.0,899513988929065.0,1.0,0,0.0
2013Q4,2013-12-30,100,100,1.0,924999768994380.0,924999768994380.0,1.0,0,0.0
2014Q1,2014-03-31,100,100,1.0,896692502027880.0,896692502027880.0,1.0,0,0.0
2014Q2,2014-06-30,100,100,1.0,893291021683431.0,893291021683431.0,1.0,0,0.0
2014Q3,2014-09-30,100,100,1.0,903576198747390.0,903576198747390.0,1.0,0,0.0
2014Q4,2014-12-30,100,100,1.0,905225492939960.0,905225492939960.0,1.0,0,0.0
2015Q1,2015-03-31,100,100,1.0,870549948031988.0,870549948031988.0,1.0,0,0.0
2015Q2,2015-06-30,100,100,1.0,871934133682122.0,871934133682122.0,1.0,0,0.0
2015Q3,2015-09-30,100,100,1.0,884350821117292.0,884350821117292.0,1.0,0,0.0
2015Q4,2015-12-30,100,100,1.0,891276830298129.0,891276830298129.0,1.0,0,0.0
2016Q1,2016-03-31,100,100,1.0,933614214248585.0,933614214248585.0,1.0,0,0.0
2016Q2,2016-06-30,100,100,1.0,874599449488740.0,874599449488740.0,1.0,0,0.0
2016Q3,2016-09-30,100,100,1.0,930639068506335.0,930639068506335.0,1.0,0,0.0
2016Q4,2016-12-29,100,100,1.0,971503541700962.0,971503541700962.0,1.0,0,0.0
2017Q1,2017-03-31,100,100,1.0,1024471382798905.0,1024471382798905.0,1.0,0,0.0
2017Q2,2017-06-30,100,100,1.0,1169081196736205.0,1169081196736205.0,1.0,0,0.0
2017Q3,2017-09-29,100,100,1.0,1180154380419460.0,1180154380419460.0,1.0,0,0.0
2017Q4,2017-12-28,100,100,1.0,1182721384149995.0,1182721384149995.0,1.0,0,0.0
2018Q1,2018-03-30,100,100,1.0,1180561008940890.0,1180561008940890.0,1.0,0,0.0
2018Q2,2018-06-29,100,100,1.0,1115199149134520.0,1115199149134520.0,1.0,0,0.0
2018Q3,2018-09-28,100,100,1.0,1160529958032100.0,1160529958032100.0,1.0,0,0.0
2018Q4,2018-12-28,100,100,1.0,978888839382450.0,978888839382450.0,1.0,0,0.0
2019Q1,2019-03-29,100,100,1.0,1044289842048745.0,1044289842048745.0,1.0,0,0.0
2019Q2,2019-06-28,100,100,1.0,985020533724720.0,985020533724720.0,1.0,0,0.0
2019Q3,2019-09-30,100,100,1.0,1014105565273435.0,1014105565273435.0,1.0,0,0.0
2019Q4,2019-12-30,100,100,1.0,1074294162285032.0,1074294162285032.0,1.0,0,0.0
2020Q1,2020-03-31,100,100,1.0,883479796078750.0,883479796078750.0,1.0,0,0.0
2020Q2,2020-06-30,100,99,0.99,1011859086440083.0,1011617597030083.0,0.9997613408692612,1,0.00023865913073885288
2020Q3,2020-09-29,100,100,1.0,1155713085013020.0,1155713085013020.0,1.0,0,0.0
2020Q4,2020-12-30,100,100,1.0,1471389606111810.0,1471389606111810.0,1.0,0,0.0
2021Q1,2021-03-31,100,100,1.0,1551759827698905.0,1551759827698905.0,1.0,0,0.0
2021Q2,2021-06-30,100,100,1.0,1635183509654619.0,1635183509654619.0,1.0,0,0.0
2021Q3,2021-09-30,100,100,1.0,1552113782530530.0,1552113782530530.0,1.0,0,0.0
2021Q4,2021-12-30,100,100,1.0,1625588607133435.0,1625588607133435.0,1.0,0,0.0
2022Q1,2022-03-31,100,100,1.0,1554313100642243.0,1554313100642243.0,1.0,0,0.0
2022Q2,2022-06-30,100,100,1.0,1319196261313225.0,1319196261313225.0,1.0,0,0.0
2022Q3,2022-09-30,100,100,1.0,1265102136405810.0,1265102136405810.0,1.0,0,0.0
2022Q4,2022-12-29,100,100,1.0,1278322403062630.0,1278322403062630.0,1.0,0,0.0
2023Q1,2023-03-31,100,100,1.0,1427628866704821.0,1427628866704821.0,1.0,0,0.0
2023Q2,2023-06-30,100,100,1.0,1467791427234680.0,1467791427234680.0,1.0,0,0.0
2023Q3,2023-09-27,100,100,1.0,1444330463445035.0,1444330463445035.0,1.0,0,0.0
2023Q4,2023-12-28,100,100,1.0,1618306163471080.0,1618306163471080.0,1.0,0,0.0
2024Q1,2024-03-29,100,100,1.0,1678421092411887.0,1678421092411887.0,1.0,0,0.0
2024Q2,2024-06-28,100,100,1.0,1693242416964165.0,1693242416964165.0,1.0,0,0.0
2024Q3,2024-09-30,100,100,1.0,1593262339025125.0,1593262339025125.0,1.0,0,0.0
2024Q4,2024-12-30,100,100,1.0,1472902287919230.0,1472902287919230.0,1.0,0,0.0
2025Q1,2025-03-31,100,100,1.0,1552626387356343.0,1552626387356343.0,1.0,0,0.0
2025Q2,2025-06-30,100,100,1.0,1930543934242705.0,1930543934242705.0,1.0,0,0.0
2025Q3,2025-09-30,100,100,1.0,2179373087881291.0,2179373087881291.0,1.0,0,0.0
2025Q4,2025-12-30,100,99,0.99,2757506050240462.0,2739017944833462.0,0.9932953527317238,1,0.0067046472682762695
2026Q1,2026-03-31,100,100,1.0,3356845863221814.0,3356845863221814.0,1.0,0,0.0
2026Q2,2026-05-06,98,98,1.0,5162429733113150.0,5162429733113150.0,1.0,0,0.0
