pdno,ticker,prdt_name,kis_mcls,ksic,final_sector_code,final_sector_name,mapping_source
00000A002150,002150,도화엔지니어링보통주,KOSPI 50,"건축기술, 엔지니어링 및 관련기술 서비스업",05,조선/기계/산업재,ksic_fallback
00000A002170,002170,에스와이티에스보통주,,"가죽, 가방 및 유사제품 제조업",09,소비재/유통,ksic_fallback
00000A002450,002450,삼익악기보통주,,악기 제조업,09,소비재/유통,ksic_fallback
00000A002690,002690,동일제강보통주,,1차 철강 제조업,04,철강금속,ksic_fallback
00000A003580,003580,에이치엘비글로벌보통주,,종합 소매업,09,소비재/유통,ksic_fallback
00000A004440,004440,삼일씨엔에스보통주,,"시멘트, 석회, 플라스터 및 그 제품 제조업",03,2차전지/화학/소재,ksic_fallback
00000A004700,004700,조광피혁보통주,,"가죽, 가방 및 유사제품 제조업",09,소비재/유통,ksic_fallback
00000A004740,004740,보루네오가구보통주,,가구 제조업,09,소비재/유통,ksic_fallback
00000A006040,006040,동원산업보통주,,기타 금융업,06,금융,ksic_fallback
00000A006090,006090,사조오양보통주,,수산물 가공 및 저장 처리업,10,음식료,ksic_fallback
00000A006880,006880,신송홀딩스보통주,,산업용 농축산물 및 산동물 도매업,10,음식료,ksic_fallback
00000A007070,007070,지에스리테일보통주,KOSPI 50,종합 소매업,09,소비재/유통,ksic_fallback
00000A007160,007160,사조산업보통주,,수산물 가공 및 저장 처리업,10,음식료,ksic_fallback
00000A010400,010400,우진아이엔에스보통주,KODI(배당지수),건물설비 설치 공사업,12,건설/부동산,ksic_fallback
00000A011090,011090,에넥스보통주,,가구 제조업,09,소비재/유통,ksic_fallback
00000A011330,011330,유니켐보통주,,자동차 부품 제조업,02,자동차/운송장비,ksic_fallback
00000A012160,012160,영흥보통주,,1차 철강 제조업,04,철강금속,ksic_fallback
00000A013870,013870,지엠비코리아보통주,,자동차 부품 제조업,02,자동차/운송장비,ksic_fallback
00000A014710,014710,사조씨푸드보통주,,수산물 가공 및 저장 처리업,10,음식료,ksic_fallback
00000A016740,016740,두올보통주,,자동차 부품 제조업,02,자동차/운송장비,ksic_fallback
00000A016800,016800,퍼시스보통주,,가구 제조업,09,소비재/유통,ksic_fallback
00000A017860,017860,DS단석보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A018250,018250,애경산업보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A019440,019440,세아특수강보통주,,1차 철강 제조업,04,철강금속,ksic_fallback
00000A020150,020150,롯데에너지머티리얼즈보통주,,전자부품 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A022100,022100,포스코DX보통주,KOGI(지배구조지수),"건축기술, 엔지니어링 및 관련기술 서비스업",05,조선/기계/산업재,ksic_fallback
00000A022520,022520,코오롱아이넷보통주,KOGI(지배구조지수),상품 종합 도매업,09,소비재/유통,ksic_fallback
00000A023000,023000,삼원강재 보통주,,자동차 부품 제조업,02,자동차/운송장비,ksic_fallback
00000A023350,023350,한국종합기술보통주,,"건축기술, 엔지니어링 및 관련기술 서비스업",05,조선/기계/산업재,ksic_fallback
00000A025620,025620,차AI헬스케어보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A026960,026960,동서보통주,제조업,음·식료품 및 담배 도매업,10,음식료,ksic_fallback
00000A027410,027410,BGF보통주,,기타 금융업,06,금융,ksic_fallback
00000A028100,028100,동아지질보통주,,기반조성 및 시설물 축조관련 전문공사업,12,건설/부동산,ksic_fallback
00000A028260,028260,삼성물산보통주,,기타 전문 도매업,09,소비재/유통,ksic_fallback
00000A030190,030190,나이스평가정보보통주,,기타 정보 서비스업,08,인터넷/게임/SW,ksic_fallback
00000A030720,030720,동원수산보통주,,어로 어업,10,음식료,ksic_fallback
00000A030790,030790,비케이탑스보통주,KOGI(지배구조지수),"컴퓨터 프로그래밍, 시스템 통합 및 관리업",08,인터넷/게임/SW,ksic_fallback
00000A031210,031210,서울보증보험보통주,,보험업,06,금융,ksic_fallback
00000A031430,031430,신세계인터내셔날보통주,,"섬유, 의복, 신발 및 가죽제품 소매업",09,소비재/유통,ksic_fallback
00000A031440,031440,신세계푸드보통주,,음식점업,09,소비재/유통,ksic_fallback
00000A032560,032560,황금에스티보통주,,1차 비철금속 제조업,04,철강금속,ksic_fallback
00000A032830,032830,삼성생명보험보통주,,보험업,06,금융,ksic_fallback
00000A033660,033660,우리금융캐피탈보통주,,기타 금융업,06,금융,ksic_fallback
00000A033780,033780,케이티앤지보통주,,담배 제조업,10,음식료,ksic_fallback
00000A034230,034230,파라다이스보통주,,유원지 및 기타 오락관련 서비스업,09,소비재/유통,ksic_fallback
00000A034730,034730,SK보통주,,기타 금융업,06,금융,ksic_fallback
00000A034830,034830,한국토지신탁보통주,KOSPI 200(전기통신업),투자기관,06,금융,ksic_fallback
00000A035720,035720,카카오보통주,KOGI(지배구조지수),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",08,인터넷/게임/SW,ksic_fallback
00000A037560,037560,엘지헬로비전보통주,,텔레비전 방송업,08,인터넷/게임/SW,ksic_fallback
00000A039130,039130,하나투어보통주,KOSPI 200(유통서비스업),여행사 및 기타 여행보조 서비스업,09,소비재/유통,ksic_fallback
00000A039490,039490,키움증권보통주,,금융지원 서비스업,06,금융,ksic_fallback
00000A039570,039570,에이치디씨랩스보통주,,전기 및 통신 공사업,05,조선/기계/산업재,ksic_fallback
00000A047400,047400,유니온머티리얼보통주,,도자기 및 기타 요업제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A047810,047810,한국항공우주산업보통주,,"항공기,우주선 및 부품 제조업",05,조선/기계/산업재,ksic_fallback
00000A052690,052690,한국전력기술 보통주,,"건축기술, 엔지니어링 및 관련기술 서비스업",05,조선/기계/산업재,ksic_fallback
00000A053210,053210,케이티스카이라이프,,텔레비전 방송업,08,인터넷/게임/SW,ksic_fallback
00000A053690,053690,한미글로벌건축사사무소보통주,,"건축기술, 엔지니어링 및 관련기술 서비스업",05,조선/기계/산업재,ksic_fallback
00000A055490,055490,테이팩스보통주,,플라스틱제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A057050,057050,현대홈쇼핑보통주,,무점포 소매업,09,소비재/유통,ksic_fallback
00000A058850,058850,케이티씨에스보통주,,기타 정보 서비스업,08,인터넷/게임/SW,ksic_fallback
00000A058860,058860,케이티아이에스보통주,,기타 정보 서비스업,08,인터넷/게임/SW,ksic_fallback
00000A060980,060980,HL홀딩스보통주,,기타 금융업,06,금융,ksic_fallback
00000A062040,062040,산일전기보통주,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",01,반도체/IT하드웨어,ksic_fallback
00000A064350,064350,현대로템보통주,,그외 기타 운송장비 제조업,02,자동차/운송장비,ksic_fallback
00000A064400,064400,엘지씨엔에스보통주,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",08,인터넷/게임/SW,ksic_fallback
00000A066970,066970,엘앤에프보통주,,일차전지 및 축전지 제조업,03,2차전지/화학/소재,ksic_fallback
00000A068400,068400,에스케이렌터카보통주,,,05,조선/기계/산업재,ksic_fallback
00000A069640,069640,한세엠케이보통주,,"섬유, 의복, 신발 및 가죽제품 소매업",09,소비재/유통,ksic_fallback
00000A070960,070960,모나용평보통주,,숙박시설 운영업,09,소비재/유통,ksic_fallback
00000A071320,071320,지역난방공사보통주,,"증기, 냉온수 및 공기조절 공급업",11,에너지/유틸리티,ksic_fallback
00000A071840,071840,롯데하이마트보통주,,정보통신장비 소매업,09,소비재/유통,ksic_fallback
00000A071970,071970,에이치디현대마린엔진보통주,,일반 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A075580,075580,세진중공업보통주,,선박 및 보트 건조업,05,조선/기계/산업재,ksic_fallback
00000A079430,079430,현대리바트보통주,,가구 제조업,09,소비재/유통,ksic_fallback
00000A079440,079440,오렌지라이프생명보험보통주,,보험업,06,금융,ksic_fallback
00000A079550,079550,LIG디펜스앤에어로스페이스보통주,,무기 및 총포탄 제조업,05,조선/기계/산업재,ksic_fallback
00000A079900,079900,전진건설로봇보통주,,특수 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A079980,079980,휴비스보통주,,화학섬유 제조업,03,2차전지/화학/소재,ksic_fallback
00000A081660,081660,미스토홀딩스보통주,,가정용품 도매업,09,소비재/유통,ksic_fallback
00000A082640,082640,동양생명보험보통주,,보험업,06,금융,ksic_fallback
00000A082740,082740,한화엔진보통주,,일반 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A085620,085620,미래에셋생명보험보통주,,보험업,06,금융,ksic_fallback
00000A088350,088350,한화생명보험보통주,,보험업,06,금융,ksic_fallback
00000A089590,089590,제주항공보통주,,정기 항공 운송업,05,조선/기계/산업재,ksic_fallback
00000A089860,089860,롯데렌탈보통주,,,05,조선/기계/산업재,ksic_fallback
00000A090460,090460,비에이치보통주,,전자부품 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A091810,091810,트리니티항공보통주,,정기 항공 운송업,05,조선/기계/산업재,ksic_fallback
00000A092780,092780,디와이피보통주,,자동차용 엔진 및 자동차 제조업,02,자동차/운송장비,ksic_fallback
00000A092790,092790,넥스틸보통주,,1차 철강 제조업,04,철강금속,ksic_fallback
00000A093240,093240,형지엘리트보통주,,봉제의복 제조업,09,소비재/유통,ksic_fallback
00000A095570,095570,AJ네트웍스보통주,,,05,조선/기계/산업재,ksic_fallback
00000A096300,096300,한국베트남부동산개발특별자산1호투자회사,,투자기관,06,금융,ksic_fallback
00000A097520,097520,엠씨넥스보통주,,영상 및 음향기기 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A099340,099340,하나UBS암바토비니켈해외자원개발특별자산투자회사제1호,,투자기관,06,금융,ksic_fallback
00000A099350,099350,하나UBS암바토비니켈해외자원개발특별자산투자회사제2호,,투자기관,06,금융,ksic_fallback
00000A101530,101530,해태제과식품주식회사,,동물용 사료 및 조제식품 제조업,10,음식료,ksic_fallback
00000A102460,102460,이연제약보통주,,의약품 제조업,07,헬스케어,ksic_fallback
00000A103130,103130,웅진에너지보통주,,반도체 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A105840,105840,우진보통주,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외",01,반도체/IT하드웨어,ksic_fallback
00000A108320,108320,LX세미콘보통주,,반도체 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A108670,108670,엘엑스하우시스보통주,,플라스틱제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A110570,110570,넥솔론보통주,,반도체 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A111110,111110,호전실업보통주,,봉제의복 제조업,09,소비재/유통,ksic_fallback
00000A111380,111380,동인기연보통주,,"가죽, 가방 및 유사제품 제조업",09,소비재/유통,ksic_fallback
