quarter,quarter_end_date,final_sector_code,final_sector_name,n_stocks,sector_mcap,top1_ticker,top1_name,top1_weight_in_sector,top2_weight_in_sector
2010Q1,2010-03-31,01,반도체/IT하드웨어,11,187248146204650.0,005930,삼성전자,0.643482245930015,0.7323188990406929
2010Q1,2010-03-31,02,자동차/운송장비,9,83412721810750.0,005380,현대차,0.30501262603831153,0.520950909899451
2010Q1,2010-03-31,03,2차전지/화학/소재,13,61650180369375.0,051910,LG화학,0.25852640583542186,0.4407572761863028
2010Q1,2010-03-31,04,철강금속,5,57957069479425.0,005490,POSCO,0.7942887605168252,0.9207360337886674
2010Q1,2010-03-31,05,조선/기계/산업재,9,30885185377700.0,034020,두산중공업,0.3101914964420861,0.4651561956326473
2010Q1,2010-03-31,06,금융,17,122921185181400.0,105560,KB금융,0.1716124230877656,0.34308954976079636
2010Q1,2010-03-31,07,헬스케어,4,6759005418850.0,012450,삼성테크윈,0.6673669749428123,0.8280241887203913
2010Q1,2010-03-31,08,인터넷/게임/SW,12,72541263240600.0,017670,SK텔레콤,0.19312292387347357,0.36201378341592266
2010Q1,2010-03-31,09,소비재/유통,10,37697430024720.0,004170,신세계,0.26766725194219515,0.52036953604361
2010Q1,2010-03-31,10,음식료,3,14570675109200.0,033780,KT&G,0.5898498352196037,0.8092332850627528
2010Q1,2010-03-31,11,에너지/유틸리티,1,23449299873600.0,015760,한국전력,1.0,1.0
2010Q1,2010-03-31,12,건설/부동산,6,22876047351500.0,000720,현대건설,0.30228967881755,0.5196567756588646
2010Q2,2010-06-30,01,반도체/IT하드웨어,12,183309515367550.0,005930,삼성전자,0.6219518207191896,0.702609346632148
2010Q2,2010-06-30,02,자동차/운송장비,9,94824881355660.0,005380,현대차,0.3356708783648808,0.5481697431451346
2010Q2,2010-06-30,03,2차전지/화학/소재,20,82855119165850.0,051910,LG화학,0.24755145676567783,0.37031046239380827
2010Q2,2010-06-30,04,철강금속,4,53363296043800.0,005490,POSCO,0.7621841517082516,0.9067109915359437
2010Q2,2010-06-30,05,조선/기계/산업재,9,33514627541120.0,034020,두산중공업,0.23865879623416225,0.4147512721167922
2010Q2,2010-06-30,06,금융,15,130634201898450.0,055550,신한지주,0.16570860335165294,0.3241663402932495
2010Q2,2010-06-30,07,헬스케어,2,6897892518500.0,012450,삼성테크윈,0.8164493698467592,1.0
