kis_mcls,n_stocks,mapped_group_codes,representative_5_by_listed_shares
(missing),272,"01,02,03,04,05,06,07,08,09,10,11,12,99",088350 한화생명보험보통주; 316140 우리금융지주보통주; 323410 카카오뱅크보통주; 091810 트리니티항공보통주; 279570 케이뱅크보통주
화학,83,03,073240 금호타이어보통주; 012030 DB Inc.보통주; 009830 한화솔루션보통주; 096770 SK이노베이션 보통주; 006380 카프로보통주
서비스업,63,08,035250 강원랜드보통주; 028050 삼성E&A보통주; 079160 씨제이씨지브이 보통주; 035420 NAVER보통주; 003550 LG보통주
"전기,전자",60,01,005930 삼성전자보통주; 000660 에스케이하이닉스보통주; 034220 LG디스플레이보통주; 093230 이아이디보통주; 092220 케이이씨 보통주
운수장비,45,02,010140 삼성중공업보통주; 000270 기아보통주; 042660 한화오션보통주; 005380 현대자동차보통주; 003620 KG모빌리티보통주
유통업,45,09,001740 SK네트웍스보통주; 047050 포스코인터내셔널보통주; 000830 삼성물산보통주; 005440 현대지에프홀딩스보통주; 006490 인스코비보통주
금융업,44,06,010050 우리종합금융보통주; 024110 중소기업은행보통주; 053000 우리금융지주보통주; 000030 우리은행보통주; 004940 한국외환은행보통주
철강및금속,41,04,004020 현대제철 보통주; 008350 남선알미늄보통주; 018470 조일알미늄보통주; 008970 케이비아이동양철관보통주; 011800 배명금속보통주
기계,37,05,018880 한온시스템보통주; 034020 두산에너빌리티보통주; 042670 에이치디현대인프라코어보통주; 051310 플랜텍; 042700 한미반도체보통주
의약품,36,07,003520 영진약품보통주; 002630 오리엔트바이오보통주; 003000 부광약품보통주; 002210 동성제약보통주; 001360 삼성제약
"섬유,의복",33,09,009270 신원보통주; 012580 주식회사 신세계톰보이; 011000 진원생명과학보통주; 014590 지앤엘; 014990 인디에프보통주
음식료품,33,10,004410 서울식품공업보통주; 008040 사조동아원보통주; 000890 보해양조보통주; 004990 롯데지주보통주; 001790 대한제당보통주
건설업,30,12,047040 대우건설보통주; 011160 두산건설보통주; 009410 태영건설보통주; 001470 삼부토건보통주; 002780 진흥기업보통주
비금속광물,23,03,003410 쌍용C&E보통주; 001520 동양보통주; 004870 티웨이홀딩스보통주; 007110 일신석재보통주; 007210 벽산보통주
"종이,목재",23,03,027970 한국제지보통주; 001020 페이퍼코리아보통주; 014160 대영포장보통주; 011280 태림포장보통주; 009580 무림피앤피보통주
운수창고,20,05,011200 에이치엠엠보통주; 028670 팬오션보통주; 003490 대한항공보통주; 005880 대한해운보통주; 003280 흥아해운보통주
전기가스업,9,11,015760 한국전력공사보통주; 036460 한국가스공사보통주; 008020 경남에너지보통주; 016710 대성홀딩스보통주; 015350 부산도시가스보통주
의료정밀,6,07,012450 한화에어로스페이스보통주; 003160 디아이보통주; 108070 삼성디지털이미징 보통주; 029460 케이씨보통주; 025560 미래산업보통주
증권,6,06,068270 셀트리온보통주; 003670 포스코퓨처엠보통주; 100090 SK오션플랜트보통주; 033920 무학보통주; 078520 에이블씨엔씨보통주
KOGI(지배구조지수),4,99,035720 카카오보통주; 022100 포스코DX보통주; 022520 코오롱아이넷보통주; 030790 비케이탑스보통주
통신업,3,08,032640 LG유플러스보통주; 030200 케이티보통주; 017670 SK텔레콤보통주
KOSPI 50,2,"05,09",007070 지에스리테일보통주; 002150 도화엔지니어링보통주
KODI(배당지수),1,12,010400 우진아이엔에스보통주
KOSPI 200(유통서비스업),1,09,039130 하나투어보통주
KOSPI 200(전기통신업),1,06,034830 한국토지신탁보통주
보험,1,06,018260 삼성에스디에스보통주
제조업,1,10,026960 동서보통주
