final_sector_code,final_sector_name,n_stocks,listed_shares,listed_share_weight
01,반도체/IT하드웨어,81,11069793338,0.16505874862592854
02,자동차/운송장비,65,4497014690,0.06705379175741012
03,2차전지/화학/소재,169,7307394529,0.10895861917604811
04,철강금속,53,2225388343,0.0331821745796632
05,조선/기계/산업재,97,8292475810,0.12364690454615812
06,금융,94,15877377421,0.23674335812355096
07,헬스케어,60,2219722618,0.03309769445885115
08,인터넷/게임/SW,83,4922298674,0.07339508829893816
09,소비재/유통,115,4883731446,0.0728200226046403
10,음식료,49,1753180073,0.026141202471407336
11,에너지/유틸리티,13,913466972,0.013620463427429895
12,건설/부동산,37,2388914006,0.035620462312673566
99,기타,7,715019751,0.010661469617300547
