entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason
2018-01-31,2018-01-30,2018-02-05,010130,528000.0,495000.0,3.787878787878788e-07,0.2,0.00013000000000000002,0.000496875,vol_stop
2018-01-31,2018-01-30,2018-02-06,096770,209000.0,195000.0,9.569377990430622e-07,0.2,0.00013000000000000002,0.0004944976076555024,vol_stop
2018-01-31,2018-01-30,2018-02-08,267250,471000.0,436000.0,4.2462845010615716e-07,0.2,0.00013000000000000002,0.0004906157112526539,vol_stop
2018-01-31,2018-01-30,2018-02-08,010950,124000.0,115000.0,1.6129032258064518e-06,0.2,0.00013000000000000002,0.0004915322580645162,vol_stop
2018-02-05,2018-02-02,2018-02-13,086280,142000.0,135000.0,1.3436174071180365e-06,0.19079367181076118,0.00012401588667699476,0.00048067912739647756,vol_stop
2018-02-08,2018-02-07,2018-02-14,000270,34050.0,32200.0,5.495874280588169e-06,0.18713451925402713,0.00012163743751511764,0.0004689629523625884,vol_stop
2018-02-06,2018-02-05,2018-02-14,023530,242000.0,208000.0,7.809425321992604e-07,0.188988092792221,0.00012284226031494366,0.00043045552374823234,vol_stop
2018-01-31,2018-01-30,2018-02-23,003490,37450.0,35200.0,5.34045393858478e-06,0.2,0.00013000000000000002,0.0004981575433911883,vol_stop
2018-02-08,2018-02-07,2018-03-13,016360,40700.0,41500.0,4.597899735971183e-06,0.18713451925402713,0.00012163743751511764,0.0005056540234634309,time_cap
2018-02-13,2018-02-12,2018-03-16,000660,75900.0,89800.0,2.3470860549896864e-06,0.1781438315737172,0.00011579349052291617,0.0005585360685058957,time_cap
2018-02-14,2018-02-13,2018-03-19,145720,69300.0,81300.0,2.559978590736199e-06,0.17740651633801857,0.00011531423561971208,0.0005515345874811604,time_cap
2018-02-14,2018-02-13,2018-03-19,010060,158500.0,148500.0,1.1192840147509058e-06,0.17740651633801857,0.00011531423561971208,0.0004404662419048502,time_cap
2018-02-23,2018-02-22,2018-03-26,207940,447000.0,491500.0,4.0328229181014386e-07,0.1802671844391343,0.0001171736698854373,0.0005252651030254172,time_cap
2018-03-20,2018-03-19,2018-04-05,035720,135500.0,125000.0,1.399967720372711e-06,0.18969562611050234,0.0001233021569718265,0.0004637393073734605,vol_stop
2018-03-14,2018-03-13,2018-04-11,192820,137000.0,150500.0,1.3673563191919598e-06,0.1873278157292985,0.00012176308022404403,0.0005453358840017333,time_cap
2018-03-19,2018-03-16,2018-04-16,000120,132500.0,145000.0,1.4174085011333755e-06,0.18780662640017226,0.00012207430716011197,0.0005446392165604995,time_cap
2018-03-20,2018-03-19,2018-04-17,018260,248000.0,232500.0,7.649017181875094e-07,0.18969562611050234,0.0001233021569718265,0.00047127507111827924,vol_stop
2018-04-17,2018-04-16,2018-04-24,128940,530000.0,458000.0,3.748954568828673e-07,0.19869459214791968,0.0001291514848961478,0.00045501061601873596,vol_stop
2018-03-27,2018-03-26,2018-04-24,009150,107000.0,117000.0,1.786171045491226e-06,0.19112030186756118,0.00012422819621391476,0.0005538023326545546,time_cap
2018-04-17,2018-04-16,2018-04-26,011070,131000.0,118500.0,1.5167526118161808e-06,0.19869459214791968,0.0001291514848961478,0.0004762982389255762,vol_stop
2018-04-12,2018-04-11,2018-05-03,028260,141500.0,132500.0,1.349778556211289e-06,0.19099366570389742,0.00012414588270753333,0.0004739409955496889,vol_stop
2018-04-05,2018-04-04,2018-05-04,090430,338000.0,350000.0,5.620113331013655e-07,0.18995983058826155,0.00012347388988237,0.0005212655114515165,time_cap
2018-04-24,2018-04-23,2018-05-11,005380,161500.0,152000.0,1.1553801132115e-06,0.18659388828365725,0.00012128602738437721,0.0004653871096015922,vol_stop
2018-05-11,2018-05-10,2018-05-28,097950,355000.0,338500.0,5.333186560142492e-07,0.18932812288505846,0.000123063279875288,0.0004784001674111819,vol_stop
2018-04-25,2018-04-24,2018-05-28,004020,55200.0,67200.0,3.334091792985645e-06,0.1840418669728076,0.00011962721353232494,0.0005937350664948837,time_cap
2018-04-26,2018-04-25,2018-05-29,036460,54400.0,60700.0,3.367560103927824e-06,0.18319526965367364,0.00011907692527488787,0.0005416888805173101,time_cap
2018-05-03,2018-05-02,2018-05-30,000270,33300.0,31450.0,5.587735698644049e-06,0.18607159876484683,0.00012094653919715043,0.00046569586246424165,vol_stop
2018-05-08,2018-05-04,2018-06-07,009410,12100.0,15850.0,1.5577255296224587e-05,0.18848478908431748,0.00012251511290480637,0.0006542836655796732,time_cap
2018-06-08,2018-06-07,2018-06-20,097950,378500.0,350500.0,5.606575014914997e-07,0.21220886431453265,0.0001379357618044462,0.0005207527038228423,vol_stop
2018-05-30,2018-05-29,2018-06-25,079550,50600.0,44600.0,4.037114401638494e-06,0.2042779887229078,0.00013278069266989007,0.00047714655112965365,vol_stop
2018-05-28,2018-05-25,2018-06-27,009150,130500.0,149000.0,1.5756355310800034e-06,0.20562043680594044,0.0001336532839238613,0.0006221396894469393,time_cap
2018-05-29,2018-05-28,2018-06-28,011070,145500.0,140500.0,1.3897503735366975e-06,0.2022086793495895,0.00013143564157723319,0.000517438807827051,time_cap
