date,ticker,signal_value,signal_date,execution_date,included_in_trade
2017-03-31,005930,289799434220000.0,2017-03-31,2017-04-03,True
2017-03-31,005380,34693545442500.0,2017-03-31,2017-04-03,True
2017-03-31,015760,29819231376650.0,2017-03-31,2017-04-03,True
2017-03-31,035420,28183090545000.0,2017-03-31,2017-04-03,True
2017-03-31,005490,25371368985000.0,2017-03-31,2017-04-03,True
2017-06-30,005930,310599010238000.0,2017-06-30,2017-07-03,True
2017-06-30,005380,35134098400500.0,2017-06-30,2017-07-03,True
2017-06-30,028260,28074126364000.0,2017-06-30,2017-07-03,True
2017-06-30,035420,27622725002000.0,2017-06-30,2017-07-03,True
2017-06-30,015760,26192134341600.0,2017-06-30,2017-07-03,True
2017-12-28,005930,328942962712000.0,2017-12-28,2018-01-02,True
2017-12-28,005380,34363130724000.0,2017-12-28,2018-01-02,True
2017-12-28,005490,28989622637500.0,2017-12-28,2018-01-02,True
2017-12-28,035420,28677530730000.0,2017-12-28,2018-01-02,True
2017-12-28,051910,28589898915000.0,2017-12-28,2018-01-02,True
2019-06-28,005930,280579779850000.0,2019-06-28,2019-07-01,True
2019-06-28,005380,29913546180000.0,2019-06-28,2019-07-01,True
2019-06-28,068270,26371623885000.0,2019-06-28,2019-07-01,True
2019-06-28,051910,25024985593500.0,2019-06-28,2019-07-01,True
2019-06-28,005490,21317181157500.0,2019-06-28,2019-07-01,True
2019-09-30,005930,292817834077500.0,2019-09-30,2019-10-01,True
2019-09-30,005380,28631537058000.0,2019-09-30,2019-10-01,True
2019-09-30,035420,25875703015000.0,2019-09-30,2019-10-01,True
2019-09-30,051910,21142406728500.0,2019-09-30,2019-10-01,True
2019-09-30,068270,21047157792000.0,2019-09-30,2019-10-01,True
2019-12-30,005930,333113866290000.0,2019-12-30,2020-01-02,True
2019-12-30,035420,30737698167500.0,2019-12-30,2020-01-02,True
2019-12-30,207940,28649445000000.0,2019-12-30,2020-01-02,True
2019-12-30,005380,25747016533500.0,2019-12-30,2020-01-02,True
2019-12-30,068270,23229151393000.0,2019-12-30,2020-01-02,True
2020-03-31,005930,285057116762500.0,2020-03-31,2020-04-01,True
2020-03-31,207940,31891530000000.0,2020-03-31,2020-04-01,True
2020-03-31,068270,29391375751000.0,2020-03-31,2020-04-01,True
2020-03-31,035420,27924777150000.0,2020-03-31,2020-04-01,True
2020-03-31,051910,21530664615000.0,2020-03-31,2020-04-01,True
2020-06-30,005930,315204518640000.0,2020-06-30,2020-07-01,True
2020-06-30,207940,51277875000000.0,2020-06-30,2020-07-01,True
2020-06-30,035420,43858326465000.0,2020-06-30,2020-07-01,True
2020-06-30,068270,41291451810000.0,2020-06-30,2020-07-01,True
2020-06-30,051910,34625544241500.0,2020-06-30,2020-07-01,True
2020-09-29,005930,347441344410000.0,2020-09-29,2020-10-05,True
2020-09-29,035420,48704096617500.0,2020-09-29,2020-10-05,True
2020-09-29,051910,46167392322000.0,2020-09-29,2020-10-05,True
2020-09-29,207940,45653850000000.0,2020-09-29,2020-10-05,True
2020-09-29,005380,38139771379500.0,2020-09-29,2020-10-05,True
2020-12-30,005930,483552386550000.0,2020-12-30,2021-01-04,True
2020-12-30,051910,58168090632000.0,2020-12-30,2021-01-04,True
2020-12-30,207940,54652290000000.0,2020-12-30,2021-01-04,True
2020-12-30,068270,48464211995000.0,2020-12-30,2021-01-04,True
2020-12-30,035420,48047043037500.0,2020-12-30,2021-01-04,True
2021-03-31,005930,485940299570000.0,2021-03-31,2021-04-01,True
2021-03-31,035420,61927299915000.0,2021-03-31,2021-04-01,True
2021-03-31,051910,56826836115000.0,2021-03-31,2021-04-01,True
2021-03-31,207940,49491420000000.0,2021-03-31,2021-04-01,True
2021-03-31,005380,46579664766000.0,2021-03-31,2021-04-01,True
2021-06-30,005930,481761451785000.0,2021-06-30,2021-07-01,True
2021-06-30,035720,72360522355000.0,2021-06-30,2021-07-01,True
2021-06-30,051910,60003491550000.0,2021-06-30,2021-07-01,True
2021-06-30,207940,55644765000000.0,2021-06-30,2021-07-01,True
2021-06-30,005380,51173530786500.0,2021-06-30,2021-07-01,True
2021-09-30,005930,442360886955000.0,2021-09-30,2021-10-01,True
2021-09-30,035420,63734197260000.0,2021-09-30,2021-10-01,True
2021-09-30,207940,57828210000000.0,2021-09-30,2021-10-01,True
2021-09-30,051910,54779658168000.0,2021-09-30,2021-10-01,True
2021-09-30,005380,42733637400000.0,2021-09-30,2021-10-01,True
2021-12-30,005930,467433973665000.0,2021-12-30,2022-01-03,True
2021-12-30,035420,62092578672500.0,2021-12-30,2022-01-03,True
2021-12-30,207940,59746995000000.0,2021-12-30,2022-01-03,True
2021-12-30,005380,44656651083000.0,2021-12-30,2022-01-03,True
2021-12-30,051910,43414290945000.0,2021-12-30,2022-01-03,True
2023-09-27,005930,408333126420000.0,2023-09-27,2023-10-04,True
2023-09-27,373220,111501000000000.0,2023-09-27,2023-10-04,True
2023-09-27,207940,48469494000000.0,2023-09-27,2023-10-04,True
2023-09-27,005490,45245608050000.0,2023-09-27,2023-10-04,True
2023-09-27,005380,40423670796600.0,2023-09-27,2023-10-04,True
2023-12-28,005930,468627930175000.0,2023-12-28,2024-01-02,True
2023-12-28,373220,100035000000000.0,2023-12-28,2024-01-02,True
2023-12-28,207940,54092240000000.0,2023-12-28,2024-01-02,True
2023-12-28,005380,43046661471000.0,2023-12-28,2024-01-02,True
2023-12-28,005490,42243329385000.0,2023-12-28,2024-01-02,True
2024-03-29,005930,491910082120000.0,2024-03-29,2024-04-01,True
2024-03-29,373220,92430000000000.0,2024-03-29,2024-04-01,True
2024-03-29,207940,59145594000000.0,2024-03-29,2024-04-01,True
2024-03-29,005380,49286840898000.0,2024-03-29,2024-04-01,True
2024-03-29,068270,41691114494400.0,2024-03-29,2024-04-01,True
2024-09-30,005930,367141626825000.0,2024-09-30,2024-10-02,True
2024-09-30,373220,96993000000000.0,2024-09-30,2024-10-02,True
2024-09-30,207940,69536998000000.0,2024-09-30,2024-10-02,True
2024-09-30,005380,51097550604000.0,2024-09-30,2024-10-02,True
2024-09-30,068270,42405940526000.0,2024-09-30,2024-10-02,True
2025-06-30,005930,353994347735600.0,2025-06-30,2025-07-01,True
2025-06-30,207940,70604608000000.0,2025-06-30,2025-07-01,True
2025-06-30,373220,69498000000000.0,2025-06-30,2025-07-01,True
2025-06-30,034020,43814382386400.0,2025-06-30,2025-07-01,True
2025-06-30,105560,42304147222700.0,2025-06-30,2025-07-01,True
2025-09-30,005930,496657621655800.0,2025-09-30,2025-10-01,True
2025-09-30,373220,81315000000000.0,2025-09-30,2025-10-01,True
2025-09-30,207940,70960478000000.0,2025-09-30,2025-10-01,True
2025-09-30,329180,45718154740000.0,2025-09-30,2025-10-01,True
2025-09-30,105560,44058872896500.0,2025-09-30,2025-10-01,True
2025-12-30,005930,709764586847800.0,2025-12-30,2026-01-02,True
2025-12-30,373220,86229000000000.0,2025-12-30,2026-01-02,True
2025-12-30,207940,78463161945000.0,2025-12-30,2026-01-02,True
2025-12-30,005380,60710677619000.0,2025-12-30,2026-01-02,True
2025-12-30,329180,53425263525000.0,2025-12-30,2026-01-02,True
2026-03-31,005930,989763460558400.0,2026-03-31,2026-04-01,True
2026-03-31,373220,92313000000000.0,2026-03-31,2026-04-01,True
2026-03-31,005380,91219584753000.0,2026-03-31,2026-04-01,True
2026-03-31,207940,69621590304000.0,2026-03-31,2026-04-01,True
2026-03-31,402340,61618639147500.0,2026-03-31,2026-04-01,True
