date,ticker,signal_value,signal_date,execution_date,included_in_trade
2017-03-31,005930,289799434220000.0,2017-03-31,2017-04-03,True
2017-03-31,000660,36764119432500.0,2017-03-31,2017-04-03,True
2017-03-31,066570,11111686570600.0,2017-03-31,2017-04-03,True
2017-03-31,034220,10823924925000.0,2017-03-31,2017-04-03,True
2017-03-31,006400,9489505140000.0,2017-03-31,2017-04-03,True
2017-03-31,009150,5191211872000.0,2017-03-31,2017-04-03,True
2017-03-31,011070,3230560105500.0,2017-03-31,2017-04-03,True
2017-03-31,008700,424186510000.0,2017-03-31,2017-04-03,True
2017-03-31,004770,237413721600.0,2017-03-31,2017-04-03,True
2017-03-31,005380,34693545442500.0,2017-03-31,2017-04-03,True
2017-03-31,012330,23411199051500.0,2017-03-31,2017-04-03,True
2017-03-31,000270,15018712006350.0,2017-03-31,2017-04-03,True
2017-03-31,161390,6751191260500.0,2017-03-31,2017-04-03,True
2017-03-31,010140,4368000000000.0,2017-03-31,2017-04-03,True
2017-03-31,204320,2437074528000.0,2017-03-31,2017-04-03,True
2017-03-31,010620,1772000000000.0,2017-03-31,2017-04-03,True
2017-03-31,001420,64752000000.0,2017-03-31,2017-04-03,True
2017-03-31,051910,20754148842000.0,2017-03-31,2017-04-03,True
2017-03-31,090430,16397606445000.0,2017-03-31,2017-04-03,True
2017-03-31,096770,15395516406000.0,2017-03-31,2017-04-03,True
2017-03-31,011170,12699042739500.0,2017-03-31,2017-04-03,True
2017-03-31,051900,12666357767000.0,2017-03-31,2017-04-03,True
2017-03-31,010950,11314570596000.0,2017-03-31,2017-04-03,True
2017-03-31,004800,4758415152500.0,2017-03-31,2017-04-03,True
2017-03-31,009830,4350967077600.0,2017-03-31,2017-04-03,True
2017-03-31,011780,2400854050800.0,2017-03-31,2017-04-03,True
2017-03-31,010060,2020041723700.0,2017-03-31,2017-04-03,True
2017-03-31,006650,1592500000000.0,2017-03-31,2017-04-03,True
2017-03-31,093370,674518196900.0,2017-03-31,2017-04-03,True
2017-03-31,006060,605754000000.0,2017-03-31,2017-04-03,True
2017-03-31,012690,279038675650.0,2017-03-31,2017-04-03,True
2017-03-31,005490,25371368985000.0,2017-03-31,2017-04-03,True
2017-03-31,010130,8151840000000.0,2017-03-31,2017-04-03,True
2017-03-31,004020,7806578422500.0,2017-03-31,2017-04-03,True
2017-03-31,155660,261600000000.0,2017-03-31,2017-04-03,True
2017-03-31,069730,228960000000.0,2017-03-31,2017-04-03,True
2017-03-31,047810,5614566163200.0,2017-03-31,2017-04-03,True
2017-03-31,086280,5512500000000.0,2017-03-31,2017-04-03,True
2017-03-31,003490,2992348202700.0,2017-03-31,2017-04-03,True
2017-03-31,028670,2939182240500.0,2017-03-31,2017-04-03,True
2017-03-31,034020,2549659184700.0,2017-03-31,2017-04-03,True
2017-03-31,042670,1954229057880.0,2017-03-31,2017-04-03,True
2017-03-31,003280,227329905400.0,2017-03-31,2017-04-03,True
2017-03-31,118000,218385391950.0,2017-03-31,2017-04-03,True
2017-03-31,002900,140259190500.0,2017-03-31,2017-04-03,True
2017-03-31,055550,22097700754200.0,2017-03-31,2017-04-03,True
2017-03-31,032830,21700000000000.0,2017-03-31,2017-04-03,True
2017-03-31,105560,20487465313000.0,2017-03-31,2017-04-03,True
2017-03-31,034730,17132732319500.0,2017-03-31,2017-04-03,True
2017-03-31,000810,12696456316000.0,2017-03-31,2017-04-03,True
2017-03-31,086790,10937313140900.0,2017-03-31,2017-04-03,True
2017-03-31,018260,10329936300000.0,2017-03-31,2017-04-03,True
2017-03-31,000030,8788000000000.0,2017-03-31,2017-04-03,True
2017-03-31,024110,6831741543000.0,2017-03-31,2017-04-03,True
2017-03-31,005830,4531200000000.0,2017-03-31,2017-04-03,True
2017-03-31,005940,3531681531850.0,2017-03-31,2017-04-03,True
2017-03-31,001450,3129000000000.0,2017-03-31,2017-04-03,True
2017-03-31,180640,1159740976800.0,2017-03-31,2017-04-03,True
2017-03-31,207940,11446545000000.0,2017-03-31,2017-04-03,True
2017-03-31,128940,3337872148000.0,2017-03-31,2017-04-03,True
2017-03-31,000100,2595661860000.0,2017-03-31,2017-04-03,True
2017-03-31,012450,2502423000000.0,2017-03-31,2017-04-03,True
2017-03-31,003520,1494233612270.0,2017-03-31,2017-04-03,True
2017-03-31,004720,274509471600.0,2017-03-31,2017-04-03,True
2017-03-31,025560,259897180800.0,2017-03-31,2017-04-03,True
2017-03-31,035420,28183090545000.0,2017-03-31,2017-04-03,True
2017-03-31,017670,20347919172000.0,2017-03-31,2017-04-03,True
2017-03-31,003550,12113510596200.0,2017-03-31,2017-04-03,True
2017-03-31,002790,9853752510000.0,2017-03-31,2017-04-03,True
2017-03-31,030200,8329466675200.0,2017-03-31,2017-04-03,True
2017-03-31,035250,8172527100000.0,2017-03-31,2017-04-03,True
2017-03-31,021240,7347805350600.0,2017-03-31,2017-04-03,True
2017-03-31,036570,6688351710000.0,2017-03-31,2017-04-03,True
2017-03-31,032640,6243542462300.0,2017-03-31,2017-04-03,True
2017-03-31,078930,5491298839800.0,2017-03-31,2017-04-03,True
2017-03-31,001040,5076797652000.0,2017-03-31,2017-04-03,True
2017-03-31,028050,2518600000000.0,2017-03-31,2017-04-03,True
2017-03-31,011210,1846546135700.0,2017-03-31,2017-04-03,True
2017-03-31,028260,24185480482500.0,2017-03-31,2017-04-03,True
2017-03-31,023530,6849269010000.0,2017-03-31,2017-04-03,True
2017-03-31,139480,5728480804500.0,2017-03-31,2017-04-03,True
2017-03-31,069960,2363646541000.0,2017-03-31,2017-04-03,True
2017-03-31,008770,1770090257100.0,2017-03-31,2017-04-03,True
2017-03-31,001120,1248072000000.0,2017-03-31,2017-04-03,True
2017-03-31,001380,169912202900.0,2017-03-31,2017-04-03,True
2017-03-31,013000,90616946625.0,2017-03-31,2017-04-03,True
2017-03-31,033780,13386018457500.0,2017-03-31,2017-04-03,True
2017-03-31,097950,4647244294000.0,2017-03-31,2017-04-03,True
2017-03-31,001800,4025651450000.0,2017-03-31,2017-04-03,True
2017-03-31,006980,194052000000.0,2017-03-31,2017-04-03,True
2017-03-31,002140,183055379500.0,2017-03-31,2017-04-03,True
2017-03-31,000720,5512110367500.0,2017-03-31,2017-04-03,True
2017-03-31,000210,2815320000000.0,2017-03-31,2017-04-03,True
2017-03-31,006360,2179700000000.0,2017-03-31,2017-04-03,True
2017-06-30,005930,310599010238000.0,2017-06-30,2017-07-03,True
2017-06-30,000660,49067359401000.0,2017-06-30,2017-07-03,True
2017-06-30,034220,13274962470000.0,2017-06-30,2017-07-03,True
2017-06-30,066570,13124554682800.0,2017-06-30,2017-07-03,True
2017-06-30,006400,11793116895000.0,2017-06-30,2017-07-03,True
