signal_date,execution_date,kospi_combined_net_5,market_gate_on,kospi_5d_return,price_gate_on,double_gate_on
2018-01-02,2018-01-03,,False,,False,False
2018-01-03,2018-01-04,,False,,False,False
2018-01-04,2018-01-05,,False,,False,False
2018-01-05,2018-01-08,,False,,False,False
2018-01-08,2018-01-09,5989.0,True,,False,False
2018-01-09,2018-01-10,8652.0,True,0.09824872690370423,True,True
2018-01-10,2018-01-11,6821.0,True,0.09639046940229612,True,True
2018-01-11,2018-01-12,3564.0,True,0.09885337728283683,True,True
2018-01-12,2018-01-15,543.0,True,0.11703870950699247,True,True
2018-01-15,2018-01-16,-2096.0,False,0.0907714833985418,True,False
2018-01-16,2018-01-17,-2104.0,False,0.10122298583432543,True,False
2018-01-17,2018-01-18,-2524.0,False,0.057551134934241244,True,False
2018-01-18,2018-01-19,-120.0,False,0.05869700129611477,True,False
2018-01-19,2018-01-22,-981.0,False,0.009504705902047439,True,False
2018-01-22,2018-01-23,-3866.0,False,-0.004102824833943308,False,False
2018-01-23,2018-01-24,-836.0,False,0.004740825172536489,True,False
2018-01-24,2018-01-25,3689.0,True,0.05203573961818764,True,True
2018-01-25,2018-01-26,11763.0,True,0.07713885378957319,True,True
2018-01-26,2018-01-29,15157.0,True,0.1076810481955448,True,True
2018-01-29,2018-01-30,24514.0,True,0.13574855265853847,True,True
2018-01-30,2018-01-31,16327.0,True,0.11455758670006122,True,True
2018-01-31,2018-02-01,5551.0,True,0.08827780167478805,True,True
2018-02-01,2018-02-02,-3648.0,False,0.05173876270954292,True,False
2018-02-02,2018-02-05,-14195.0,False,0.02319971869405313,True,False
2018-02-05,2018-02-06,-26030.0,False,-0.016045732134630786,False,False
2018-02-06,2018-02-07,-25157.0,False,-0.023833934100532583,False,False
2018-02-07,2018-02-08,-26036.0,False,-0.060774253115641,False,False
2018-02-08,2018-02-09,-26210.0,False,-0.036404533148254536,False,False
2018-02-09,2018-02-12,-21629.0,False,-0.020430101326800232,False,False
2018-02-12,2018-02-13,-17632.0,False,0.011612429346602893,True,False
2018-02-13,2018-02-14,-14443.0,False,0.014239636326070837,True,False
2018-02-14,2018-02-19,-2906.0,False,0.06669020968009653,True,False
2018-02-19,2018-02-20,324.0,True,0.06013349391754241,True,True
2018-02-20,2018-02-21,601.0,True,0.08107726398946213,True,True
2018-02-21,2018-02-22,1729.0,True,0.0927254492305758,True,True
2018-02-22,2018-02-23,-1774.0,False,0.08711602141010744,True,False
2018-02-23,2018-02-26,1387.0,True,0.0884665813747092,True,True
2018-02-26,2018-02-27,2461.0,True,0.07654659654713414,True,True
2018-02-27,2018-02-28,7253.0,True,0.06567766125553653,True,True
2018-02-28,2018-03-02,5918.0,True,0.029759015788460186,True,True
