year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.369248110810815,0.31675953872996554,0.0,0.0,0.369248110810815
2018,0.01450248884052896,-0.08401784948302582,0.0,0.0,0.01450248884052896
2019,-0.06153679293920322,0.17019485930094325,0.0,0.0277493483052602,-0.08928614124446342
2020,0.09178992663469332,0.5251287429311848,0.0,0.2461360848272729,-0.15434615819257957
2021,-0.09351540405591707,0.13170240063376726,0.0,-0.035316520549102,-0.058198883506815076
2022,-0.037345397265215796,-0.18442405395793493,0.0,0.0,-0.037345397265215796
2023,0.023496630910355476,0.3279894204214897,0.0,-0.0177293971971159,0.04122602810747138
2024,-0.11957924536181785,0.034981455283805474,0.0,0.0422472179791628,-0.16182646334098066
2025,0.2556143846317531,1.047004780803555,0.0,0.7666554035490463,-0.5110410189172931
2026,0.8064955399487832,0.7344109727369705,0.0,0.0,0.8064955399487832
