year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.10737751595905931,0.31675953872996554,0.0,0.0,0.10737751595905931
2018,0.029000067676085983,-0.08401784948302582,0.0,0.0,0.029000067676085983
2019,0.0565111501479989,0.17019485930094325,0.0,0.0277493483052602,0.028761801842738702
2020,0.26685193108981387,0.5251287429311848,0.0,0.2461360848272729,0.02071584626254097
2021,-0.18754363699925336,0.13170240063376726,0.0,-0.035316520549102,-0.15222711645015136
2022,-0.012153859287231339,-0.18442405395793493,0.0,0.0,-0.012153859287231339
2023,0.016330811576189763,0.3279894204214897,0.0,-0.0177293971971159,0.034060208773305664
2024,-0.06655544302948024,0.034981455283805474,0.0,0.0422472179791628,-0.10880266100864305
2025,0.2999017858662725,1.047004780803555,0.0,0.7666554035490463,-0.4667536176827738
2026,0.64002480192814,0.7344109727369705,0.0,0.0,0.64002480192814
