year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.1973638105151314,0.31675953872996554,0.0,0.0,0.1973638105151314
2018,0.02769357550091578,-0.08401784948302582,0.0,0.0,0.02769357550091578
2019,-0.03702777546143332,0.17019485930094325,0.0,0.0277493483052602,-0.06477712376669352
2020,0.6156810631103578,0.5251287429311848,0.0,0.2461360848272729,0.36954497828308486
2021,-0.15514601540081518,0.13170240063376726,0.0,-0.035316520549102,-0.11982949485171318
2022,-0.03213604281008442,-0.18442405395793493,0.0,0.0,-0.03213604281008442
2023,0.09471172776157188,0.3279894204214897,0.0,-0.0177293971971159,0.11244112495868779
2024,0.04437695138937636,0.034981455283805474,0.0,0.0422472179791628,0.0021297334102135593
2025,0.30618154082269444,1.047004780803555,0.0,0.7666554035490463,-0.4604738627263518
2026,0.32739726306828265,0.7344109727369705,0.0,0.0,0.32739726306828265
