year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.1017138955845267,0.31675953872996554,0.0,0.0,0.1017138955845267
2018,-0.005129260657082413,-0.08401784948302582,0.0,0.0,-0.005129260657082413
2019,0.09010581684877184,0.17019485930094325,0.0,0.0277493483052602,0.06235646854351164
2020,0.2568075500054572,0.5251287429311848,0.0,0.2461360848272729,0.010671465178184292
2021,-0.2177888586057697,0.13170240063376726,0.0,-0.035316520549102,-0.18247233805666768
2022,0.004272496208546306,-0.18442405395793493,0.0,0.0,0.004272496208546306
2023,0.00686634605082026,0.3279894204214897,0.0,-0.0177293971971159,0.02459574324793616
2024,0.09636833023963987,0.034981455283805474,0.0,0.0422472179791628,0.05412111226047706
2025,0.2893181633699853,1.047004780803555,0.0,0.7666554035490463,-0.477337240179061
2026,0.6582008121903353,0.7344109727369705,0.0,0.0,0.6582008121903353
