year,e007_cumulative_return,e007_sharpe,e007_trade_count,d013_cumulative_return,d013_sharpe,d013_trade_count,return_diff_e007_minus_d013,sharpe_diff_e007_minus_d013
2010,0.0,,0,0.0,,0,0.0,
2011,0.0,,0,0.0,,0,0.0,
2012,0.0,,0,0.0,,0,0.0,
2013,0.0,,0,0.0,,0,0.0,
2014,0.0,,0,0.0,,0,0.0,
2015,0.0,,0,0.0,,0,0.0,
2017,0.11661799898223335,1.131796361346027,10,0.09401472235486108,0.8574077279914398,10,0.02260327662737227,0.2743886333545871
2018,0.0002985825765335903,0.2201990768802593,5,-0.03586254487531926,-0.31036531571523673,5,0.03616112745185285,0.530564392595496
2019,0.09848966662442393,0.7989440611725984,10,0.02774934830525977,0.2822387725611842,10,0.07074031831916416,0.5167052886114143
2020,0.28232097241179055,0.9211564468019631,20,0.46309904044504946,1.3545276308914032,20,-0.1807780680332589,-0.4333711840894401
2021,-0.20148466281226596,-0.6173946692131494,20,-0.12419945981131186,-0.37053668759772934,20,-0.0772852030009541,-0.2468579816154201
2022,0.009709919972197056,0.18306522172594336,5,-0.09716827644733161,-0.7598347695886972,5,0.10687819641952867,0.9428999913146405
2023,0.008269875945184468,0.1286596482771766,5,0.08224211251730695,0.5982657768081316,5,-0.07397223657212249,-0.46960612853095507
2024,0.11168972345325323,0.5533851752102946,15,0.04224721797916331,0.35456671076972274,15,0.06944250547408992,0.19881846444057188
2025,0.2999017858662725,1.3162448683419723,10,0.567009224531813,2.073802008778557,10,-0.26710743866554054,-0.7575571404365848
2026,0.6775260554104385,3.0463069247554504,10,0.5621484118981515,2.82617485191557,10,0.11537764351228708,0.22013207283988034
