year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.22351944897687415,0.31675953872996554,0.0,0.0,0.22351944897687415
2018,0.02449638436185153,-0.08401784948302582,0.0,0.0,0.02449638436185153
2019,-0.02924530041544271,0.17019485930094325,0.0,0.0277493483052602,-0.05699464872070291
2020,0.4798055977522866,0.5251287429311848,0.0,0.2461360848272729,0.2336695129250137
2021,-0.23708884244259243,0.13170240063376726,0.0,-0.035316520549102,-0.20177232189349043
2022,0.013544582826488183,-0.18442405395793493,0.0,0.0,0.013544582826488183
2023,0.05484403057992737,0.3279894204214897,0.0,-0.0177293971971159,0.07257342777704327
2024,0.11793742088495551,0.034981455283805474,0.0,0.0422472179791628,0.0756902029057927
2025,0.3963292329497803,1.047004780803555,0.0,0.7666554035490463,-0.370326170599266
2026,0.46373858765647125,0.7344109727369705,0.0,0.0,0.46373858765647125
