date,ticker,signal_value,signal_date,execution_date,included_in_trade
2017-03-31,035420,1.3803958365087727,2017-03-31,2017-04-03,True
2017-03-31,017670,1.3803958365087727,2017-03-31,2017-04-03,True
2017-03-31,051910,0.7380889124194194,2017-03-31,2017-04-03,True
2017-03-31,005930,0.6277025437188363,2017-03-31,2017-04-03,True
2017-03-31,207940,0.26579467411163865,2017-03-31,2017-04-03,True
2017-06-30,005490,1.116518549250855,2017-06-30,2017-07-03,True
2017-06-30,010130,1.116518549250855,2017-06-30,2017-07-03,True
2017-06-30,105560,0.9020330346812645,2017-06-30,2017-07-03,True
2017-06-30,005930,0.21404914849209752,2017-06-30,2017-07-03,True
2017-06-30,086280,-0.018879868903744306,2017-06-30,2017-07-03,True
2017-12-28,005490,1.2520744281664544,2017-12-28,2018-01-02,True
2017-12-28,004020,1.2520744281664544,2017-12-28,2018-01-02,True
2017-12-28,207940,1.0387244867439132,2017-12-28,2018-01-02,True
2017-12-28,028260,0.6692634857008922,2017-12-28,2018-01-02,True
2017-12-28,051910,0.40098692982613066,2017-12-28,2018-01-02,True
2019-06-28,000720,1.4336884149810878,2019-06-28,2019-07-01,True
2019-06-28,000210,1.4336884149810878,2019-06-28,2019-07-01,True
2019-06-28,005930,0.520467438847185,2019-06-28,2019-07-01,True
2019-06-28,005380,0.42400149970983464,2019-06-28,2019-07-01,True
2019-06-28,068270,0.38172518055155624,2019-06-28,2019-07-01,True
2019-09-30,207940,1.464174691650772,2019-09-30,2019-10-01,True
2019-09-30,128940,1.464174691650772,2019-09-30,2019-10-01,True
2019-09-30,005930,0.7687222869338689,2019-09-30,2019-10-01,True
2019-09-30,018880,0.6109703198572894,2019-09-30,2019-10-01,True
2019-09-30,005380,0.2873184971580132,2019-09-30,2019-10-01,True
2019-12-30,005930,1.3262606650459141,2019-12-30,2020-01-02,True
2019-12-30,000660,1.3262606650459141,2019-12-30,2020-01-02,True
2019-12-30,207940,1.206508857774791,2019-12-30,2020-01-02,True
2019-12-30,028260,0.6714858531456874,2019-12-30,2020-01-02,True
2019-12-30,035420,0.5294402450802557,2019-12-30,2020-01-02,True
2020-03-31,207940,1.5425217517405325,2020-03-31,2020-04-01,True
2020-03-31,128940,1.5425217517405325,2020-03-31,2020-04-01,True
2020-03-31,003490,1.1490853186194656,2020-03-31,2020-04-01,True
2020-03-31,033780,1.1125190196044585,2020-03-31,2020-04-01,True
2020-03-31,028260,0.34829514323005006,2020-03-31,2020-04-01,True
2020-06-30,207940,1.1849644485474486,2020-06-30,2020-07-01,True
2020-06-30,003000,1.1849644485474486,2020-06-30,2020-07-01,True
2020-06-30,086280,0.7341103818049456,2020-06-30,2020-07-01,True
2020-06-30,051910,0.27483286210978264,2020-06-30,2020-07-01,True
2020-06-30,005930,0.13839078609449146,2020-06-30,2020-07-01,True
2020-09-29,005930,1.274117018682403,2020-09-29,2020-10-05,True
2020-09-29,000660,1.274117018682403,2020-09-29,2020-10-05,True
2020-09-29,000120,0.8073314565900938,2020-09-29,2020-10-05,True
2020-09-29,051910,0.3770548372002663,2020-09-29,2020-10-05,True
2020-09-29,028260,0.22017198842180455,2020-09-29,2020-10-05,True
2020-12-30,028260,0.7026826094940687,2020-12-30,2021-01-04,True
2020-12-30,008770,0.7026826094940687,2020-12-30,2021-01-04,True
2020-12-30,051910,0.6663598231597629,2020-12-30,2021-01-04,True
2020-12-30,086280,0.4065732960745441,2020-12-30,2021-01-04,True
2020-12-30,005930,0.3691272197279824,2020-12-30,2021-01-04,True
2021-03-31,005490,1.411054528106878,2021-03-31,2021-04-01,True
2021-03-31,004020,1.411054528106878,2021-03-31,2021-04-01,True
2021-03-31,068270,0.9551151878638512,2021-03-31,2021-04-01,True
2021-03-31,011200,0.8175607842772621,2021-03-31,2021-04-01,True
2021-03-31,005380,-0.05888485410493719,2021-03-31,2021-04-01,True
2021-06-30,051910,1.1592870917743567,2021-06-30,2021-07-01,True
2021-06-30,051900,1.1592870917743567,2021-06-30,2021-07-01,True
2021-06-30,011200,0.9828969548005345,2021-06-30,2021-07-01,True
2021-06-30,028260,0.7280575336124288,2021-06-30,2021-07-01,True
2021-06-30,035720,0.25393578454202964,2021-06-30,2021-07-01,True
2021-09-30,068270,1.0547870326841986,2021-09-30,2021-10-01,True
2021-09-30,323410,1.0547870326841986,2021-09-30,2021-10-01,True
2021-09-30,051910,0.7253496698068362,2021-09-30,2021-10-01,True
2021-09-30,028260,0.48884772859990827,2021-09-30,2021-10-01,True
2021-09-30,005930,0.27413459350309627,2021-09-30,2021-10-01,True
