group,net_pnl,trade_count,contribution_ratio
반도체/IT하드웨어,1.3518157953952517,18,0.27491954573001953
헬스케어,0.6062583656095404,14,0.12329510798449159
조선/기계/산업재,0.5752804873698105,14,0.11699511930085861
건설/부동산,0.45023936736570824,8,0.09156543574027444
자동차/운송장비,0.18042875935190383,7,0.03669389921809065
소비재/유통,0.17230379141545074,11,0.03504151987634198
철강금속,0.08553286539130911,6,0.01739486739130035
음식료,-0.0425876011110681,5,-0.008661064614770843
2차전지/화학/소재,-0.0626821091867865,13,-0.012747696129702554
인터넷/게임/SW,-0.1280332240134874,6,-0.02603818945157846
금융,-0.22327683518489116,8,-0.045407936724928676
