group,net_pnl,trade_count,contribution_ratio
2026,1.3462034531339424,10,0.2737781604982325
2025,0.75626762902943,10,0.1538025770458608
2020,0.6494864990556719,20,0.13208643802387196
2017,0.24036921066062225,10,0.04888402282870215
2024,0.22284762382744144,15,0.04532064776750253
2023,0.07090318272387708,5,0.014419620522011636
2018,0.057556099637345336,5,0.011705216657617331
2022,0.029000844302882422,5,0.005897918169541952
2019,-0.03271366352536373,10,-0.006652996322570781
2021,-0.37464121644310766,20,-0.07619099687037349
