entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason,cost_paid,holding_days
2017-04-03,2017-03-31,2017-07-03,030200,31950.0,32850.0,6.259780907668232e-06,0.2,0.00013000000000000002,0.0005449295774647888,quarterly_rebalance,0.0006749295774647888,60
2017-04-03,2017-03-31,2017-07-03,078930,58700.0,68500.0,3.407155025553663e-06,0.2,0.00013000000000000002,0.0006184838160136286,quarterly_rebalance,0.0007484838160136286,60
2017-04-03,2017-03-31,2017-07-03,009150,70000.0,101500.0,2.8571428571428573e-06,0.2,0.00013000000000000002,0.0007685000000000001,quarterly_rebalance,0.0008985000000000001,60
2017-04-03,2017-03-31,2017-07-03,000100,225000.0,245500.0,8.88888888888889e-07,0.2,0.00013000000000000002,0.000578288888888889,quarterly_rebalance,0.000708288888888889,60
2017-04-03,2017-03-31,2017-07-03,006060,11050.0,9530.0,1.8040762192357765e-05,0.1993504222255533,0.00012957777444660965,0.0004556104287868992,quarterly_rebalance,0.0005851882032335088,60
2017-07-03,2017-06-30,2017-10-10,004020,62100.0,53000.0,3.594875347090386e-06,0.22324175905431298,0.00014510714338530345,0.0005049002424988448,quarterly_rebalance,0.0006500073858841482,64
2017-07-03,2017-06-30,2017-10-10,103140,43050.0,52300.0,5.185639002423066e-06,0.22324175905431298,0.00014510714338530345,0.0007187036375408248,quarterly_rebalance,0.0008638107809261282,64
2017-07-03,2017-06-30,2017-10-10,000100,245500.0,205500.0,9.093350674310101e-07,0.22324175905431298,0.00014510714338530345,0.0004952011443462423,quarterly_rebalance,0.0006403082877315458,64
2017-07-03,2017-06-30,2017-10-10,011070,164000.0,151000.0,1.3612302381360549e-06,0.22324175905431298,0.00014510714338530345,0.0005446962797901424,quarterly_rebalance,0.0006898034231754459,64
2017-07-03,2017-06-30,2017-10-10,018260,184500.0,170000.0,1.2060525454160576e-06,0.22251669462926263,0.0001446358515090207,0.000543326671709934,quarterly_rebalance,0.0006879625232189547,64
2018-01-02,2017-12-28,2018-04-02,128940,587000.0,505000.0,3.5992284166370616e-07,0.2112747080565955,0.00013732856023678707,0.00048166674285645474,quarterly_rebalance,0.0006189953030932418,61
2018-01-02,2017-12-28,2018-04-02,207940,367000.0,487000.0,5.756804034239659e-07,0.2112747080565955,0.00013732856023678707,0.0007429443446387992,quarterly_rebalance,0.0008802729048755862,61
2018-01-02,2017-12-28,2018-04-02,004020,58100.0,51000.0,3.6363977290291826e-06,0.2112747080565955,0.00013732856023678707,0.000491459153078294,quarterly_rebalance,0.0006287877133150811,61
2018-01-02,2017-12-28,2018-04-02,139480,272000.0,272500.0,7.767452502080718e-07,0.2112747080565955,0.00013732856023678707,0.0005609071638065039,quarterly_rebalance,0.000698235724043291,61
2018-01-02,2017-12-28,2018-04-02,090430,312000.0,327500.0,6.749631771901096e-07,0.21058851128331418,0.00013688253233415422,0.0005857836674038664,quarterly_rebalance,0.0007226661997380207,61
2019-07-01,2019-06-28,2019-10-01,000720,56000.0,46300.0,3.847944413670743e-06,0.21548488716556158,0.00014006517665761503,0.00047212353983533173,quarterly_rebalance,0.0006121887164929467,63
2019-07-01,2019-06-28,2019-10-01,006360,41050.0,32650.0,5.249327336554485e-06,0.21548488716556158,0.00014006517665761503,0.0004541849244770354,quarterly_rebalance,0.0005942501011346504,63
2019-07-01,2019-06-28,2019-10-01,017800,97000.0,89200.0,2.2214936821191915e-06,0.21548488716556158,0.00014006517665761503,0.0005251166765793345,quarterly_rebalance,0.0006651818532369496,63
2019-07-01,2019-06-28,2019-10-01,000270,44000.0,45200.0,4.897383799217309e-06,0.21548488716556158,0.00014006517665761503,0.0005866086314702492,quarterly_rebalance,0.0007266738081278643,63
2019-07-01,2019-06-28,2019-10-01,207940,320500.0,308000.0,6.701560567812852e-07,0.2147850161984019,0.00013961026052896125,0.000546981373544885,quarterly_rebalance,0.0006865916340738462,63
2019-10-01,2019-09-30,2020-01-02,207940,308000.0,433000.0,6.317483106518458e-07,0.1945784796807685,0.00012647601179249953,0.0007248995990574604,quarterly_rebalance,0.0008513756108499599,62
2019-10-01,2019-09-30,2020-01-02,002210,16600.0,16050.0,1.1721595161492077e-05,0.1945784796807685,0.00012647601179249953,0.0004985487462061618,quarterly_rebalance,0.0006250247579986613,62
2019-10-01,2019-09-30,2020-01-02,034220,14150.0,16450.0,1.3751129306061378e-05,0.1945784796807685,0.00012647601179249953,0.0005994461042744807,quarterly_rebalance,0.0007259221160669802,62
2019-10-01,2019-09-30,2020-01-02,018880,11950.0,11150.0,1.6282717964917866e-05,0.1945784796807685,0.00012647601179249953,0.0004811136090684107,quarterly_rebalance,0.0006075896208609102,62
2019-10-01,2019-09-30,2020-01-02,009540,124000.0,127500.0,1.5640847613051399e-06,0.19394651040183736,0.0001260652317611943,0.0005284651387259741,quarterly_rebalance,0.0006545303704871684,62
2020-01-02,2019-12-30,2020-04-01,207940,433000.0,481000.0,4.92390455943101e-07,0.21320506742336276,0.0001385832938251858,0.0006276254946678738,quarterly_rebalance,0.0007662087884930596,62
2020-01-02,2019-12-30,2020-04-01,009420,37000.0,24000.0,5.762299119550345e-06,0.21320506742336276,0.0001385832938251858,0.00036648222400340193,quarterly_rebalance,0.0005050655178285877,62
2020-01-02,2019-12-30,2020-04-01,034220,16450.0,10900.0,1.2960794372240897e-05,0.21320506742336276,0.0001385832938251858,0.00037437254544217833,quarterly_rebalance,0.0005129558392673641,62
2020-01-02,2019-12-30,2020-04-01,028260,109000.0,87900.0,1.9560097928748876e-06,0.21320506742336276,0.0001385832938251858,0.0004556231411033119,quarterly_rebalance,0.0005942064349284977,62
