date,ticker,signal_value,signal_date,execution_date,included_in_trade
2017-03-31,006980,3.180838940047664,2017-03-31,2017-04-03,True
2017-03-31,013000,2.1632257141825533,2017-03-31,2017-04-03,True
2017-03-31,033780,2.160161861489295,2017-03-31,2017-04-03,True
2017-03-31,090430,1.9975921024068037,2017-03-31,2017-04-03,True
2017-03-31,028260,1.9491767942861213,2017-03-31,2017-04-03,True
2017-06-30,036570,3.67850293915481,2017-06-30,2017-07-03,True
2017-06-30,207940,3.5090822934855055,2017-06-30,2017-07-03,True
2017-06-30,027410,2.851736884352722,2017-06-30,2017-07-03,True
2017-06-30,000030,2.472402954202913,2017-06-30,2017-07-03,True
2017-06-30,009150,2.1308118021450517,2017-06-30,2017-07-03,True
2017-12-28,027410,4.818230956952094,2017-12-28,2018-01-02,True
2017-12-28,010140,4.278566735200975,2017-12-28,2018-01-02,True
2017-12-28,004720,2.0044010204634146,2017-12-28,2018-01-02,True
2017-12-28,004000,1.7266396988112895,2017-12-28,2018-01-02,True
2017-12-28,011070,1.266609085274098,2017-12-28,2018-01-02,True
2019-06-28,004060,3.169021251462735,2019-06-28,2019-07-01,True
2019-06-28,086790,2.817399622766009,2019-06-28,2019-07-01,True
2019-06-28,251270,2.7713684445776443,2019-06-28,2019-07-01,True
2019-06-28,031430,1.8530779312899548,2019-06-28,2019-07-01,True
2019-06-28,011790,1.494137822617351,2019-06-28,2019-07-01,True
2019-09-30,316140,3.0516529299494413,2019-09-30,2019-10-01,True
2019-09-30,192820,2.2503141149170616,2019-09-30,2019-10-01,True
2019-09-30,001820,1.6343921422733674,2019-09-30,2019-10-01,True
2019-09-30,090430,1.5825991012496305,2019-09-30,2019-10-01,True
2019-09-30,207940,1.295398674924055,2019-09-30,2019-10-01,True
2019-12-30,180640,3.8897516223946758,2019-12-30,2020-01-02,True
2019-12-30,005380,2.5921206393152127,2019-12-30,2020-01-02,True
2019-12-30,005420,2.3361198562273446,2019-12-30,2020-01-02,True
2019-12-30,024110,1.6120844380796797,2019-12-30,2020-01-02,True
2019-12-30,030200,1.4772191329432567,2019-12-30,2020-01-02,True
2020-03-31,005690,2.5781571389673017,2020-03-31,2020-04-01,True
2020-03-31,003000,2.5693564997570215,2020-03-31,2020-04-01,True
2020-03-31,068270,1.9865528578704161,2020-03-31,2020-04-01,True
2020-03-31,180640,1.7706931546172413,2020-03-31,2020-04-01,True
2020-03-31,007570,1.742651546089106,2020-03-31,2020-04-01,True
2020-06-30,007860,3.125648641778943,2020-06-30,2020-07-01,True
2020-06-30,042670,2.9702855112485613,2020-06-30,2020-07-01,True
2020-06-30,034730,2.823004036097143,2020-06-30,2020-07-01,True
2020-06-30,010140,2.661285201323734,2020-06-30,2020-07-01,True
2020-06-30,003620,1.8746231999603213,2020-06-30,2020-07-01,True
2020-09-29,008930,3.1269175197873538,2020-09-29,2020-10-05,True
2020-09-29,003520,3.105095467375886,2020-09-29,2020-10-05,True
2020-09-29,009830,2.6911413035204172,2020-09-29,2020-10-05,True
2020-09-29,093370,2.0168415445740147,2020-09-29,2020-10-05,True
2020-09-29,071050,1.8987981387615025,2020-09-29,2020-10-05,True
2020-12-30,069620,3.2271345076198434,2020-12-30,2021-01-04,True
2020-12-30,066570,2.670322018208778,2020-12-30,2021-01-04,True
2020-12-30,033180,2.344068850670778,2020-12-30,2021-01-04,True
2020-12-30,008700,2.2772523774365627,2020-12-30,2021-01-04,True
2020-12-30,185750,1.606592976972151,2020-12-30,2021-01-04,True
2021-03-31,011090,3.2899416830019073,2021-03-31,2021-04-01,True
2021-03-31,082740,2.5435349802187686,2021-03-31,2021-04-01,True
2021-03-31,088350,2.3832452942051625,2021-03-31,2021-04-01,True
2021-03-31,028670,2.3256113309302946,2021-03-31,2021-04-01,True
2021-03-31,011200,1.9340124542945287,2021-03-31,2021-04-01,True
2021-06-30,037560,4.627883347925667,2021-06-30,2021-07-01,True
2021-06-30,006340,3.1107335727609944,2021-06-30,2021-07-01,True
2021-06-30,001440,2.871719755625265,2021-06-30,2021-07-01,True
2021-06-30,034020,2.458447100288778,2021-06-30,2021-07-01,True
2021-06-30,015020,2.183144349584847,2021-06-30,2021-07-01,True
2021-09-30,007110,3.027045742368046,2021-09-30,2021-10-01,True
2021-09-30,000300,2.5960590162468455,2021-09-30,2021-10-01,True
2021-09-30,017040,2.4449946092663115,2021-09-30,2021-10-01,True
2021-09-30,009270,2.43810759567244,2021-09-30,2021-10-01,True
2021-09-30,002360,2.039419519561834,2021-09-30,2021-10-01,True
2021-12-30,007660,3.10619171131711,2021-12-30,2022-01-03,True
2021-12-30,079550,3.0870797854866705,2021-12-30,2022-01-03,True
2021-12-30,004980,2.8749584011432234,2021-12-30,2022-01-03,True
2021-12-30,074610,2.642466533487352,2021-12-30,2022-01-03,True
2021-12-30,011070,2.578894478234685,2021-12-30,2022-01-03,True
2023-09-27,000150,4.878160687907029,2023-09-27,2023-10-04,True
2023-09-27,011810,2.9655381286960374,2023-09-27,2023-10-04,True
2023-09-27,006740,2.5663894380345353,2023-09-27,2023-10-04,True
2023-09-27,001040,1.8751162153934957,2023-09-27,2023-10-04,True
2023-09-27,028670,1.8708736240228718,2023-09-27,2023-10-04,True
