year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,-0.16390140001421405,0.31675953872996554,0.0,0.0,-0.16390140001421405
2018,-0.11879983113071291,-0.08401784948302582,0.0,0.0,-0.11879983113071291
2019,-0.10769401762702224,0.17019485930094325,0.0,0.0277493483052602,-0.13544336593228246
2020,0.1430605711226438,0.5251287429311848,0.0,0.2461360848272729,-0.10307551370462908
2021,-0.23127618458307653,0.13170240063376726,0.0,-0.035316520549102,-0.19595966403397452
2022,-0.07239571054676497,-0.18442405395793493,0.0,0.0,-0.07239571054676497
2023,0.032620416633754035,0.3279894204214897,0.0,-0.0177293971971159,0.050349813830869936
2024,-0.24092653367799421,0.034981455283805474,0.0,0.0422472179791628,-0.283173751657157
2025,0.017187901082864387,1.047004780803555,0.0,0.7666554035490463,-0.7494675024661819
2026,1.146159642206257,0.7344109727369705,0.0,0.0,1.146159642206257
