date,ticker,signal_value,signal_date,execution_date,included_in_trade
2017-03-31,003550,1.721162032739144,2017-03-31,2017-04-03,True
2017-03-31,035250,1.0617519791795382,2017-03-31,2017-04-03,True
2017-03-31,011070,1.0380090588448994,2017-03-31,2017-04-03,True
2017-03-31,004720,1.915668597433574,2017-03-31,2017-04-03,True
2017-03-31,006060,2.7171838427267416,2017-03-31,2017-04-03,True
2017-06-30,001230,1.3780336556190924,2017-06-30,2017-07-03,True
2017-06-30,103140,0.611833688707346,2017-06-30,2017-07-03,True
2017-06-30,008930,1.7181369152776111,2017-06-30,2017-07-03,True
2017-06-30,020150,1.6878201514216693,2017-06-30,2017-07-03,True
2017-06-30,000810,1.650281151635058,2017-06-30,2017-07-03,True
2017-12-28,009420,1.4502832963582613,2017-12-28,2018-01-02,True
2017-12-28,069620,1.0346007727226616,2017-12-28,2018-01-02,True
2017-12-28,004020,0.40095574418716495,2017-12-28,2018-01-02,True
2017-12-28,123690,1.3607175583203648,2017-12-28,2018-01-02,True
2017-12-28,003350,2.4984660332602475,2017-12-28,2018-01-02,True
2019-06-28,000210,1.3246008905165294,2019-06-28,2019-07-01,True
2019-06-28,000720,-0.23326156516449928,2019-06-28,2019-07-01,True
2019-06-28,074610,1.6734110662583142,2019-06-28,2019-07-01,True
2019-06-28,005380,1.9609241303000606,2019-06-28,2019-07-01,True
2019-06-28,012450,2.080203464817836,2019-06-28,2019-07-01,True
2019-09-30,012450,1.3630243408409612,2019-09-30,2019-10-01,True
2019-09-30,207940,-0.43641082272603765,2019-09-30,2019-10-01,True
2019-09-30,009320,2.085738753251926,2019-09-30,2019-10-01,True
2019-09-30,010660,1.0474158876453816,2019-09-30,2019-10-01,True
2019-09-30,033250,1.4075977940296196,2019-09-30,2019-10-01,True
2019-12-30,207940,1.0968902989513833,2019-12-30,2020-01-02,True
2019-12-30,009420,1.0447433451906867,2019-12-30,2020-01-02,True
2019-12-30,009150,2.2172284429954363,2019-12-30,2020-01-02,True
2019-12-30,008770,1.2709509605179314,2019-12-30,2020-01-02,True
2019-12-30,012510,1.4070891913355539,2019-12-30,2020-01-02,True
2020-03-31,001060,1.9042270357758209,2020-03-31,2020-04-01,True
2020-03-31,007570,1.8869843849585382,2020-03-31,2020-04-01,True
2020-03-31,002320,1.396643399513231,2020-03-31,2020-04-01,True
2020-03-31,271560,1.3782306055370264,2020-03-31,2020-04-01,True
