entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason,cost_paid,holding_days
2017-04-03,2017-03-31,2017-07-03,006060,11050.0,9530.0,1.8099547511312218e-05,0.2,0.00013000000000000002,0.0004570950226244344,monthly_rebalance,0.0005870950226244344,60
2017-04-03,2017-03-31,2017-07-03,004720,27000.0,8450.0,7.4074074074074075e-06,0.2,0.00013000000000000002,0.00016587037037037037,monthly_rebalance,0.0002958703703703704,60
2017-04-03,2017-03-31,2017-07-03,118000,11850.0,2640.0,1.6877637130801688e-05,0.2,0.00013000000000000002,0.0001180759493670886,monthly_rebalance,0.00024807594936708863,60
2017-04-03,2017-03-31,2017-07-03,005940,12550.0,14850.0,1.593625498007968e-05,0.2,0.00013000000000000002,0.0006271314741035857,monthly_rebalance,0.0007571314741035857,60
2017-04-03,2017-03-31,2017-07-03,000720,49500.0,46150.0,4.027281257081885e-06,0.1993504222255533,0.00012957777444660965,0.0004925264295379718,monthly_rebalance,0.0006221042039845815,60
2017-07-03,2017-06-30,2017-10-10,093370,10600.0,10250.0,1.3213018106098552e-05,0.14005799192464466,9.103769475101903e-05,0.00035889860430690196,monthly_rebalance,0.00044993629905792096,64
2017-07-03,2017-06-30,2017-10-10,078930,68500.0,65600.0,2.044642217878024e-06,0.14005799192464466,9.103769475101903e-05,0.00035544060315591573,monthly_rebalance,0.00044647829790693473,64
2017-07-03,2017-06-30,2017-10-10,000030,18650.0,18050.0,7.509811899444754e-06,0.14005799192464466,9.103769475101903e-05,0.0003592130776801912,monthly_rebalance,0.00045025077243121027,64
2017-07-03,2017-06-30,2017-10-10,005880,36750.0,35100.0,3.8111018210787664e-06,0.14005799192464466,9.103769475101903e-05,0.00035448963588764147,monthly_rebalance,0.00044552733063866047,64
2017-07-03,2017-06-30,2017-10-10,103140,43050.0,52300.0,3.2428129879490186e-06,0.13960309913120525,9.074201443528342e-05,0.00044943766606479426,monthly_rebalance,0.0005401796805000777,64
2018-01-02,2017-12-28,2018-04-02,012750,107000.0,98100.0,1.3207577261080171e-06,0.14132107669355784,9.18586998508126e-05,0.0003433507822676707,monthly_rebalance,0.0004352094821184833,61
2018-01-02,2017-12-28,2018-04-02,009420,24000.0,32450.0,5.88837819556491e-06,0.14132107669355784,9.18586998508126e-05,0.0005063563619821154,monthly_rebalance,0.000598215061832928,61
2018-01-02,2017-12-28,2018-04-02,003230,96400.0,82900.0,1.4659862727547493e-06,0.14132107669355784,9.18586998508126e-05,0.00032205519433012715,monthly_rebalance,0.00041391389418093976,61
2018-01-02,2017-12-28,2018-04-02,003350,51000.0,46400.0,2.7710015037952516e-06,0.14132107669355784,9.18586998508126e-05,0.00034072234490666416,monthly_rebalance,0.0004325810447574768,61
