signal_date,mode,n_stocks,rank_ic,rank_ic_mean_quarterly,rank_ic_std_quarterly,rank_ic_t_stat,n_quarters
2017-03-31 00:00:00,universe,89,-0.21704119850187267,,,,
2017-06-30 00:00:00,universe,87,-0.008802945250419187,,,,
2017-12-28 00:00:00,universe,88,0.07423127047303724,,,,
2019-06-28 00:00:00,universe,81,0.1291553748870822,,,,
2019-09-30 00:00:00,universe,91,-0.04193342888995063,,,,
2019-12-30 00:00:00,universe,81,0.29579945799457996,,,,
2020-03-31 00:00:00,universe,93,0.11690191280475065,,,,
2020-06-30 00:00:00,universe,84,0.059147514427457734,,,,
2020-09-29 00:00:00,universe,85,0.03238225522767246,,,,
2020-12-30 00:00:00,universe,85,0.12524916943521594,,,,
2021-03-31 00:00:00,universe,81,0.16802168021680214,,,,
2021-06-30 00:00:00,universe,84,0.4420978029766124,,,,
2021-09-30 00:00:00,universe,83,-0.03807564753788673,,,,
2021-12-30 00:00:00,universe,87,0.2949989064664285,,,,
2023-09-27 00:00:00,universe,90,0.24942173930937975,,,,
2023-12-28 00:00:00,universe,85,0.06705100644909127,,,,
2024-03-29 00:00:00,universe,87,0.2702850477509659,,,,
2024-09-30 00:00:00,universe,92,0.08453678159148005,,,,
2025-06-30 00:00:00,universe,96,-0.10511394465545307,,,,
2025-09-30 00:00:00,universe,88,0.18368497058927127,,,,
2025-12-30 00:00:00,universe,92,0.2114883713761694,,,,
2026-03-31 00:00:00,universe,92,0.18052494490082147,,,,
ALL,universe,1921,0.0910520617730208,0.11700050191096527,0.1500064188326651,3.6583834367955816,22.0
