year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,-0.1142002760516746,0.31675953872996554,0.0,0.0,-0.1142002760516746
2018,-0.08627952655964133,-0.08401784948302582,0.0,0.0,-0.08627952655964133
2019,-0.20101704889717997,0.17019485930094325,0.0,0.0277493483052602,-0.22876639720244019
2020,0.619613044357987,0.5251287429311848,0.0,0.2461360848272729,0.37347695953071414
2021,0.05276704061496318,0.13170240063376726,0.0,-0.035316520549102,0.08808356116406518
2022,-0.05746167530212387,-0.18442405395793493,0.0,0.0,-0.05746167530212387
2023,-0.026462541345419144,0.3279894204214897,0.0,-0.0177293971971159,-0.008733144148303243
2024,-0.22190760520196773,0.034981455283805474,0.0,0.0422472179791628,-0.26415482318113054
2025,0.21830241724244304,1.047004780803555,0.0,0.7666554035490463,-0.5483529863066032
2026,0.664572421269719,0.7344109727369705,0.0,0.0,0.664572421269719
