year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,-0.17012453577838105,0.31675953872996554,0.0,0.0,-0.17012453577838105
2018,0.04082355362531387,-0.08401784948302582,0.0,0.0,0.04082355362531387
2019,-0.24907198693669397,0.17019485930094325,0.0,0.0277493483052602,-0.2768213352419542
2020,0.47742678172191955,0.5251287429311848,0.0,0.2461360848272729,0.23129069689464665
2021,-0.3131191735209615,0.13170240063376726,0.0,-0.035316520549102,-0.2778026529718595
2022,-0.03285285137329885,-0.18442405395793493,0.0,0.0,-0.03285285137329885
2023,-0.03238678374675075,0.3279894204214897,0.0,-0.0177293971971159,-0.014657386549634846
2024,-0.12851201129492718,0.034981455283805474,0.0,0.0422472179791628,-0.17075922927408999
2025,0.25451560051503086,1.047004780803555,0.0,0.7666554035490463,-0.5121398030340154
2026,0.2354567870412203,0.7344109727369705,0.0,0.0,0.2354567870412203
