carrier,signal_date,net_value,portfolio_drawdown,drawdown_lookback_days,warning_threshold,hard_threshold,hard_scalar,exposure_scalar
D013,2010-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2010-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2010-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2010-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2011-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2011-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2011-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2011-12-29,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2012-03-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2012-06-29,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2012-09-28,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2012-12-28,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2013-03-29,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2013-06-28,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2013-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2013-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2014-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2014-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2014-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2014-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2015-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2015-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2015-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2015-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2017-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
D013,2017-06-30,1.0685957362510237,-0.0247745567517541,252,-0.05,-0.15,0.5,1.0
D013,2017-09-29,1.0754594791679457,-0.0185105445519853,252,-0.05,-0.15,0.5,1.0
D013,2017-12-28,1.094014722354861,-0.0015765959616386,252,-0.05,-0.15,0.5,1.0
D013,2018-03-30,1.0592651504231372,-0.075103825769863,252,-0.05,-0.15,0.5,0.8744808711506846
D013,2018-06-29,1.0552039424223687,-0.0786498649661522,252,-0.05,-0.15,0.5,0.8567506751692389
D013,2018-09-28,1.0552039424223687,-0.0786498649661522,252,-0.05,-0.15,0.5,0.8567506751692389
D013,2018-12-28,1.0552039424223687,-0.0786498649661522,252,-0.05,-0.15,0.5,0.8567506751692389
D013,2019-03-29,1.0552039424223687,-0.055114941275593,252,-0.05,-0.15,0.5,0.9744252936220348
D013,2019-06-28,1.0552039424223687,0.0,252,-0.05,-0.15,0.5,1.0
D013,2019-09-30,1.005821386138389,-0.0467990634783029,252,-0.05,-0.15,0.5,1.0
D013,2019-12-30,1.0844851641537303,-0.0084526870494032,252,-0.05,-0.15,0.5,1.0
D013,2020-03-31,0.9726317335367056,-0.1889580661977269,252,-0.05,-0.15,0.5,0.5
D013,2020-06-30,1.281689144951378,-0.0336214915488185,252,-0.05,-0.15,0.5,1.0
D013,2020-09-29,1.2586670623283598,-0.0712290713625698,252,-0.05,-0.15,0.5,0.8938546431871508
D013,2020-12-30,1.5620573124807824,0.0,252,-0.05,-0.15,0.5,1.0
D013,2021-03-31,1.5347941594081704,-0.1116854414924196,252,-0.05,-0.15,0.5,0.6915727925379017
D013,2021-06-30,1.607135267265488,-0.0698155536678516,252,-0.05,-0.15,0.5,0.9009222316607418
D013,2021-09-30,1.3751170219586433,-0.2041040404216252,252,-0.05,-0.15,0.5,0.5
D013,2021-12-30,1.4080745726739985,-0.1850287318965451,252,-0.05,-0.15,0.5,0.5
D013,2022-03-31,1.2781671528118457,-0.2190418163657077,252,-0.05,-0.15,0.5,0.5
D013,2022-06-30,1.2688147586094098,-0.2105115328790739,252,-0.05,-0.15,0.5,0.5
D013,2022-09-30,1.2688147586094098,-0.126621993283979,252,-0.05,-0.15,0.5,0.6168900335801047
D013,2022-12-29,1.2688147586094098,-0.1017332779839116,252,-0.05,-0.15,0.5,0.7413336100804419
D013,2023-03-31,1.2688147586094098,-0.0163210812996695,252,-0.05,-0.15,0.5,1.0
D013,2023-06-30,1.2688147586094098,0.0,252,-0.05,-0.15,0.5,1.0
D013,2023-09-27,1.2688147586094098,0.0,252,-0.05,-0.15,0.5,1.0
D013,2023-12-28,1.3731647647505845,0.0,252,-0.05,-0.15,0.5,1.0
D013,2024-03-29,1.506809153382015,-0.0085363408744224,252,-0.05,-0.15,0.5,1.0
D013,2024-06-28,1.576278767185254,-0.0046412492651719,252,-0.05,-0.15,0.5,1.0
D013,2024-09-30,1.5645234826211445,-0.0120642543844748,252,-0.05,-0.15,0.5,1.0
D013,2024-12-30,1.439727886373515,-0.124425154548457,252,-0.05,-0.15,0.5,0.6278742272577148
D013,2025-03-31,1.427891321119488,-0.1316235973174423,252,-0.05,-0.15,0.5,0.5918820134127883
D013,2025-06-30,1.427891321119488,-0.1316235973174423,252,-0.05,-0.15,0.5,0.5918820134127883
D013,2025-09-30,1.6220933822127193,-0.0272025375207601,252,-0.05,-0.15,0.5,1.0
D013,2025-12-30,2.2375188718231547,-0.0022012721803887,252,-0.05,-0.15,0.5,1.0
D013,2026-03-31,2.715350785187705,-0.2297226561855833,252,-0.05,-0.15,0.5,0.5
E014,2010-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2010-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2010-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2010-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2011-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2011-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2011-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2011-12-29,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2012-03-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2012-06-29,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2012-09-28,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2012-12-28,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2013-03-29,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2013-06-28,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2013-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2013-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2014-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2014-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2014-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2014-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2015-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2015-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2015-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2015-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2017-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
E014,2017-06-30,1.1728860946544126,-0.0014017118280239,252,-0.05,-0.15,0.5,1.0
E014,2017-09-29,1.2664915602831872,-0.0101061837671001,252,-0.05,-0.15,0.5,1.0
E014,2017-12-28,1.2969109971598058,0.0,252,-0.05,-0.15,0.5,1.0
E014,2018-03-30,1.3458331747395125,-0.0604392307610339,252,-0.05,-0.15,0.5,0.9478038461948302
E014,2018-06-29,1.3436634626221342,-0.0619539626195537,252,-0.05,-0.15,0.5,0.9402301869022311
E014,2018-09-28,1.3436634626221342,-0.0619539626195537,252,-0.05,-0.15,0.5,0.9402301869022311
E014,2018-12-28,1.3436634626221342,-0.0619539626195537,252,-0.05,-0.15,0.5,0.9402301869022311
E014,2019-03-29,1.3436634626221342,-0.0166191347191225,252,-0.05,-0.15,0.5,1.0
E014,2019-06-28,1.3436634626221342,0.0,252,-0.05,-0.15,0.5,1.0
E014,2019-09-30,1.2333806973626102,-0.0820761807754369,252,-0.05,-0.15,0.5,0.839619096122815
E014,2019-12-30,1.3330143527919471,-0.010744477599347,252,-0.05,-0.15,0.5,1.0
E014,2020-03-31,1.217583413946421,-0.1531008748683445,252,-0.05,-0.15,0.5,0.5
E014,2020-06-30,1.411627270686307,-0.0749144435052072,252,-0.05,-0.15,0.5,0.8754277824739637
E014,2020-09-29,1.4259158707400517,-0.065550656189152,252,-0.05,-0.15,0.5,0.92224671905424
E014,2020-12-30,1.6974769878778706,0.0,252,-0.05,-0.15,0.5,1.0
E014,2021-03-31,1.778003980087019,-0.0858419441947159,252,-0.05,-0.15,0.5,0.8207902790264204
E014,2021-06-30,2.035699742289492,-0.0373574553847968,252,-0.05,-0.15,0.5,1.0
