signal_date,execution_date,end_signal_date,end_exclusive,start_observation_date,end_observation_date,start_usdkrw,end_usdkrw,quarter_fx_return,daily_fx_return,trading_days,cumulative_off_fx
2010-03-31,2010-04-01,2010-06-30,2010-07-01,2010-03-31,2010-06-30,1131.2,1220.85,0.07925212164073536,0.0012308911399319111,62,0.07925212164073536
2010-06-30,2010-07-01,2010-09-30,2010-10-01,2010-06-30,2010-09-30,1220.85,1140.1,-0.06614244174140971,-0.0010856223423876266,63,0.007867751060820272
2010-09-30,2010-10-01,2010-12-30,2011-01-03,2010-09-30,2010-12-30,1140.1,1130.6,-0.008332602403297917,-0.00012872267757868538,65,-0.0005304101838755626
2010-12-30,2011-01-03,2011-03-31,2011-04-01,2010-12-30,2011-03-31,1130.6,1097.25,-0.029497611887493336,-0.0004988991029823975,60,-0.03001237623762376
2011-03-31,2011-04-01,2011-06-30,2011-07-01,2011-03-31,2011-06-30,1097.25,1066.3,-0.02820688083845979,-0.00046138284541397123,62,-0.05737270155586993
2011-06-30,2011-07-01,2011-09-30,2011-10-04,2011-06-30,2011-09-30,1066.3,1180.9,0.107474444340242,0.0016216650278459976,63,0.04393564356435631
2011-09-30,2011-10-04,2011-12-29,2012-01-02,2011-09-30,2011-12-29,1180.9,1156.5,-0.020662206791430382,-0.0003313523436305754,63,0.022365629420084687
2011-12-29,2012-01-02,2012-03-30,2012-04-02,2011-12-29,2012-03-30,1156.5,1131.4,-0.021703415477734467,-0.00035384703882324064,62,0.0001768033946250025
2012-03-30,2012-04-02,2012-06-29,2012-07-02,2012-03-30,2012-06-29,1131.4,1141.17,0.008635319073714065,0.00014096481931114013,61,0.008813649222064956
2012-06-29,2012-07-02,2012-09-28,2012-10-02,2012-06-29,2012-09-28,1141.17,1111.21,-0.026253757108932074,-0.0004156095509812996,64,-0.017671499292786552
2012-09-28,2012-10-02,2012-12-28,2013-01-02,2012-09-28,2012-12-28,1111.21,1070.4,-0.03672573140990443,-0.0006132070150557389,61,-0.05374823196605383
2012-12-28,2013-01-02,2013-03-29,2013-04-01,2012-12-28,2013-03-29,1070.4,1112.48,0.03931240657698054,0.0006323202724718424,61,-0.016548797736916643
2013-03-29,2013-04-01,2013-06-28,2013-07-01,2013-03-29,2013-06-28,1112.48,1141.45,0.026040917589529755,0.0004147251141244368,62,0.009061173974540315
2013-06-28,2013-07-01,2013-09-30,2013-10-01,2013-06-28,2013-09-30,1141.45,1073.33,-0.05967847912742574,-0.0009919821555661734,62,-0.05115806223479502
2013-09-30,2013-10-01,2013-12-30,2014-01-02,2013-09-30,2013-12-30,1073.33,1054.52,-0.017524899145649475,-0.0002851251215516548,62,-0.06778642149929281
2013-12-30,2014-01-02,2014-03-31,2014-04-01,2013-12-30,2014-03-31,1054.52,1064.65,0.009606266358153537,0.00015674047199087937,61,-0.05883132956152759
2014-03-31,2014-04-01,2014-06-30,2014-07-01,2014-03-31,2014-06-30,1064.65,1011.6,-0.049828582163152224,-0.0008515184328503622,60,-0.10572842998585574
2014-06-30,2014-07-01,2014-09-30,2014-10-01,2014-06-30,2014-09-30,1011.6,1054.55,0.042457493080268804,0.00067088461725473,62,-0.0677599009900991
2014-09-30,2014-10-01,2014-12-30,2015-01-02,2014-09-30,2014-12-30,1054.55,1096.06,0.039362761367407906,0.0006229003074109674,62,-0.031064356435643647
2014-12-30,2015-01-02,2015-03-31,2015-04-01,2014-12-30,2015-03-31,1096.06,1107.71,0.010628980165319435,0.00017623035444702673,60,-0.020765558698727093
2015-03-31,2015-04-01,2015-06-30,2015-07-01,2015-03-31,2015-06-30,1107.71,1117.34,0.008693611143710811,0.00013962328361616372,62,-0.01225247524752493
2015-06-30,2015-07-01,2015-09-30,2015-10-01,2015-06-30,2015-09-30,1117.34,1184.62,0.06021443786134917,0.0009285449189868622,63,0.04722418670438433
2015-09-30,2015-10-01,2015-12-30,2017-01-02,2015-09-30,2015-12-30,1184.62,1177.53,-0.005985041616720865,-9.528155190807741e-05,63,0.040956506364921985
2015-12-30,2017-01-02,2017-03-31,2017-04-03,2015-12-30,2017-03-31,1177.53,1117.48,-0.05099657758188747,-0.0008438836335841193,62,-0.01212871287128725
2018-03-30,2018-04-02,2018-06-29,2018-07-02,2018-03-30,2018-06-29,1060.99,1111.79,0.047879810365790476,0.0007797854506563784,60,0.0351703770222449
2018-06-29,2018-07-02,2018-09-28,2018-10-01,2018-06-29,2018-09-28,1111.79,1109.76,-0.00182588438464093,-2.9959442082283516e-05,61,0.033280275595397146
2018-09-28,2018-10-01,2018-12-28,2019-01-02,2018-09-28,2018-12-28,1109.76,1114.9,0.004631632064590718,7.453405270929636e-05,62,0.03806604965155391
