year,h001_return,d013_return,delta_vs_d013,delta_share_of_total_delta,abs_delta_share
2010,0.020025948664260218,0.0,0.020025948664260218,0.019516258186868828,0.07520498936841417
2011,0.033537483747642094,0.0,0.033537483747642094,0.03268390440473943,0.12594589904178002
2012,0.034825336614942914,0.0,0.034825336614942914,0.033938979481896614,0.1307822722302468
2013,0.02783061724242719,0.0,0.02783061724242719,0.027122286225195264,0.10451446315591857
2014,0.025944708580195597,0.0,0.025944708580195597,0.025284376771514766,0.09743216492022763
2015,0.01851631966661671,0.0,0.01851631966661671,0.018045051515048316,0.06953576317486826
2017,0.09851466960009492,0.09401472235486108,0.004499947245233837,0.0043854168278183265,0.016898998914353654
2018,-0.02386551129179504,-0.03586254487531926,0.01199703358352422,0.011691691056336986,0.045053385396500334
2019,0.03749369117116497,0.02774934830525977,0.009744342865905198,0.009496334701575267,0.036593682222926756
2020,0.46309904044504924,0.46309904044504946,-2.220446049250313e-16,-2.1639323616423944e-16,8.3386122838229e-16
2021,-0.12419945981131197,-0.12419945981131186,-1.1102230246251565e-16,-1.0819661808211972e-16,4.16930614191145e-16
2022,-0.08239198621447419,-0.09716827644733161,0.014776290232857425,0.014400211448819603,0.055490542220846935
2023,0.11324383929773618,0.08224211251730695,0.03100172678042923,0.030212686261670955,0.11642317535176748
2024,0.05165561175653388,0.04224721797916331,0.009408393777370572,0.009168936022021765,0.035332066703225314
2025,0.5911859169011984,0.567009224531813,0.024176692369385355,0.023561359229263574,0.09079259729892114
2026,0.5621484118981519,0.5621484118981515,4.440892098500626e-16,4.327864723284789e-16,1.66772245676458e-15
