carrier,asset_type,start_quarter,end_quarter,cumulative_net_total_return,cagr,quarterly_annualized_volatility,sharpe,max_drawdown,positive_years,n_quarters,sharpe_rank,mdd_rank,cagr_rank
SPY,ETF buy-hold,2010Q1,2026Q2,10.21032641356376,0.1577458362810784,0.1357570685476114,1.1619714388997382,-0.15023590115400354,15,66,7,3,5
QQQ,ETF buy-hold,2010Q1,2026Q2,21.56863515382018,0.20789900629583924,0.17161389854650974,1.2114345519602292,-0.28516054540261826,16,66,5,14,1
IWM,ETF buy-hold,2010Q1,2026Q2,5.94084027323452,0.12459117128200026,0.18408942664850886,0.6767969977976432,-0.26834525798416087,14,66,11,13,11
SHY,ETF buy-hold,2010Q1,2026Q2,0.6030965980673262,0.02901522273687296,0.09541644883307239,0.3040903648346213,-0.14928075080161696,13,66,16,2,19
IEF,ETF buy-hold,2010Q1,2026Q2,0.9537422445768471,0.04142576798947628,0.11742959129508707,0.3527711161437843,-0.1557772524358495,13,66,15,5,15
TLT,ETF buy-hold,2010Q1,2026Q2,0.921582024323923,0.04037869515852943,0.1939758651905357,0.20816350074720302,-0.36153854541833585,12,66,18,17,16
GLD,ETF buy-hold,2010Q1,2026Q2,3.901858520543252,0.10113368088476093,0.16072113422772685,0.6292494224279425,-0.37890333708475765,14,66,12,18,12
UUP,ETF buy-hold,2010Q1,2026Q2,0.8591487283983559,0.03829812254491993,0.16611674588619596,0.23054943883356221,-0.2970430289754842,11,66,17,16,18
DBC,ETF buy-hold,2010Q1,2026Q2,0.8914793282211375,0.03938358686871424,0.21120822094765046,0.18646805835496222,-0.5784136472493908,8,66,19,19,17
D013,Korea strategy,2010Q1,2026Q2,2.545770290335007,0.07973155498109619,0.17702195921384947,0.45040488386402583,-0.21051153287907554,7,66,14,11,14
H001,Korea strategy,2010Q1,2026Q2,3.5718864890710247,0.09649279979068504,0.1750828684820109,0.5511264501620803,-0.20754724885820697,13,66,13,10,13
P01_QQQ_100,Quarterly rebalanced portfolio,2010Q1,2026Q2,21.56863515382018,0.20789900629583924,0.17161389854650974,1.2114345519602292,-0.28516054540261826,16,66,5,14,1
P02_SPY_100,Quarterly rebalanced portfolio,2010Q1,2026Q2,10.21032641356376,0.1577458362810784,0.1357570685476114,1.1619714388997382,-0.15023590115400354,15,66,7,3,5
P03_QQQ50_SPY50,Quarterly rebalanced portfolio,2010Q1,2026Q2,15.126009659978138,0.18354138741434922,0.14908912950670222,1.2310849759579434,-0.2111417861620084,16,66,4,12,3
P04_QQQ50_H00150,Quarterly rebalanced portfolio,2010Q1,2026Q2,10.004968204344388,0.15644928903534727,0.13989145191467098,1.1183620363792923,-0.18534577043259148,16,66,9,8,7
P05_SPY50_H00150,Quarterly rebalanced portfolio,2010Q1,2026Q2,6.625211042046253,0.13101876427129566,0.12519113048848599,1.0465498934315132,-0.12668778035162542,15,66,10,1,10
P06_SPY35_QQQ35_H00130,Quarterly rebalanced portfolio,2010Q1,2026Q2,10.700099331376581,0.1607501822717896,0.13033538766709202,1.2333579172095939,-0.17203431194489172,16,66,3,7,4
P07_QQQ50_H00130_IEF20,Quarterly rebalanced portfolio,2010Q1,2026Q2,8.535666159684553,0.14644865299864906,0.11393820064102606,1.285334086151233,-0.18811445632584878,16,66,2,9,9
P08_SPY40_QQQ30_H00120_IEF10,Quarterly rebalanced portfolio,2010Q1,2026Q2,9.474559335796329,0.1529923074547519,0.11758475657140108,1.301123648300877,-0.16562851212133622,16,66,1,6,8
