carrier,asset_type,start_date,end_date,cumulative_net_total_return,cagr,daily_annualized_volatility,sharpe,sortino,max_drawdown,mdd_peak_date,mdd_trough_date,positive_years,n_observations
SPY,ETF buy-hold,2010-01-04,2026-05-18,10.210326413563722,0.15912602601584314,0.17410453326240713,0.9131865771759198,1.1824581210474947,-0.29616554781389004,2020-02-20,2020-03-23,15,4236
QQQ,ETF buy-hold,2010-01-04,2026-05-18,21.568635153820107,0.20975621064641436,0.20595497932842388,1.003577059337693,1.3388884219415826,-0.306440001368977,2021-12-27,2022-12-28,16,4236
IWM,ETF buy-hold,2010-01-04,2026-05-18,5.940840273234562,0.12566576984853817,0.22015484951296926,0.6340106383959896,0.8631171610576638,-0.38464307629190064,2020-02-20,2020-03-18,14,4236
SHY,ETF buy-hold,2010-01-04,2026-05-18,0.6030965980673382,0.02925465144866224,0.08891491305583502,0.36022834364538864,0.5099153061924174,-0.16977717086410227,2010-05-26,2014-07-03,13,4236
IEF,ETF buy-hold,2010-01-04,2026-05-18,0.9537422445768404,0.04176966651520053,0.11151689256488166,0.41302090825496274,0.6173086673193872,-0.1819362126636227,2016-02-25,2018-03-06,13,4236
TLT,ETF buy-hold,2010-01-04,2026-05-18,0.9215820243239232,0.040713732546445724,0.1774918608186936,0.3075029523367249,0.4741285050552538,-0.4265547408598447,2020-04-24,2023-10-19,12,4236
GLD,ETF buy-hold,2010-01-04,2026-05-18,3.9018585205432395,0.10199690144379647,0.174321007562927,0.6299528304814417,0.8527311272924853,-0.42246347253330696,2011-09-20,2015-12-02,14,4236
UUP,ETF buy-hold,2010-01-04,2026-05-18,0.8591487283983641,0.038615578184412414,0.1290440504722328,0.35038995500362585,0.5196324523097643,-0.3280584769724446,2010-06-09,2014-07-01,11,4236
DBC,ETF buy-hold,2010-01-04,2026-05-18,0.89147932822114,0.03971021089404991,0.17675322246915565,0.3031509769646289,0.41957681152094695,-0.6169601526621675,2011-04-08,2020-04-27,8,4236
D013,Korea strategy,2010-01-04,2026-05-18,2.545770290335013,0.08040549439057387,0.15627538975335217,0.5598564234825721,0.454181330774675,-0.3392346174957135,2020-02-17,2020-03-19,7,4236
H001,Korea strategy,2010-01-04,2026-05-18,3.571886489071015,0.09731468407829946,0.1562433914859437,0.6567516709095065,0.5326662286801992,-0.3392346174957135,2020-02-17,2020-03-19,13,4236
P01_QQQ_100,Quarterly rebalanced portfolio,2010-01-04,2026-05-18,21.568635153819656,0.2097562106464128,0.20595497932842388,1.0035770593376905,1.3388884219415798,-0.30644000136897764,2021-12-27,2022-12-28,16,4236
P02_SPY_100,Quarterly rebalanced portfolio,2010-01-04,2026-05-18,10.210326413563958,0.1591260260158447,0.17410453326240707,0.9131865771759238,1.1824581210474991,-0.29616554781389004,2020-02-20,2020-03-23,15,4236
P03_QQQ50_SPY50,Quarterly rebalanced portfolio,2010-01-04,2026-05-18,15.126009659978141,0.1851647419853104,0.18677151450827653,0.9793592986158394,1.2853145034509883,-0.26781103692627795,2020-02-19,2020-03-16,16,4236
P04_QQQ50_H00150,Quarterly rebalanced portfolio,2010-01-04,2026-05-18,10.004968204344394,0.15781738039648197,0.1310347751186807,1.1547104152876984,1.5122091015666717,-0.26862954420588214,2020-02-17,2020-03-19,16,4236
P05_SPY50_H00150,Quarterly rebalanced portfolio,2010-01-04,2026-05-18,6.625211042046269,0.13215198712552945,0.11888020732466935,1.0763140932340634,1.361607306708672,-0.2979828820781525,2020-02-17,2020-03-23,15,4236
P06_SPY35_QQQ35_H00130,Quarterly rebalanced portfolio,2010-01-04,2026-05-18,10.70009933137654,0.16215845202633172,0.13987402277804936,1.116405255404262,1.4601253911093763,-0.2722979364770386,2020-02-19,2020-03-23,16,4236
P07_QQQ50_H00130_IEF20,Quarterly rebalanced portfolio,2010-01-04,2026-05-18,8.535666159684567,0.1477238282103388,0.11640442085489383,1.2109843607959934,1.6540430647730566,-0.19907004458487965,2021-12-28,2022-12-28,16,4236
P08_SPY40_QQQ30_H00120_IEF10,Quarterly rebalanced portfolio,2010-01-04,2026-05-18,9.474559335796338,0.15432819931022057,0.1340734143848121,1.109627381557699,1.4686043118690006,-0.23428470583478467,2020-02-19,2020-03-23,16,4236
