carrier,asset_type,quarterly_cagr,daily_cagr,cagr_delta,quarterly_annualized_volatility,daily_annualized_volatility,volatility_delta,quarterly_sharpe,daily_sharpe,sharpe_delta,quarterly_max_drawdown,daily_max_drawdown,mdd_delta,large_sharpe_delta,large_mdd_delta
SPY,ETF buy-hold,0.1577458362810784,0.15912602601584314,0.0013801897347647252,0.1357570685476114,0.17410453326240713,0.03834746471479572,1.1619714388997382,0.9131865771759198,-0.24878486172381842,-0.1502359011540035,-0.29616554781389004,-0.14592964665988653,True,True
QQQ,ETF buy-hold,0.2078990062958392,0.20975621064641436,0.0018572043505751534,0.1716138985465097,0.20595497932842388,0.03434108078191417,1.2114345519602292,1.003577059337693,-0.20785749262253628,-0.2851605454026182,-0.306440001368977,-0.021279455966358773,True,True
IWM,ETF buy-hold,0.1245911712820002,0.12566576984853817,0.0010745985665379654,0.1840894266485088,0.22015484951296926,0.03606542286446046,0.6767969977976432,0.6340106383959896,-0.04278635940165365,-0.2683452579841608,-0.38464307629190064,-0.11629781830773983,False,True
SHY,ETF buy-hold,0.0290152227368729,0.02925465144866224,0.00023942871178933914,0.0954164488330723,0.08891491305583502,-0.006501535777237291,0.3040903648346213,0.36022834364538864,0.05613797881076732,-0.1492807508016169,-0.16977717086410227,-0.020496420062485365,False,True
IEF,ETF buy-hold,0.0414257679894762,0.04176966651520053,0.0003438985257243343,0.117429591295087,0.11151689256488166,-0.005912698730205335,0.3527711161437843,0.41302090825496274,0.060249792111178424,-0.1557772524358495,-0.1819362126636227,-0.026158960227773198,False,True
TLT,ETF buy-hold,0.0403786951585294,0.040713732546445724,0.00033503738791632737,0.1939758651905357,0.1774918608186936,-0.01648400437184211,0.208163500747203,0.3075029523367249,0.09933945158952193,-0.3615385454183358,-0.4265547408598447,-0.06501619544150888,False,True
GLD,ETF buy-hold,0.1011336808847609,0.10199690144379647,0.0008632205590355796,0.1607211342277268,0.174321007562927,0.013599873335200213,0.6292494224279425,0.6299528304814417,0.0007034080534992215,-0.3789033370847576,-0.42246347253330696,-0.043560135448549364,False,True
UUP,ETF buy-hold,0.0382981225449199,0.038615578184412414,0.0003174556394925157,0.1661167458861959,0.1290440504722328,-0.0370726954139631,0.2305494388335622,0.35038995500362585,0.11984051617006367,-0.2970430289754842,-0.3280584769724446,-0.031015447996960432,True,True
DBC,ETF buy-hold,0.0393835868687142,0.03971021089404991,0.0003266240253357103,0.2112082209476504,0.17675322246915565,-0.03445499847849476,0.1864680583549622,0.3031509769646289,0.1166829186096667,-0.5784136472493908,-0.6169601526621675,-0.03854650541277671,True,True
D013,Korea strategy,0.0797315549810961,0.08040549439057387,0.0006739394094777695,0.1770219592138494,0.15627538975335217,-0.020746569460497216,0.4504048838640258,0.5598564234825721,0.10945153961854637,-0.2105115328790755,-0.3392346174957135,-0.12872308461663798,True,True
H001,Korea strategy,0.096492799790685,0.09731468407829946,0.0008218842876144689,0.1750828684820109,0.1562433914859437,-0.018839476996067195,0.5511264501620803,0.6567516709095065,0.1056252207474262,-0.2075472488582069,-0.3392346174957135,-0.13168736863750657,True,True
P01_QQQ_100,Quarterly rebalanced portfolio,0.2078990062958392,0.2097562106464128,0.0018572043505735991,0.1716138985465097,0.20595497932842388,0.03434108078191417,1.2114345519602292,1.0035770593376905,-0.20785749262253872,-0.2851605454026182,-0.30644000136897764,-0.02127945596635944,True,True
P02_SPY_100,Quarterly rebalanced portfolio,0.1577458362810784,0.1591260260158447,0.0013801897347662795,0.1357570685476114,0.17410453326240707,0.038347464714795665,1.1619714388997382,0.9131865771759238,-0.24878486172381442,-0.1502359011540035,-0.29616554781389004,-0.14592964665988653,True,True
P03_QQQ50_SPY50,Quarterly rebalanced portfolio,0.1835413874143492,0.1851647419853104,0.0016233545709612163,0.1490891295067022,0.18677151450827653,0.03768238500157434,1.2310849759579434,0.9793592986158394,-0.25172567734210405,-0.2111417861620084,-0.26781103692627795,-0.05666925076426954,True,True
P04_QQQ50_H00150,Quarterly rebalanced portfolio,0.1564492890353472,0.15781738039648197,0.0013680913611347767,0.1398914519146709,0.1310347751186807,-0.008856676795990198,1.1183620363792923,1.1547104152876984,0.03634837890840603,-0.1853457704325914,-0.26862954420588214,-0.08328377377329074,False,True
P05_SPY50_H00150,Quarterly rebalanced portfolio,0.1310187642712956,0.13215198712552945,0.0011332228542338396,0.1251911304884859,0.11888020732466935,-0.006310923163816554,1.0465498934315132,1.0763140932340634,0.029764199802550184,-0.1266877803516254,-0.2979828820781525,-0.1712951017265271,False,True
P06_SPY35_QQQ35_H00130,Quarterly rebalanced portfolio,0.1607501822717896,0.16215845202633172,0.001408269754542113,0.130335387667092,0.13987402277804936,0.009538635110957372,1.233357917209594,1.116405255404262,-0.11695266180533204,-0.1720343119448917,-0.2722979364770386,-0.1002636245321469,True,True
P07_QQQ50_H00130_IEF20,Quarterly rebalanced portfolio,0.146448652998649,0.1477238282103388,0.001275175211689794,0.113938200641026,0.11640442085489383,0.0024662202138678313,1.285334086151233,1.2109843607959934,-0.07434972535523965,-0.1881144563258487,-0.19907004458487965,-0.010955588259030952,False,False
P08_SPY40_QQQ30_H00120_IEF10,Quarterly rebalanced portfolio,0.1529923074547519,0.15432819931022057,0.0013358918554686738,0.117584756571401,0.1340734143848121,0.016488657813411106,1.301123648300877,1.109627381557699,-0.1914962667431781,-0.1656285121213362,-0.23428470583478467,-0.06865619371344847,True,True
