carrier,asset_type,start_date,end_date,cumulative_net_total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,positive_years,n_observations
SPY,ETF buy-hold,2010-01-04,2026-05-18,10.210326413563761,0.15939422254429414,0.17675355763930511,0.9017879168778284,-0.2961655478138897,15,4118
QQQ,ETF buy-hold,2010-01-04,2026-05-18,21.56863515382018,0.21011717430784405,0.20900049668288678,1.005342942445977,-0.3064400013689773,16,4118
IWM,ETF buy-hold,2010-01-04,2026-05-18,5.940840273234528,0.12587455487064658,0.22378721597747675,0.5624742875540993,-0.3846430762919004,14,4118
SHY,ETF buy-hold,2010-01-04,2026-05-18,0.6030965980673226,0.0293011502747611,0.09019848160661634,0.32485192381122935,-0.16977717086410293,13,4118
IEF,ETF buy-hold,2010-01-04,2026-05-18,0.9537422445768409,0.04183645804023994,0.11305767364968135,0.37004527591708375,-0.1819362126636207,13,4118
TLT,ETF buy-hold,2010-01-04,2026-05-18,0.9215820243239201,0.04077880275491941,0.17980540896879157,0.226794082496135,-0.42655474085984835,12,4118
GLD,ETF buy-hold,2010-01-04,2026-05-18,3.9018585205432377,0.10216460041638986,0.17716418207206475,0.5766662268947375,-0.4224634725333062,14,4118
UUP,ETF buy-hold,2010-01-04,2026-05-18,0.8591487283983514,0.03867723310581628,0.13086925485348747,0.29554102030394186,-0.32805847697244417,11,4118
DBC,ETF buy-hold,2010-01-04,2026-05-18,0.8914793282211364,0.03977364678333872,0.1796913465597112,0.2213442524908788,-0.6169601526621646,8,4118
D013,Korea strategy,2010-01-04,2026-05-04,2.5457702903350135,0.08816790559736765,0.16530486303710384,0.5333654677635088,-0.3392346174957135,7,3775
H001,Korea strategy,2010-01-04,2026-05-04,3.571886489071015,0.10678852853227716,0.1652717314642967,0.6461391042868482,-0.3392346174957135,13,3775
