carrier,mdd_peak_date,mdd_trough_date,mdd_recovery_date,max_drawdown,peak_net_value,trough_net_value
DBC,2011-04-08,2020-04-27,2022-03-07,-0.6169601526621646,1.1909149301467106,0.45616787303574496
TLT,2020-04-24,2023-10-19,,-0.42655474085984835,2.735793279748525,1.5688276862592783
GLD,2011-09-20,2015-12-02,2020-04-23,-0.4224634725333062,1.5883709207723502,0.9173422259119383
IWM,2020-02-20,2020-03-18,2020-11-23,-0.3846430762919004,3.17222994985046,1.952053663234678
D013,2020-02-17,2020-03-19,2020-06-10,-0.3392346174957135,1.1992372934120408,0.7924144888948124
H001,2020-02-17,2020-03-19,2020-06-10,-0.3392346174957135,1.4430741071277708,0.9535334143783132
UUP,2010-06-09,2014-07-01,2016-12-22,-0.32805847697244417,1.2148526496258558,0.8163099396436593
QQQ,2021-12-27,2022-12-28,2023-06-22,-0.3064400013689773,10.073597275450114,6.986644112570655
SPY,2020-02-20,2020-03-23,2020-08-14,-0.2961655478138897,3.7873168799843335,2.665644101478982
IEF,2016-02-25,2018-03-06,2019-05-30,-0.1819362126636207,1.5406617789750816,1.260359609912759
SHY,2010-05-26,2014-07-03,2016-01-08,-0.16977717086410293,1.1036662060837537,0.916288880036536
