carrier,year,net_total_return
D013,2010,0.0
DBC,2010,0.07404167696553987
GLD,2010,0.24315615400924817
H001,2010,0.020025948664260218
IEF,2010,0.07341880771242915
IWM,2010,0.21879998613478424
QQQ,2010,0.16513576192867752
SHY,2010,0.0050848937469771816
SPY,2010,0.11325636201107447
TLT,2010,0.07362646304218257
UUP,2010,-0.02502960123629483
D013,2011,0.0
DBC,2011,-0.0017300041568972802
GLD,2011,0.12269814155876779
H001,2011,0.03353748374764254
IEF,2011,0.18503594562353576
IWM,2011,-0.02068297352047066
QQQ,2011,0.06029279461364512
SHY,2011,0.03943670758507567
SPY,2011,0.044094451310967786
TLT,2011,0.37307962070722156
UUP,2011,0.013848312705931232
D013,2012,0.0
DBC,2012,-0.05008441798040353
GLD,2012,-0.021662101848892168
H001,2012,0.03482533661494269
IEF,2012,-0.04859923351947515
IWM,2012,0.07107578949972448
QQQ,2012,0.08400496847992134
SHY,2012,-0.07992979430922786
SPY,2012,0.06452779647473239
TLT,2012,-0.060114039494061466
UUP,2012,-0.10918423494470564
D013,2013,0.0
DBC,2013,-0.08325526442875264
GLD,2013,-0.28868420542333184
H001,2013,0.02783061724242719
IEF,2013,-0.06795960471686524
IWM,2013,0.37654382020037014
QQQ,2013,0.35607355311799505
SHY,2013,-0.005385172280914952
SPY,2013,0.3131357867659019
TLT,2013,-0.14032297297595941
UUP,2013,-0.020711368238830907
D013,2014,0.0
DBC,2014,-0.2566979301309493
GLD,2014,0.011161286450310337
H001,2014,0.025944708580195375
IEF,2014,0.12751850573282142
IWM,2014,0.08583782735041945
QQQ,2014,0.23206649210663755
SHY,2014,0.038395639491318745
SPY,2014,0.17295887735366522
TLT,2014,0.3160147313756503
UUP,2014,0.1514664505086709
D013,2015,0.0
DBC,2015,-0.22385976387400253
GLD,2015,-0.04253454242125687
H001,2015,0.01851631966661671
IEF,2015,0.08800212816451758
IWM,2015,0.02383379289983356
QQQ,2015,0.1729783406456855
SHY,2015,0.07644731163334839
SPY,2015,0.08506989482896343
TLT,2015,0.052659140423992
UUP,2015,0.14696315491720835
DBC,2016,0.22058131895856836
GLD,2016,0.11217548413243073
IEF,2016,0.03979138963130091
IWM,2016,0.25175865025632893
QQQ,2016,0.10255173885724544
SHY,2016,0.03794864553572186
SPY,2016,0.15299607331453924
TLT,2016,0.04154171841870058
UUP,2016,0.06198996595245809
D013,2017,0.09401472235486108
DBC,2017,-0.07013316679258186
GLD,2017,0.00034590193580630313
H001,2017,0.09851466960009492
IEF,2017,-0.09060160389941763
IWM,2017,0.016072525614352573
QQQ,2017,0.17640777447464817
SHY,2017,-0.11091029763807991
SPY,2017,0.0792354972478655
TLT,2017,-0.031812353179311526
UUP,2017,-0.19391783231085102
D013,2018,-0.03586254487531926
DBC,2018,-0.0786924062190022
GLD,2018,0.02232484545318658
H001,2018,-0.02386551129179504
IEF,2018,0.05285831973779409
IWM,2018,-0.07338520300747309
QQQ,2018,0.04124424415239458
SHY,2018,0.05781527027985556
SPY,2018,-0.005074106947078327
TLT,2018,0.025755791514177062
UUP,2018,0.11604312323852795
D013,2019,0.02774934830525999
DBC,2019,0.16121461612683552
GLD,2019,0.2236824977394416
H001,2019,0.03749369117116497
IEF,2019,0.12165862592687882
IWM,2019,0.3019080115302053
QQQ,2019,0.44282297462685194
SHY,2019,0.07339113519371154
SPY,2019,0.3624825233443414
TLT,2019,0.1848793253372223
UUP,2019,0.08071451904218585
D013,2020,0.46309904044504946
DBC,2020,-0.13368562954575458
GLD,2020,0.1732326802563704
H001,2020,0.46309904044504924
IEF,2020,0.03404175040930468
IWM,2020,0.12826617522301587
QQQ,2020,0.3949889380677263
SHY,2020,-0.031499660312118594
SPY,2020,0.11229486689262069
TLT,2020,0.11060845323147528
UUP,2020,-0.12263640873234594
D013,2021,-0.12419945981131197
DBC,2021,0.5469864046217441
GLD,2021,0.04895128853544528
H001,2021,-0.12419945981131209
IEF,2021,0.05793700061341367
IWM,2021,0.25343108985416607
QQQ,2021,0.39442427586760465
SHY,2021,0.08652402969330275
SPY,2021,0.40874953422236615
TLT,2021,0.04402369165328612
UUP,2021,0.15710885197238555
D013,2022,-0.09716827644733184
DBC,2022,0.2652788292399806
GLD,2022,0.05204483052328501
H001,2022,-0.08239198621447419
IEF,2022,-0.10044939064301384
IWM,2022,-0.15695529106443606
QQQ,2022,-0.28516054540261837
SHY,2022,0.019093399374082498
SPY,2022,-0.13246972980032445
TLT,2022,-0.27092701587343315
UUP,2022,0.16053612461218592
D013,2023,0.08224211251730695
DBC,2023,-0.039025542947028646
GLD,2023,0.1544497688360147
H001,2023,0.1132438392977364
IEF,2023,0.06176795830394144
IWM,2023,0.19682105059577681
QQQ,2023,0.5863919002103979
SHY,2023,0.06708728087757998
SPY,2023,0.2925862887478625
TLT,2023,0.05278843779330922
UUP,2023,0.061630163234227764
D013,2024,0.04224721797916331
DBC,2024,0.1697717464012718
GLD,2024,0.4499266063698437
H001,2024,0.0516556117565341
IEF,2024,0.1375067581781615
IWM,2024,0.2750900871433657
QQQ,2024,0.4375785544787285
SHY,2024,0.1895713943654822
SPY,2024,0.4296592125801366
TLT,2024,0.052577811923528284
UUP,2024,0.29933378801683186
D013,2025,0.567009224531813
DBC,2025,0.056670174211688185
GLD,2025,0.5998737084204822
H001,2025,0.5911859169011986
IEF,2025,0.055969981721895934
IWM,2025,0.10118375973811777
QQQ,2025,0.18050413976814772
SHY,2025,0.025848017924433586
SPY,2025,0.1506575048452541
TLT,2025,0.018975823525037905
UUP,2025,-0.07127474737413753
D013,2026,0.5621484118981517
DBC,2026,0.43578090003220615
GLD,2026,0.08022828882644717
H001,2026,0.5621484118981519
IEF,2026,0.007453931888948162
IWM,2026,0.15407562598687163
QQQ,2026,0.17884843317943422
SHY,2026,0.025206859044501595
SPY,2026,0.11181854889380571
TLT,2026,-0.004605677157298538
UUP,2026,0.04752632462070028
