candidate,period,start_date,end_date,cumulative_net_total_return,cagr,sharpe,max_drawdown,mdd_peak_date,mdd_trough_date,mdd_length_days,grid,weights
A01_QQQ70_H00130_IEF00,2010_2017,2010-01-04,2017-12-29,1.5747184398086138,0.12576270841508386,1.0357200587404012,-0.11847417222158851,2011-02-14,2011-08-22,189,I003.5-A,QQQ70/H00130
A01_QQQ70_H00130_IEF00,2018_2026,2018-01-02,2026-05-18,4.766294250228126,0.2327702095526123,1.2292771729909393,-0.25242484554362465,2020-02-19,2020-03-16,26,I003.5-A,QQQ70/H00130
A02_QQQ60_H00130_IEF10,2010_2017,2010-01-04,2017-12-29,1.3596292931808844,0.11352858057652693,1.07211182366025,-0.09144393577568122,2011-02-14,2011-08-22,189,I003.5-A,QQQ60/H00130/IEF10
A02_QQQ60_H00130_IEF10,2018_2026,2018-01-02,2026-05-18,4.053890891471677,0.21350520525941885,1.2762578127211235,-0.21974132129868373,2021-12-28,2022-12-28,365,I003.5-A,QQQ60/H00130/IEF10
A03_P07_QQQ50_H00130_IEF20,2010_2017,2010-01-04,2017-12-29,1.1565203540575766,0.10104491910758862,1.0988693920444592,-0.07505028417671011,2012-09-06,2012-11-15,70,I003.5-A,QQQ50/H00130/IEF20
A03_P07_QQQ50_H00130_IEF20,2018_2026,2018-01-02,2026-05-18,3.409023621831457,0.19388028852438466,1.324198846441894,-0.19907004458487965,2021-12-28,2022-12-28,365,I003.5-A,QQQ50/H00130/IEF20
A04_QQQ40_H00130_IEF30,2010_2017,2010-01-04,2017-12-29,0.9654198631175794,0.08832196604441456,1.0960476302580808,-0.06374227007268085,2012-09-06,2012-11-14,69,I003.5-A,QQQ40/H00130/IEF30
A04_QQQ40_H00130_IEF30,2018_2026,2018-01-02,2026-05-18,2.8285853368964275,0.17392018771310092,1.3646100914656785,-0.17821908189016777,2021-12-28,2022-12-28,365,I003.5-A,QQQ40/H00130/IEF30
A05_QQQ30_H00130_IEF40,2010_2017,2010-01-04,2017-12-29,0.7862559523472283,0.07536961576079126,1.0321429761429168,-0.055818542134054905,2012-09-06,2012-12-31,116,I003.5-A,QQQ30/H00130/IEF40
A05_QQQ30_H00130_IEF40,2018_2026,2018-01-02,2026-05-18,2.309036136135588,0.15364867021848427,1.3783321154102341,-0.15718688740192588,2021-12-28,2022-12-28,365,I003.5-A,QQQ30/H00130/IEF40
A06_QQQ20_H00130_IEF50,2010_2017,2010-01-04,2017-12-29,0.6188682193107053,0.0621974309886284,0.8845386061593451,-0.05582062149158373,2016-02-26,2016-05-02,66,I003.5-A,QQQ20/H00130/IEF50
A06_QQQ20_H00130_IEF50,2018_2026,2018-01-02,2026-05-18,1.8465313780710257,0.13308859589423072,1.331971845269411,-0.1359718475938989,2021-12-28,2022-12-28,365,I003.5-A,QQQ20/H00130/IEF50
B01_SPY46_QQQ34_H00120_IEF00,2010_2017,2010-01-04,2017-12-29,1.4918120655902816,0.12115690222224784,0.95641953211319,-0.1397767225026395,2011-02-14,2011-08-22,189,I003.5-B,SPY46/QQQ34/H00120
B01_SPY46_QQQ34_H00120_IEF00,2018_2026,2018-01-02,2026-05-18,4.016867143879807,0.212439949562657,1.1720030824164918,-0.2729484112037922,2020-02-19,2020-03-23,33,I003.5-B,SPY46/QQQ34/H00120
B02_P08_SPY40_QQQ30_H00120_IEF10,2010_2017,2010-01-04,2017-12-29,1.32277988022759,0.11133539083863475,0.9873010338467433,-0.11478332719587847,2011-02-14,2011-08-08,175,I003.5-B,SPY40/QQQ30/H00120/IEF10
B02_P08_SPY40_QQQ30_H00120_IEF10,2018_2026,2018-01-02,2026-05-18,3.5014218975701015,0.19684144642485646,1.2178887817931519,-0.23428470583478467,2020-02-19,2020-03-23,33,I003.5-B,SPY40/QQQ30/H00120/IEF10
B03_SPY34_QQQ26_H00120_IEF20,2010_2017,2010-01-04,2017-12-29,1.1597421967880894,0.10125082790749018,1.0104093689374718,-0.08970614002778432,2011-02-14,2011-08-08,175,I003.5-B,SPY34/QQQ26/H00120/IEF20
B03_SPY34_QQQ26_H00120_IEF20,2018_2026,2018-01-02,2026-05-18,3.023633153774746,0.18090812150318403,1.2652678742043213,-0.19582418511329158,2020-02-20,2020-03-23,32,I003.5-B,SPY34/QQQ26/H00120/IEF20
B04_SPY29_QQQ21_H00120_IEF30,2010_2017,2010-01-04,2017-12-29,0.9973421083041383,0.09052050024258196,1.0109097127512572,-0.0649494361918399,2012-09-13,2012-11-14,62,I003.5-B,SPY29/QQQ21/H00120/IEF30
B04_SPY29_QQQ21_H00120_IEF30,2018_2026,2018-01-02,2026-05-18,2.567193298239754,0.16404653446976347,1.3078247643782894,-0.16407731360394917,2020-02-20,2020-03-19,28,I003.5-B,SPY29/QQQ21/H00120/IEF30
B05_SPY23_QQQ17_H00120_IEF40,2010_2017,2010-01-04,2017-12-29,0.8478394576935364,0.07994494522764706,0.9753178332176394,-0.05577899329087954,2012-09-13,2012-12-31,109,I003.5-B,SPY23/QQQ17/H00120/IEF40
B05_SPY23_QQQ17_H00120_IEF40,2018_2026,2018-01-02,2026-05-18,2.164508120593718,0.14751132403991107,1.3340029748238096,-0.1409247050237068,2021-12-28,2022-12-28,365,I003.5-B,SPY23/QQQ17/H00120/IEF40
